question,question_concept,_split,answer,final_prompt,len_tk_qwen3_8b_instruct
"A boy is leaving line because he's tired of listening to the teacher's orders, what might the teacher give?",leaving line,train-00000-of-00001,A,"Question:
A boy is leaving line because he's tired of listening to the teacher's orders, what might the teacher give?

Which of the following is the best response to the question?

Choices:
A. punishment
B. utter chaos
C. trouble
D. have to start over
E. high five

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
One of the things that you can count on when going to the market on a weekend is?,going to market,train-00000-of-00001,A,"Question:
One of the things that you can count on when going to the market on a weekend is?

Which of the following is the best response to the question?

Choices:
A. see other people
B. driving car
C. food
D. traveling
E. buy food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The man was very tired and sore, he decided to stay in bed to what?",stay in bed,train-00000-of-00001,A,"Question:
The man was very tired and sore, he decided to stay in bed to what?

Which of the following is the best response to the question?

Choices:
A. rest more
B. lazy
C. were sick
D. to be sick
E. you're sick

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The crab was known to use camouflage to wait for a fish to get within reach, when it was hungry it would set up shop where?",shop,train-00000-of-00001,B,"Question:
The crab was known to use camouflage to wait for a fish to get within reach, when it was hungry it would set up shop where?

Which of the following is the best response to the question?

Choices:
A. ocean's eleven
B. ocean floor
C. downtown area
D. high school
E. container

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
Billy lived alone by a lake.  He was told he had to move because people weren't allowed to live where?,lake,train-00000-of-00001,B,"Question:
Billy lived alone by a lake.  He was told he had to move because people weren't allowed to live where?

Which of the following is the best response to the question?

Choices:
A. new york
B. state park
C. underwater
D. dead body
E. michigan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Billy wasn't good at communicating with other people so he took a found a mentor and put a lot of effort into doing what?,communicating,train-00000-of-00001,B,"Question:
Billy wasn't good at communicating with other people so he took a found a mentor and put a lot of effort into doing what?

Which of the following is the best response to the question?

Choices:
A. puzzle
B. learning
C. exchanging ideas
D. confusion
E. response

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"I communicate in hopes someone is within earshot, what do I want them to do?",communicate,train-00000-of-00001,D,"Question:
I communicate in hopes someone is within earshot, what do I want them to do?

Which of the following is the best response to the question?

Choices:
A. think
B. see work
C. speak out
D. listen
E. talk to people

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
James looked up and saw the start twinkling in the black yonder.  He marveled the sheer number of them and the size of what?,stars,validation-00000-of-00001,A,"Question:
James looked up and saw the start twinkling in the black yonder.  He marveled the sheer number of them and the size of what?

Which of the following is the best response to the question?

Choices:
A. universe
B. orbit
C. night sky
D. outer space
E. his wallet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
Try to get a window seat to enjoy the view when you ride what large over the road transport?,window,train-00000-of-00001,E,"Question:
Try to get a window seat to enjoy the view when you ride what large over the road transport?

Which of the following is the best response to the question?

Choices:
A. space shuttle
B. car
C. taxy
D. computer screen
E. bus

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Answering questions followed by saying, ""sir"" or ""ma'am"" is an indication that you are what?",answering questions,train-00000-of-00001,D,"Question:
Answering questions followed by saying, ""sir"" or ""ma'am"" is an indication that you are what?

Which of the following is the best response to the question?

Choices:
A. irritation
B. correct
C. responding
D. polite
E. sadness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"Applying for job after job is part of the grind, but when no calls come back it can lead to what?",applying for job,train-00000-of-00001,D,"Question:
Applying for job after job is part of the grind, but when no calls come back it can lead to what?

Which of the following is the best response to the question?

Choices:
A. hope
B. stress
C. happiness
D. frustration
E. working hard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
Where would you put your change if you plan to use it soon and you are not a man?,change,train-00000-of-00001,D,"Question:
Where would you put your change if you plan to use it soon and you are not a man?

Which of the following is the best response to the question?

Choices:
A. wardrobe
B. jar
C. pocket
D. purse
E. backseat of car

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
John never felt himself losing consciousness.   The next thing he knew a year had passed.  He had been what?,losing consciousness,train-00000-of-00001,B,"Question:
John never felt himself losing consciousness.   The next thing he knew a year had passed.  He had been what?

Which of the following is the best response to the question?

Choices:
A. falling down
B. coma
C. dreaming
D. death
E. forgetfulness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
John didn't have to ride his bike.  He did it for only one reason. What reason is that?,riding bike,train-00000-of-00001,B,"Question:
John didn't have to ride his bike.  He did it for only one reason. What reason is that?

Which of the following is the best response to the question?

Choices:
A. thirst
B. enjoyment
C. for fun
D. pleasure
E. fatigue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Boredom and hunger led to a wandering waste of time and a cart full of unhealthy snacks during her trip to where?,boredom,validation-00000-of-00001,E,"Question:
Boredom and hunger led to a wandering waste of time and a cart full of unhealthy snacks during her trip to where?

Which of the following is the best response to the question?

Choices:
A. new moon
B. play cards
C. read book
D. see art
E. grocery shop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
John loved talking to people about their feelings. He felt that this gave him something about them. What might it give him?,talking to,train-00000-of-00001,B,"Question:
John loved talking to people about their feelings. He felt that this gave him something about them. What might it give him?

Which of the following is the best response to the question?

Choices:
A. rumors spread
B. increased understanding
C. adverse reaction
D. boredom
E. build enemy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"He expected high quality for the money he spent, but the chair fell apart from what?",quality,train-00000-of-00001,E,"Question:
He expected high quality for the money he spent, but the chair fell apart from what?

Which of the following is the best response to the question?

Choices:
A. bad taste
B. crummy
C. cheap
D. medium
E. poor workmanship

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"With all the leaves falling each year, a natural compost keeps the soil healthy for all the trees where?",compost,train-00000-of-00001,D,"Question:
With all the leaves falling each year, a natural compost keeps the soil healthy for all the trees where?

Which of the following is the best response to the question?

Choices:
A. garden
B. useful for recycling
C. surface of earth
D. forest
E. orchard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"He had a hard time finding the room on his schedule, it was on the second floor and he got lost in the very large what?",second floor,train-00000-of-00001,A,"Question:
He had a hard time finding the room on his schedule, it was on the second floor and he got lost in the very large what?

Which of the following is the best response to the question?

Choices:
A. school
B. office building
C. house
D. hotel
E. centre

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
John wanted to play tennis.  He thought he might be able to find a tennis court somewhere. Where might he look?,tennis court,train-00000-of-00001,A,"Question:
John wanted to play tennis.  He thought he might be able to find a tennis court somewhere. Where might he look?

Which of the following is the best response to the question?

Choices:
A. park
B. town
C. venus williams
D. wimbledon
E. michigan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"Choosing a cruise for traveling can have many benefits, socially you're in close proximity strangers and get to experience what more quickly?",traveling,train-00000-of-00001,C,"Question:
Choosing a cruise for traveling can have many benefits, socially you're in close proximity strangers and get to experience what more quickly?

Which of the following is the best response to the question?

Choices:
A. getting somewhere
B. motion sickness
C. meeting new people
D. disorientation
E. bad food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
There is no skylight or anything else to let in light in what kind of structure?,skylight,train-00000-of-00001,C,"Question:
There is no skylight or anything else to let in light in what kind of structure?

Which of the following is the best response to the question?

Choices:
A. house
B. office building
C. windowless room
D. roof
E. glass box

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Because he was a poor patient, what did he resist doing when nurses prompted him?",patient,train-00000-of-00001,D,"Question:
Because he was a poor patient, what did he resist doing when nurses prompted him?

Which of the following is the best response to the question?

Choices:
A. appear better
B. visit doctor
C. will to survive
D. take pills
E. pay bill

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
James looked for an out of the way spot for his new floor lamp. Where might he have put it?,lamp,train-00000-of-00001,C,"Question:
James looked for an out of the way spot for his new floor lamp. Where might he have put it?

Which of the following is the best response to the question?

Choices:
A. office
B. desktop
C. corner
D. next to the bed
E. at hotel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
John lived in a small island surrounded by flowing liquid H2O   Where might he live?,island,train-00000-of-00001,C,"Question:
John lived in a small island surrounded by flowing liquid H2O   Where might he live?

Which of the following is the best response to the question?

Choices:
A. japan
B. hawaii
C. mississippi river
D. pacific ocean
E. body of water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"She was going to bed at 11 at night, what was she looking to do?",going to bed,train-00000-of-00001,A,"Question:
She was going to bed at 11 at night, what was she looking to do?

Which of the following is the best response to the question?

Choices:
A. falling asleep
B. relaxing
C. rest
D. dreaming of
E. laziness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Johnny was looking for blowfish in places that weren't near America.  Where would he look?,blowfish,train-00000-of-00001,E,"Question:
Johnny was looking for blowfish in places that weren't near America.  Where would he look?

Which of the following is the best response to the question?

Choices:
A. fish market
B. hawaiian waters
C. gulf of mexico
D. tropical sea
E. south pacific ocean

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Marmot's can be found in high places.  They have hands that they can use to get to the top of what?,marmot,train-00000-of-00001,E,"Question:
Marmot's can be found in high places.  They have hands that they can use to get to the top of what?

Which of the following is the best response to the question?

Choices:
A. outside
B. hill
C. jungle
D. rocky hillside
E. tree

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The woman picked from an apple tree while surrounded by other trees, where was she?",apple tree,train-00000-of-00001,B,"Question:
The woman picked from an apple tree while surrounded by other trees, where was she?

Which of the following is the best response to the question?

Choices:
A. illinois
B. woods
C. new york
D. indiana
E. farmer's market

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"If you're in North America traveling an expressway toward the Atlantic Ocean, where are you traveling to?",expressway,train-00000-of-00001,E,"Question:
If you're in North America traveling an expressway toward the Atlantic Ocean, where are you traveling to?

Which of the following is the best response to the question?

Choices:
A. michigan
B. large city
C. state
D. american city
E. eastern united states

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"It was a stunning sight to the explorer, the garden oasis in the middle of the what was the most beautiful thing he had seen?",garden,train-00000-of-00001,E,"Question:
It was a stunning sight to the explorer, the garden oasis in the middle of the what was the most beautiful thing he had seen?

Which of the following is the best response to the question?

Choices:
A. hop garden
B. wasteland
C. parking lot
D. sand dune
E. desert

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Two people were hanging around the quick stop.  They were getting hungry.    What might have they been doing?,people,train-00000-of-00001,B,"Question:
Two people were hanging around the quick stop.  They were getting hungry.    What might have they been doing?

Which of the following is the best response to the question?

Choices:
A. eat eggs
B. smoke pot
C. believe in god
D. make tools
E. writing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"If people have trouble finding enough resources to fulfill their calorie requirements, what might they have to do?",people,train-00000-of-00001,B,"Question:
If people have trouble finding enough resources to fulfill their calorie requirements, what might they have to do?

Which of the following is the best response to the question?

Choices:
A. talk to each other
B. compete with each other
C. feed themselves
D. find water
E. feel lonely

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
James's nice asked him about her grandfather. She was interested in learning about what?,niece,validation-00000-of-00001,A,"Question:
James's nice asked him about her grandfather. She was interested in learning about what?

Which of the following is the best response to the question?

Choices:
A. family tree
B. family reunion
C. babysitting
D. brother's house
E. heirlooms

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"The lady would eat and eat, and because of mental issues would then make herself what?",eat,validation-00000-of-00001,D,"Question:
The lady would eat and eat, and because of mental issues would then make herself what?

Which of the following is the best response to the question?

Choices:
A. wash dishes
B. throwing up
C. drinking
D. throw up
E. turn inside out

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The fat man refused to accept what was possible, he complained that he what the simplest activities?",possible,train-00000-of-00001,D,"Question:
The fat man refused to accept what was possible, he complained that he what the simplest activities?

Which of the following is the best response to the question?

Choices:
A. no go
B. unlikely
C. unable
D. cant do
E. impossibility

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
James stopped standing in the mid and began doing what to the pit?,stopping standing in,train-00000-of-00001,A,"Question:
James stopped standing in the mid and began doing what to the pit?

Which of the following is the best response to the question?

Choices:
A. move away from
B. laying in
C. move out
D. walking out of
E. move further into

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"If I had more than one steel pen (e.g. 100,000), where would I store it?",steel pen,train-00000-of-00001,B,"Question:
If I had more than one steel pen (e.g. 100,000), where would I store it?

Which of the following is the best response to the question?

Choices:
A. hand
B. warehouse
C. tv stand
D. back of farm
E. desk drawer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"Friends and family had been celebrating their marriage all day, but they were alone finally and it was time for some what?",celebrating,train-00000-of-00001,D,"Question:
Friends and family had been celebrating their marriage all day, but they were alone finally and it was time for some what?

Which of the following is the best response to the question?

Choices:
A. headaches
B. enjoyment
C. riots
D. intimacy
E. ocean

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Recording somethign on an old answering machine required you to put what inside of it?,recording somethign,train-00000-of-00001,E,"Question:
Recording somethign on an old answering machine required you to put what inside of it?

Which of the following is the best response to the question?

Choices:
A. have recording device
B. disket
C. recorder
D. spell checker
E. tape

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"She had locked her key in her car again, but luckily she always kept a spare in her what?",key,train-00000-of-00001,E,"Question:
She had locked her key in her car again, but luckily she always kept a spare in her what?

Which of the following is the best response to the question?

Choices:
A. own home
B. front door
C. pocket
D. garden gnome
E. purse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
The pencil  fell to the floor.  John picked it up and put it back where it was.  Where did john put it?,pencil,train-00000-of-00001,A,"Question:
The pencil  fell to the floor.  John picked it up and put it back where it was.  Where did john put it?

Which of the following is the best response to the question?

Choices:
A. shelf
B. classroom
C. office depot
D. road
E. cup

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
A night owl is what you'd head at sunset and you'd hear a what at sunrise?,night owl,train-00000-of-00001,C,"Question:
A night owl is what you'd head at sunset and you'd hear a what at sunrise?

Which of the following is the best response to the question?

Choices:
A. morning person
B. early bird
C. lark
D. early riser
E. rooster

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The hike was just too early for him, rather than water he put a cup of coffee in his what?",cup of coffee,train-00000-of-00001,B,"Question:
The hike was just too early for him, rather than water he put a cup of coffee in his what?

Which of the following is the best response to the question?

Choices:
A. deli
B. canteen
C. kitchen
D. office
E. diner

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The neolithic person was hungry, so what was their solution to the prblem?",person,train-00000-of-00001,B,"Question:
The neolithic person was hungry, so what was their solution to the prblem?

Which of the following is the best response to the question?

Choices:
A. thank god
B. hunt for food
C. feel humiliated
D. sleep
E. prepare to go

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"James is a normal person, but sometimes he's under the weather.  Normal people feel what sometimes?",normal,train-00000-of-00001,A,"Question:
James is a normal person, but sometimes he's under the weather.  Normal people feel what sometimes?

Which of the following is the best response to the question?

Choices:
A. ill
B. tangential
C. reverse
D. uncommon
E. unconventional

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The animals were acting rabid at the sight of a bucket, why?",animals,train-00000-of-00001,B,"Question:
The animals were acting rabid at the sight of a bucket, why?

Which of the following is the best response to the question?

Choices:
A. fight each other
B. need to eat
C. feared the bucket
D. feel pain
E. live lives

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
The ball was hit over a boundary and struck an audience member.  What kind of game were they playing?,boundary,validation-00000-of-00001,A,"Question:
The ball was hit over a boundary and struck an audience member.  What kind of game were they playing?

Which of the following is the best response to the question?

Choices:
A. sporting event
B. sporting
C. basketball
D. society
E. ranch country

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"If a man needs a shave he'd go to the bathroom, then maybe get the disposable razor out of where?",disposable razor,train-00000-of-00001,A,"Question:
If a man needs a shave he'd go to the bathroom, then maybe get the disposable razor out of where?

Which of the following is the best response to the question?

Choices:
A. medicine cabinet
B. travel bag
C. supermarket
D. closet
E. garbage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
The meteorologist said that there was a storm coming.  This forced John to delay his trip to what location?,storm,train-00000-of-00001,D,"Question:
The meteorologist said that there was a storm coming.  This forced John to delay his trip to what location?

Which of the following is the best response to the question?

Choices:
A. tropical seas
B. cuba
C. tropics
D. caribbean
E. weather report

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The host lit up as the doorbell finally rang, he was to obviously what?",host,train-00000-of-00001,A,"Question:
The host lit up as the doorbell finally rang, he was to obviously what?

Which of the following is the best response to the question?

Choices:
A. expect company
B. mount a horse
C. offer food to guests
D. head table
E. welcome guests

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
John took a carboard box and emptied his closet racks into it.  He was using the box to do what?,box,train-00000-of-00001,C,"Question:
John took a carboard box and emptied his closet racks into it.  He was using the box to do what?

Which of the following is the best response to the question?

Choices:
A. hold secret
B. store food
C. store clothes
D. store data
E. hold things

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"If a person feels they are getting a job but they never get the offer, how might they feel?",getting,train-00000-of-00001,E,"Question:
If a person feels they are getting a job but they never get the offer, how might they feel?

Which of the following is the best response to the question?

Choices:
A. illness
B. satisfaction
C. gratitude
D. fear
E. let down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The soldier was told to get to the rendezvous point, for there he was suppose to what?",soldier,validation-00000-of-00001,D,"Question:
The soldier was told to get to the rendezvous point, for there he was suppose to what?

Which of the following is the best response to the question?

Choices:
A. fight enemy
B. go to war
C. fight for freedom
D. wait for orders
E. follow instructions

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"Grumpy is grooming himself because he's been told that his appearance can impact his mood, and he wants to be what?",grooming,train-00000-of-00001,E,"Question:
Grumpy is grooming himself because he's been told that his appearance can impact his mood, and he wants to be what?

Which of the following is the best response to the question?

Choices:
A. injury
B. get
C. looking pretty
D. negative
E. positive

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"She had a busy schedule, she had to run errands and pick up the kids the second she did what?",run errands,train-00000-of-00001,D,"Question:
She had a busy schedule, she had to run errands and pick up the kids the second she did what?

Which of the following is the best response to the question?

Choices:
A. make time for
B. take money
C. go outdoors
D. leave work
E. field

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"She really enjoyed to make bread, because when you made your own it was always what?",make bread,train-00000-of-00001,A,"Question:
She really enjoyed to make bread, because when you made your own it was always what?

Which of the following is the best response to the question?

Choices:
A. fresher
B. healthier
C. i'm hungry
D. eat bread
E. tastes better than storebought

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"Sam was against Allison's decision.  Joe was the opposite.  What was Joe, regarding that decision?",against,train-00000-of-00001,A,"Question:
Sam was against Allison's decision.  Joe was the opposite.  What was Joe, regarding that decision?

Which of the following is the best response to the question?

Choices:
A. being for
B. away from
C. combined
D. for or
E. conjunction

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"If I want more light sources while I am awake at night, where should I install them?",light source,train-00000-of-00001,C,"Question:
If I want more light sources while I am awake at night, where should I install them?

Which of the following is the best response to the question?

Choices:
A. lamp
B. sky
C. house
D. dig in the garden
E. candle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The soldier was a great candidate for the job, the hiring officer knew the soldier could what?",soldier,train-00000-of-00001,D,"Question:
The soldier was a great candidate for the job, the hiring officer knew the soldier could what?

Which of the following is the best response to the question?

Choices:
A. fight enemy
B. report for duty
C. amuse oneself
D. follow instructions
E. wait for orders

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What would one like to do with friends when there is no agenda?,friends,train-00000-of-00001,A,"Question:
What would one like to do with friends when there is no agenda?

Which of the following is the best response to the question?

Choices:
A. hang out
B. talking about
C. bond with each other
D. meet for lunch
E. side with

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
James bought a new set of tire chains and put them somewhere he could find them.  Where would he put them?,chain,validation-00000-of-00001,B,"Question:
James bought a new set of tire chains and put them somewhere he could find them.  Where would he put them?

Which of the following is the best response to the question?

Choices:
A. gear shift
B. garage
C. kitchen
D. jewelry store
E. hardware store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"Danny was studying statistics in class, and he something disturbing about driving.   It causes a significant number of what?",driving,train-00000-of-00001,A,"Question:
Danny was studying statistics in class, and he something disturbing about driving.   It causes a significant number of what?

Which of the following is the best response to the question?

Choices:
A. deaths
B. moving
C. car wrecks
D. using gas
E. may die

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"If a person has clean laundry in the basement, what will they have to do in order to put it away in the bedroom?",person,train-00000-of-00001,C,"Question:
If a person has clean laundry in the basement, what will they have to do in order to put it away in the bedroom?

Which of the following is the best response to the question?

Choices:
A. die at home
B. cross street
C. climb stairs
D. make dinner
E. love objects

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"The student sat in the quiet classroom with a piece of paper in front of them, what where they working on?",student,train-00000-of-00001,D,"Question:
The student sat in the quiet classroom with a piece of paper in front of them, what where they working on?

Which of the following is the best response to the question?

Choices:
A. ask questions
B. school accounts
C. read book
D. complete test
E. learn to read

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"After working overtime and double shifts he was cashing in, that weekend he would celebrate and relax with some unhealthy what?",cashing in,train-00000-of-00001,B,"Question:
After working overtime and double shifts he was cashing in, that weekend he would celebrate and relax with some unhealthy what?

Which of the following is the best response to the question?

Choices:
A. get rich
B. binge drinking
C. getting money
D. increase in money
E. drinking coffee

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
If you believe something but then you begin getting and understanding new information you may come to a what?,getting,train-00000-of-00001,B,"Question:
If you believe something but then you begin getting and understanding new information you may come to a what?

Which of the following is the best response to the question?

Choices:
A. disappointment
B. new realization
C. heat wave
D. joy
E. wanting more

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"If I'm on the water after an earthquake, what should I be on the look out for?",water,train-00000-of-00001,E,"Question:
If I'm on the water after an earthquake, what should I be on the look out for?

Which of the following is the best response to the question?

Choices:
A. steam room
B. debris
C. crushed ice
D. ocean
E. tidal waves

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Their boss informed them they can't just be chatting with friends on the clock, it was okay if they were doing what though?",chatting with friends,train-00000-of-00001,C,"Question:
Their boss informed them they can't just be chatting with friends on the clock, it was okay if they were doing what though?

Which of the following is the best response to the question?

Choices:
A. happiness
B. will laugh
C. exchanging information
D. communication
E. social approval

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"Dinner was finished and the dishes cleared, the bust boy then wiped all the crumbs off the what?",crumbs,train-00000-of-00001,D,"Question:
Dinner was finished and the dishes cleared, the bust boy then wiped all the crumbs off the what?

Which of the following is the best response to the question?

Choices:
A. box of crackers
B. face
C. rug
D. table
E. floor

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"He was a great man, because of this he had to keep the hair of his what trimmed?",hair,train-00000-of-00001,E,"Question:
He was a great man, because of this he had to keep the hair of his what trimmed?

Which of the following is the best response to the question?

Choices:
A. dog
B. barber shop
C. mammals
D. person's head
E. moustache

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The chain kept coming off of Bill's bike.  Because of this, you couldn't use what?",chain,train-00000-of-00001,A,"Question:
The chain kept coming off of Bill's bike.  Because of this, you couldn't use what?

Which of the following is the best response to the question?

Choices:
A. gear shift
B. wheels
C. garage
D. hardware store
E. motorbike

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"If someone is watching the professional Tigers play a game at a baseball field, where are they likely?",baseball field,train-00000-of-00001,D,"Question:
If someone is watching the professional Tigers play a game at a baseball field, where are they likely?

Which of the following is the best response to the question?

Choices:
A. japan or america
B. baseball stadium
C. inside
D. detroit
E. country

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
"Bill sits down on a whoopee cushion, what sound does he make when he sits?",sitting down,train-00000-of-00001,B,"Question:
Bill sits down on a whoopee cushion, what sound does he make when he sits?

Which of the following is the best response to the question?

Choices:
A. fall asleep
B. flatulence
C. sigh of relief
D. medium
E. comfort

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"The overbearing father told his son he had to earn his value, in left the child with feeling of what?",value,train-00000-of-00001,E,"Question:
The overbearing father told his son he had to earn his value, in left the child with feeling of what?

Which of the following is the best response to the question?

Choices:
A. discounted
B. expensive
C. cheap
D. invaluable
E. worthlessness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
Jane is a farmer who is currently working on a wet terrace.  Where might Jane be?,terrace,train-00000-of-00001,E,"Question:
Jane is a farmer who is currently working on a wet terrace.  Where might Jane be?

Which of the following is the best response to the question?

Choices:
A. architecture
B. the zoo
C. italy
D. japan
E. rice paddy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
North america has winter to start the year because it is where?,north america,train-00000-of-00001,C,"Question:
North america has winter to start the year because it is where?

Which of the following is the best response to the question?

Choices:
A. america
B. western hemisphere
C. northern hemisphere
D. occident
E. north america is the world’s third-largest continent – 24

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The air conditioning went out during a film, and the clientele walked out due to discomfort, what were they leaving?",air conditioning,train-00000-of-00001,E,"Question:
The air conditioning went out during a film, and the clientele walked out due to discomfort, what were they leaving?

Which of the following is the best response to the question?

Choices:
A. house
B. offices
C. book store
D. car
E. movie theatre

Reply with exactly one uppercase letter out of A, B, C, D or E.
",79
"The marathon included dancing for as long as possible for a prize, what did people feel as a result?",dancing,train-00000-of-00001,E,"Question:
The marathon included dancing for as long as possible for a prize, what did people feel as a result?

Which of the following is the best response to the question?

Choices:
A. humiliation
B. sweaty
C. fatigue
D. blisters
E. exhaustion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"George is a person who kept things bottled up  Even though he was married, he never did what?",person,train-00000-of-00001,B,"Question:
George is a person who kept things bottled up  Even though he was married, he never did what?

Which of the following is the best response to the question?

Choices:
A. smiled
B. say love
C. sit up
D. cross street
E. converse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",78
What does a doctor have to do before he is allowed to take an exam to get his MD?,doctor,train-00000-of-00001,E,"Question:
What does a doctor have to do before he is allowed to take an exam to get his MD?

Which of the following is the best response to the question?

Choices:
A. provide care
B. let blood
C. resuscitate
D. distance himself
E. study medicine

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
"Many politicians like to talk about the small time farmer, but almost all farms are actually what?",farmer,train-00000-of-00001,D,"Question:
Many politicians like to talk about the small time farmer, but almost all farms are actually what?

Which of the following is the best response to the question?

Choices:
A. farm land
B. financial
C. business man
D. industrial
E. city dweller

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Going into a trance is often associated with what sort of unconscious involuntary movement at night?,going into trance,train-00000-of-00001,E,"Question:
Going into a trance is often associated with what sort of unconscious involuntary movement at night?

Which of the following is the best response to the question?

Choices:
A. hungry
B. peacefulness
C. religious experience
D. loss of balance
E. sleepwalking

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The snake found a warm place to sleep next to a human, where did it end up?",snake,train-00000-of-00001,E,"Question:
The snake found a warm place to sleep next to a human, where did it end up?

Which of the following is the best response to the question?

Choices:
A. tree
B. warm place
C. wooded area
D. sand
E. sleeping bag

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"If people are shot in the head by a bullet, what is the likely result?",people,train-00000-of-00001,D,"Question:
If people are shot in the head by a bullet, what is the likely result?

Which of the following is the best response to the question?

Choices:
A. believe in god
B. migraine
C. complete high school
D. die suddenly
E. cross river

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"She wanted to use television but couldn't find the remote, and she didn't know how to manually what?",use television,train-00000-of-00001,A,"Question:
She wanted to use television but couldn't find the remote, and she didn't know how to manually what?

Which of the following is the best response to the question?

Choices:
A. switch on
B. kill
C. open eyes
D. plug in
E. watch tv

Reply with exactly one uppercase letter out of A, B, C, D or E.
",80
