question,question_concept,_split,answer,final_prompt,len_tk_qwen2.5_7b_base
It's rude to make loud noise and commentary while watching something where?,noise,train-00000-of-00001,E,"Question:
It's rude to make loud noise and commentary while watching something where?

Which of the following is the best response to the question?

Choices:
A. fair
B. carnival
C. classroom
D. bowling alley
E. movie theatre

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
How may one feel after playing games for a long time?,playing games,train-00000-of-00001,A,"Question:
How may one feel after playing games for a long time?

Which of the following is the best response to the question?

Choices:
A. fatigue
B. happiness
C. bournout
D. learning
E. losing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
A beaver builds structures to block what sort of feature?,beaver,train-00000-of-00001,C,"Question:
A beaver builds structures to block what sort of feature?

Which of the following is the best response to the question?

Choices:
A. books
B. zoo
C. body of water
D. wooded area
E. animals

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where does water in the sky come from?,water,train-00000-of-00001,B,"Question:
Where does water in the sky come from?

Which of the following is the best response to the question?

Choices:
A. space
B. rain cloud
C. surface of earth
D. wishing well
E. lake or river

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
You can see bald eagles along the Mississippi in what state?,bald eagle,train-00000-of-00001,A,"Question:
You can see bald eagles along the Mississippi in what state?

Which of the following is the best response to the question?

Choices:
A. iowa
B. wisconsin
C. currency
D. new mexico
E. canada

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"The old saying is that taxes are inevitable, and also what?",tax,train-00000-of-00001,B,"Question:
The old saying is that taxes are inevitable, and also what?

Which of the following is the best response to the question?

Choices:
A. discount
B. death and
C. refund
D. free money
E. spend

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"While chatting with friends for hours, what did the formerly lonely man feel?",chatting with friends,train-00000-of-00001,A,"Question:
While chatting with friends for hours, what did the formerly lonely man feel?

Which of the following is the best response to the question?

Choices:
A. happiness
B. tiredness
C. communication
D. agreement
E. answers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What would cause a person to stop driving at a hotel?,driving,train-00000-of-00001,E,"Question:
What would cause a person to stop driving at a hotel?

Which of the following is the best response to the question?

Choices:
A. traffic accident
B. boredom
C. sleepness
D. injuries
E. fatigue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What does a human feel when their friends ditch tehm?,human,train-00000-of-00001,A,"Question:
What does a human feel when their friends ditch tehm?

Which of the following is the best response to the question?

Choices:
A. let down
B. better himself
C. bored
D. row boat
E. turn away

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where does a fox go most of the time?,fox,train-00000-of-00001,D,"Question:
Where does a fox go most of the time?

Which of the following is the best response to the question?

Choices:
A. back yard
B. hen house
C. storybook
D. natural habitat
E. bathroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where areas are there likely to be many nightclubs?,nightclub,validation-00000-of-00001,D,"Question:
Where areas are there likely to be many nightclubs?

Which of the following is the best response to the question?

Choices:
A. manhattan
B. drink and dance
C. alcohol
D. major city
E. downtown area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"The baby came unexpectedly, what did it do?",baby,train-00000-of-00001,E,"Question:
The baby came unexpectedly, what did it do?

Which of the following is the best response to the question?

Choices:
A. died
B. boy or girl
C. learn to walk
D. talk nonsense
E. arrive early

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
A good interview after applying for a job may cause you to feel what?,applying for job,validation-00000-of-00001,E,"Question:
A good interview after applying for a job may cause you to feel what?

Which of the following is the best response to the question?

Choices:
A. offer
B. income
C. rejection
D. hostile
E. hope

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you get some tin if you do not have any?,tin,train-00000-of-00001,B,"Question:
Where would you get some tin if you do not have any?

Which of the following is the best response to the question?

Choices:
A. cupboard
B. hardware store
C. antique store
D. shop
E. grocery store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where is your condo if you're drinking Schlitz?,condo,train-00000-of-00001,C,"Question:
Where is your condo if you're drinking Schlitz?

Which of the following is the best response to the question?

Choices:
A. residential area
B. city
C. milwaukee
D. suburbia
E. schlitztown

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is a good way to carry a small dog?,small dog,train-00000-of-00001,B,"Question:
What is a good way to carry a small dog?

Which of the following is the best response to the question?

Choices:
A. good hands
B. backpack
C. chinese food
D. grocery bag
E. basket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"When people are drinking alcohol, what state are they in?",drinking alcohol,train-00000-of-00001,D,"Question:
When people are drinking alcohol, what state are they in?

Which of the following is the best response to the question?

Choices:
A. having sex
B. death
C. arousal
D. disorientation
E. sickness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Why might people go to a party?,people,train-00000-of-00001,C,"Question:
Why might people go to a party?

Which of the following is the best response to the question?

Choices:
A. to be alone
B. believe in god
C. enjoy themselves
D. face each other
E. group together

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where can you get in shape and drink at a juice bar?,juice,train-00000-of-00001,D,"Question:
Where can you get in shape and drink at a juice bar?

Which of the following is the best response to the question?

Choices:
A. fridge
B. limejuice
C. square
D. gym
E. refrigerator

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do you read to help with at night?,read,train-00000-of-00001,C,"Question:
What do you read to help with at night?

Which of the following is the best response to the question?

Choices:
A. learn new things
B. memorize
C. falling asleep
D. waking up
E. having fun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would you put a plate immediately after eating from it?,plate,validation-00000-of-00001,D,"Question:
Where would you put a plate immediately after eating from it?

Which of the following is the best response to the question?

Choices:
A. kitchen cupboard
B. floor
C. table
D. dishwasher
E. flea market

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where can you buy a two wheel transportation machine?,wheel,validation-00000-of-00001,D,"Question:
Where can you buy a two wheel transportation machine?

Which of the following is the best response to the question?

Choices:
A. boat
B. michigan
C. train station
D. bicycle shop
E. trunk of car

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
How might someone feel if they were committing perjury?,committing perjury,train-00000-of-00001,B,"Question:
How might someone feel if they were committing perjury?

Which of the following is the best response to the question?

Choices:
A. embarrassment indictment
B. tension
C. going to jail
D. penalty
E. mistrial

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is something you do at a concert?,something you,train-00000-of-00001,A,"Question:
What is something you do at a concert?

Which of the following is the best response to the question?

Choices:
A. make noise
B. make time
C. make payments
D. make hay
E. make peace

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What are you using if there are speakers strapped on your ears?,speakers,validation-00000-of-00001,B,"Question:
What are you using if there are speakers strapped on your ears?

Which of the following is the best response to the question?

Choices:
A. take it all in
B. headphones
C. desktop
D. conference
E. concert

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What are people in a library likely doing?,people,train-00000-of-00001,C,"Question:
What are people in a library likely doing?

Which of the following is the best response to the question?

Choices:
A. talk to each other
B. board ships
C. study books
D. suffer hunger
E. playing games

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is a dangerous outdoor activity for children?,children,train-00000-of-00001,C,"Question:
What is a dangerous outdoor activity for children?

Which of the following is the best response to the question?

Choices:
A. play games
B. wrong house
C. sun themselves
D. watch television
E. set table

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"He tried communicating by radio, but what did he hearing the other end?",communicating,train-00000-of-00001,A,"Question:
He tried communicating by radio, but what did he hearing the other end?

Which of the following is the best response to the question?

Choices:
A. static
B. progress
C. collaboration
D. confusion
E. sound

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where is one not likely to find a ring road?,ring road,train-00000-of-00001,D,"Question:
Where is one not likely to find a ring road?

Which of the following is the best response to the question?

Choices:
A. european city
B. motorcycle
C. town
D. freeway system
E. travel around city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What must someone do before they shop?,shop,validation-00000-of-00001,A,"Question:
What must someone do before they shop?

Which of the following is the best response to the question?

Choices:
A. get money
B. have money
C. bring cash
D. go to market
E. bring cash

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
How does a bishop move from one place to another?,bishop,train-00000-of-00001,A,"Question:
How does a bishop move from one place to another?

Which of the following is the best response to the question?

Choices:
A. chess game
B. church
C. in a car
D. queen
E. cathedral

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
A villain in the middle ages is a type of what?,villain,train-00000-of-00001,B,"Question:
A villain in the middle ages is a type of what?

Which of the following is the best response to the question?

Choices:
A. nobleman
B. landowner
C. good guy
D. aristocrat
E. saint

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Why does someone flirt with many people at once?,flirt,validation-00000-of-00001,D,"Question:
Why does someone flirt with many people at once?

Which of the following is the best response to the question?

Choices:
A. have sex
B. get laid
C. were lonely
D. attract attention
E. dance

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where might one be unrestricted on a superhighway?,superhighway,train-00000-of-00001,C,"Question:
Where might one be unrestricted on a superhighway?

Which of the following is the best response to the question?

Choices:
A. semi-truck
B. city
C. germany
D. america
E. computer network

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"If a human wants to harm another person, what should he join?",human,train-00000-of-00001,A,"Question:
If a human wants to harm another person, what should he join?

Which of the following is the best response to the question?

Choices:
A. battle
B. doctor
C. electrical circuit
D. mexico
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"When someone is watching a film, what are they hoping for?",watching film,train-00000-of-00001,B,"Question:
When someone is watching a film, what are they hoping for?

Which of the following is the best response to the question?

Choices:
A. insight
B. being entertained
C. fear
D. erection
E. expectations

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What can someone do after going to bed?,going to bed,train-00000-of-00001,E,"Question:
What can someone do after going to bed?

Which of the following is the best response to the question?

Choices:
A. pregnancy
B. drowsiness
C. insomnia
D. make a sandwich
E. sleeping in

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where would you usually find a freezer with food in it?,freezer,train-00000-of-00001,E,"Question:
Where would you usually find a freezer with food in it?

Which of the following is the best response to the question?

Choices:
A. appliance store
B. garage
C. freeze food
D. bedroom
E. own home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Why is someone likely to use an iron when cleaning clothes?,cleaning clothes,train-00000-of-00001,A,"Question:
Why is someone likely to use an iron when cleaning clothes?

Which of the following is the best response to the question?

Choices:
A. wrinkles
B. sanitation
C. attractive appearance
D. looks good
E. ruined

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
John cooled the steam. What did the steam become?,steam,train-00000-of-00001,D,"Question:
John cooled the steam. What did the steam become?

Which of the following is the best response to the question?

Choices:
A. condensate
B. electric smoke
C. smoke
D. liquid water
E. cold air

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What are you waiting alongside with when you're in a reception area?,reception area,validation-00000-of-00001,D,"Question:
What are you waiting alongside with when you're in a reception area?

Which of the following is the best response to the question?

Choices:
A. motel
B. chair
C. hospital
D. people
E. hotels

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where would you put condiments to stop them from combining with other condiments?,condiments,train-00000-of-00001,E,"Question:
Where would you put condiments to stop them from combining with other condiments?

Which of the following is the best response to the question?

Choices:
A. cup
B. refrigerator
C. table
D. pantry
E. container

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What kind of explosive device has a fuse or timer?,explosive,train-00000-of-00001,D,"Question:
What kind of explosive device has a fuse or timer?

Which of the following is the best response to the question?

Choices:
A. war
B. fireworks display
C. action film set
D. bomb
E. construction site

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is a soccer field at a school next to?,soccer field,train-00000-of-00001,E,"Question:
What is a soccer field at a school next to?

Which of the following is the best response to the question?

Choices:
A. countryside
B. swimming pool
C. open place
D. park
E. school yard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where is a snake likely to startle a farmer?,snake,train-00000-of-00001,E,"Question:
Where is a snake likely to startle a farmer?

Which of the following is the best response to the question?

Choices:
A. tropical forest
B. tree
C. pet shops
D. book store
E. feild

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where can a ferret hide easily?,ferret,train-00000-of-00001,C,"Question:
Where can a ferret hide easily?

Which of the following is the best response to the question?

Choices:
A. cousin's house
B. taxi cab
C. wood pile
D. own home
E. in a fridge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where did a shop get the sand dollars you can buy?,shop,train-00000-of-00001,D,"Question:
Where did a shop get the sand dollars you can buy?

Which of the following is the best response to the question?

Choices:
A. high school
B. container
C. atm
D. ocean floor
E. downtown area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"Where can you find the meaning of ""ficus""?",ficus,validation-00000-of-00001,A,"Question:
Where can you find the meaning of ""ficus""?

Which of the following is the best response to the question?

Choices:
A. dictionary
B. apartment
C. libary
D. middle east
E. arboretum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"The detective was finding information from witnesses, why would he do that?",finding information,validation-00000-of-00001,C,"Question:
The detective was finding information from witnesses, why would he do that?

Which of the following is the best response to the question?

Choices:
A. fun
B. ulcers
C. get answers
D. happiness
E. power

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"The condominium has public recreational areas, what was the purpose of these?",condominium,train-00000-of-00001,E,"Question:
The condominium has public recreational areas, what was the purpose of these?

Which of the following is the best response to the question?

Choices:
A. park cars
B. complex
C. florida
D. washington
E. community

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do you keep in a billfold?,billfold,train-00000-of-00001,D,"Question:
What do you keep in a billfold?

Which of the following is the best response to the question?

Choices:
A. identification
B. cell phone
C. hip pocket
D. money
E. man's back pocket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
This can set in after going to work with to little sleep?,going to work,train-00000-of-00001,D,"Question:
This can set in after going to work with to little sleep?

Which of the following is the best response to the question?

Choices:
A. anger
B. bad mood
C. poor judgement
D. exhaustion
E. boredom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
When would there be someone sitting on a chair that you cannot see?,chair,train-00000-of-00001,D,"Question:
When would there be someone sitting on a chair that you cannot see?

Which of the following is the best response to the question?

Choices:
A. office
B. auditorium
C. circus
D. confession
E. synagogue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What state is Pat Roberts the senator of?,republican,train-00000-of-00001,D,"Question:
What state is Pat Roberts the senator of?

Which of the following is the best response to the question?

Choices:
A. demopublican
B. new york
C. nebraska
D. kansas
E. colorado

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
how might someone get injured when driving a car?,driving car,train-00000-of-00001,D,"Question:
how might someone get injured when driving a car?

Which of the following is the best response to the question?

Choices:
A. getting somewhere
B. go somewhere
C. stoplight
D. car crash
E. pollution

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What is something that you eat that has a heel?,heel,train-00000-of-00001,C,"Question:
What is something that you eat that has a heel?

Which of the following is the best response to the question?

Choices:
A. foot
B. sandal
C. loaf of bread
D. shoe
E. boot

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"The dilemma was simple, the chicken or the what?",chicken,train-00000-of-00001,B,"Question:
The dilemma was simple, the chicken or the what?

Which of the following is the best response to the question?

Choices:
A. beef
B. egg
C. being brave
D. bought at store
E. eaten

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where might be an odd place to put a washing machine?,washing machine,train-00000-of-00001,C,"Question:
Where might be an odd place to put a washing machine?

Which of the following is the best response to the question?

Choices:
A. laundromat
B. wash clothes
C. cellar
D. house
E. garage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where are horses found with jockeys?,horses,train-00000-of-00001,B,"Question:
Where are horses found with jockeys?

Which of the following is the best response to the question?

Choices:
A. magazines
B. race track
C. countryside
D. fair
E. kept in barn stalls

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What happens when people don't recycle packing materials?,people,train-00000-of-00001,E,"Question:
What happens when people don't recycle packing materials?

Which of the following is the best response to the question?

Choices:
A. change direction
B. save earth
C. travel abroad
D. believe in god
E. waste paper

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What mammal has a diaphragm?,diaphragm,train-00000-of-00001,C,"Question:
What mammal has a diaphragm?

Which of the following is the best response to the question?

Choices:
A. homunculus
B. drugstore
C. human
D. woman's body
E. person's chest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Finding information in an old library requires what in a card catalog?,finding information,train-00000-of-00001,B,"Question:
Finding information in an old library requires what in a card catalog?

Which of the following is the best response to the question?

Choices:
A. chewing
B. searching for
C. ask questions
D. logic
E. time

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What can you build for your puppy so he can sleep comfortably outside?,puppy,train-00000-of-00001,A,"Question:
What can you build for your puppy so he can sleep comfortably outside?

Which of the following is the best response to the question?

Choices:
A. dog house
B. home
C. kennel
D. table
E. tree

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"When you buy something new , what do you read for information?",information,train-00000-of-00001,A,"Question:
When you buy something new , what do you read for information?

Which of the following is the best response to the question?

Choices:
A. manual
B. online
C. book
D. pamphlet
E. meeting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where is an apple tree likely found in abundance?,apple tree,train-00000-of-00001,D,"Question:
Where is an apple tree likely found in abundance?

Which of the following is the best response to the question?

Choices:
A. south pole
B. park
C. vineyard
D. farmland
E. orchid

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
When making a list what comes after the main item?,main,train-00000-of-00001,C,"Question:
When making a list what comes after the main item?

Which of the following is the best response to the question?

Choices:
A. minor
B. impossibles
C. secondary
D. maintopmast
E. peripheral

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"The teenagers were celebrating irresponsibly, what were they doing?",celebrating,train-00000-of-00001,A,"Question:
The teenagers were celebrating irresponsibly, what were they doing?

Which of the following is the best response to the question?

Choices:
A. drinking
B. lude behavior
C. happiness
D. intimacy
E. enjoyment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do people break into a brownstone to steal?,brownstone,train-00000-of-00001,A,"Question:
What do people break into a brownstone to steal?

Which of the following is the best response to the question?

Choices:
A. ring
B. subdivision
C. live in
D. new york city
E. circlet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where is a cord likely to be on a tent?,cord,train-00000-of-00001,E,"Question:
Where is a cord likely to be on a tent?

Which of the following is the best response to the question?

Choices:
A. inside tent
B. delivery room
C. hardware store
D. backpack
E. sporting goods store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"The Canadian was travelling, he visited where in the southwest?",canadian,train-00000-of-00001,E,"Question:
The Canadian was travelling, he visited where in the southwest?

Which of the following is the best response to the question?

Choices:
A. canada
B. texas
C. peru
D. oklahoma
E. new mexico

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"He was finding information through meditation and yoga, what was he seeking?",finding information,train-00000-of-00001,A,"Question:
He was finding information through meditation and yoga, what was he seeking?

Which of the following is the best response to the question?

Choices:
A. happiness
B. ulcers
C. power
D. get answers
E. respect

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What entity would have a fire extinguisher in their boardroom?,fire extinguisher,train-00000-of-00001,D,"Question:
What entity would have a fire extinguisher in their boardroom?

Which of the following is the best response to the question?

Choices:
A. boat
B. apartment
C. public building
D. most businesses
E. chemistry lab

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would someone be likely to see a moving airplane?,airplane,train-00000-of-00001,C,"Question:
Where would someone be likely to see a moving airplane?

Which of the following is the best response to the question?

Choices:
A. military base
B. airport
C. sky
D. airplane hangar
E. hanger

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where is a road known as a motorway?,motorway,train-00000-of-00001,E,"Question:
Where is a road known as a motorway?

Which of the following is the best response to the question?

Choices:
A. scotland
B. europe
C. race track
D. new jersey
E. england

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
What would a bald eagle be likely to avoid?,bald eagle,train-00000-of-00001,B,"Question:
What would a bald eagle be likely to avoid?

Which of the following is the best response to the question?

Choices:
A. mountainous area
B. soup
C. in washington
D. nature preserve
E. trees

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Why might others think a person is crazy?,person,train-00000-of-00001,C,"Question:
Why might others think a person is crazy?

Which of the following is the best response to the question?

Choices:
A. catch cold
B. yell
C. talk to themselves
D. open doors
E. study greek

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What would you do to get dirt off of yourself?,dirt,train-00000-of-00001,D,"Question:
What would you do to get dirt off of yourself?

Which of the following is the best response to the question?

Choices:
A. wash clothes
B. wipe off
C. clean clothing
D. bathe
E. clean clothes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"In Hollywood,  Beautiful isn't exceptional.  What is it?",beautiful,train-00000-of-00001,A,"Question:
In Hollywood,  Beautiful isn't exceptional.  What is it?

Which of the following is the best response to the question?

Choices:
A. average
B. worse
C. ugly
D. bad
E. hideous

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"Playing poker takes a lot of luck, but being consistent takes what?",playing poker,train-00000-of-00001,C,"Question:
Playing poker takes a lot of luck, but being consistent takes what?

Which of the following is the best response to the question?

Choices:
A. ante
B. happiness
C. skill
D. losing money
E. attention

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you read magazines while waiting to board winged transportation?,magazines,train-00000-of-00001,A,"Question:
Where would you read magazines while waiting to board winged transportation?

Which of the following is the best response to the question?

Choices:
A. airport
B. bis atation
C. library
D. bed
E. dentist

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What bad habit do adults have that can cause lung cancer?,adults,train-00000-of-00001,B,"Question:
What bad habit do adults have that can cause lung cancer?

Which of the following is the best response to the question?

Choices:
A. count
B. smoke cigarettes
C. drive vehicle
D. drink beer
E. dress themselves

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What might a homeowner feel when their house is going to market?,going to market,train-00000-of-00001,C,"Question:
What might a homeowner feel when their house is going to market?

Which of the following is the best response to the question?

Choices:
A. that you
B. walking
C. stress
D. spending money
E. relax

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do you get when procreating goes awry?,procreating,train-00000-of-00001,C,"Question:
What do you get when procreating goes awry?

Which of the following is the best response to the question?

Choices:
A. population increase
B. added responsibilities
C. quintuplets
D. multiples
E. large family

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"When you see something rise, you are where in relation to it?",rise,validation-00000-of-00001,D,"Question:
When you see something rise, you are where in relation to it?

Which of the following is the best response to the question?

Choices:
A. sun set
B. near
C. fall
D. below
E. lower

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What would it be if they get a surprising show over and over?,surprising,validation-00000-of-00001,C,"Question:
What would it be if they get a surprising show over and over?

Which of the following is the best response to the question?

Choices:
A. surprise
B. fight
C. annoyance
D. might scare
E. irritated

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What does a person who is a gardener have?,person,train-00000-of-00001,E,"Question:
What does a person who is a gardener have?

Which of the following is the best response to the question?

Choices:
A. own house
B. contribution to society
C. food
D. ride horses
E. green thumb

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Traveling from new place to new place is likely to be what?,traveling,validation-00000-of-00001,B,"Question:
Traveling from new place to new place is likely to be what?

Which of the following is the best response to the question?

Choices:
A. going somewhere
B. exhilarating
C. diarrhea
D. relocation
E. exhausting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What does a child learn to do before school?,child,validation-00000-of-00001,C,"Question:
What does a child learn to do before school?

Which of the following is the best response to the question?

Choices:
A. count to ten
B. state name
C. dress herself
D. clean room
E. socialize

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Why do I eat just enough when eating breakfast?,eating breakfast,train-00000-of-00001,C,"Question:
Why do I eat just enough when eating breakfast?

Which of the following is the best response to the question?

Choices:
A. gas
B. full stomach
C. feeling satisfied
D. have energy
E. bloated

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
"A flask is a container can, it is made to hold what?",container can,train-00000-of-00001,E,"Question:
A flask is a container can, it is made to hold what?

Which of the following is the best response to the question?

Choices:
A. fire
B. store
C. contain food
D. garage
E. liquid

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
James felt the best place to install the spa would be where?,spa,train-00000-of-00001,D,"Question:
James felt the best place to install the spa would be where?

Which of the following is the best response to the question?

Choices:
A. resort
B. country club
C. attic
D. backyard
E. health centre

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What might someone believe in if they are cleaning clothes?,cleaning clothes,validation-00000-of-00001,B,"Question:
What might someone believe in if they are cleaning clothes?

Which of the following is the best response to the question?

Choices:
A. feminism
B. sanitation
C. ruined
D. wrinkles
E. buttons to fall off

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Getting a gift you wanted for you birthday will cause what state?,getting,train-00000-of-00001,D,"Question:
Getting a gift you wanted for you birthday will cause what state?

Which of the following is the best response to the question?

Choices:
A. disappointment
B. angry
C. then have
D. being happy
E. headaches

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What draws ground water away from your and your neighbor's yard?,neighbor,train-00000-of-00001,D,"Question:
What draws ground water away from your and your neighbor's yard?

Which of the following is the best response to the question?

Choices:
A. house next door
B. next house
C. suburbs
D. ditch
E. trees

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What would happen if you are having a good time while chatting with friends?,chatting with friends,train-00000-of-00001,D,"Question:
What would happen if you are having a good time while chatting with friends?

Which of the following is the best response to the question?

Choices:
A. agreement
B. communication
C. love
D. happiness
E. discord

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do people try to avoid?,people,train-00000-of-00001,A,"Question:
What do people try to avoid?

Which of the following is the best response to the question?

Choices:
A. suffer pain
B. talk to each other
C. believe in god
D. bank money
E. wait in line

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
A dance is a great way to do what?,dance,train-00000-of-00001,C,"Question:
A dance is a great way to do what?

Which of the following is the best response to the question?

Choices:
A. was happy
B. like dancing
C. express yourself
D. am happy
E. use the bathroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where might students have to attend more than one period?,period,train-00000-of-00001,D,"Question:
Where might students have to attend more than one period?

Which of the following is the best response to the question?

Choices:
A. end of line
B. math
C. end of sentence
D. school
E. history

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where might someone get beads on a balcony?,balcony,train-00000-of-00001,E,"Question:
Where might someone get beads on a balcony?

Which of the following is the best response to the question?

Choices:
A. opera house
B. michigan
C. craft store
D. theater
E. new orleans

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Collections of atoms called molecules make up everything you can hold in your what?,molecule,train-00000-of-00001,E,"Question:
Collections of atoms called molecules make up everything you can hold in your what?

Which of the following is the best response to the question?

Choices:
A. atom
B. anything
C. air
D. feet
E. hands

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Other than a refrigerator or a market where would you find fish?,fish,train-00000-of-00001,B,"Question:
Other than a refrigerator or a market where would you find fish?

Which of the following is the best response to the question?

Choices:
A. mirach
B. stream
C. refrigerator
D. market
E. aquarium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
Where would you find a passageway that is mainly used by visitors?,passageway,train-00000-of-00001,B,"Question:
Where would you find a passageway that is mainly used by visitors?

Which of the following is the best response to the question?

Choices:
A. building
B. hotel
C. cave
D. house
E. office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where could you be if you are sit quietly?,sit quietly,train-00000-of-00001,C,"Question:
Where could you be if you are sit quietly?

Which of the following is the best response to the question?

Choices:
A. sit down
B. lay down
C. alone
D. go home
E. meditate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",68
