question,subject,split,answer,final_prompt,len_tk_glm4_9b_chat
Posner's economic analysis of law is roundly attacked by Dworkin who says the theory 'has not achieved the beginning of a beginning.' What is the basis of this criticism?,jurisprudence,validation-00000-of-00001,C,"Posner's economic analysis of law is roundly attacked by Dworkin who says the theory 'has not achieved the beginning of a beginning.' What is the basis of this criticism?

Choices:
A. Posner's approach fails to offer a means by which to calculate individual prosperity.
B. It neglects the importance of individual choice.
C. It regards wealth as a value, which it is not.
D. The theory is economically unsound.

Reply with exactly one uppercase letter out of A, B, C, or D.
",110
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My baby rode on my lap while I drove the car on the freeway. Scenario 2 | The stranger on the subway told a hilarious joke and I laughed with him.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My baby rode on my lap while I drove the car on the freeway. Scenario 2 | The stranger on the subway told a hilarious joke and I laughed with him.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
Statement 1 | If H is a subgroup of G and a belongs to G then aH is a subgroup of G if and only if a is in H. Statement 2 | If H is a subgroup of G and a and b belong to G then aH = bH if and only if ab is in H.,abstract_algebra,test-00000-of-00001,C,"Statement 1 | If H is a subgroup of G and a belongs to G then aH is a subgroup of G if and only if a is in H. Statement 2 | If H is a subgroup of G and a and b belong to G then aH = bH if and only if ab is in H.

Choices:
A. True, True
B. False, False
C. True, False
D. False, True

Reply with exactly one uppercase letter out of A, B, C, or D.
",111
Which of the following fraudulent activities most likely could be perpetrated due to the lack of effective internal controls in the revenue cycle?,professional_accounting,validation-00000-of-00001,C,"Which of the following fraudulent activities most likely could be perpetrated due to the lack of effective internal controls in the revenue cycle?

Choices:
A. Fictitious transactions may be recorded that cause an understatement of revenues and an overstatement of receivables.
B. Claims received from customers for goods returned may be intentionally recorded in other customers' accounts.
C. Authorization of credit memos by personnel who receive cash may permit the misappropriation of cash.
D. The failure to prepare shipping documents may cause an overstatement of inventory balances.

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
The TRANSTHEORETICAL MODEL OF CHANGE was originally developed to treat addictive behaviors and 5 stages people pass through in the process of change. Which stage is correctly defined?,professional_psychology,test-00000-of-00001,C,"The TRANSTHEORETICAL MODEL OF CHANGE was originally developed to treat addictive behaviors and 5 stages people pass through in the process of change. Which stage is correctly defined?

Choices:
A. PRECONTEMPLATION: intend to take action in next 6 months
B. PREPARATION: consider change in next 6 months
C. ACTION: time and effort into modifying behavior
D. MAINTENANCE: behavior change lasted at least 8 months

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
"In the context of energy security and the production of oil, which of the following does not define the term 'stability'?",security_studies,test-00000-of-00001,C,"In the context of energy security and the production of oil, which of the following does not define the term 'stability'?

Choices:
A. The absence of challenges to the regime of oil-producing states.
B. A political and economic situation in which the status quo of production, exportation and supply is maintained.
C. The promotion of human security and the affiliated environmental security as a priority within oil-producing states.
D. The security of regimes deemed 'friendly' by North American, European, and international oil company interests.

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
"Hi! My name is Lisa. I'm a student in Shanghai. I'm in Class Nine, Grade Five. Wang Tao and Li Fang are my friends. They  are in Grade Five, too. They are not in my class. They are in Class Seven. I'm 12. They are 12, too. Mr. Cheng is my teacher. His  telephone number is 8869254. Where is Lisa from?",,auxiliary_train-00000-of-00001,B,"Hi! My name is Lisa. I'm a student in Shanghai. I'm in Class Nine, Grade Five. Wang Tao and Li Fang are my friends. They  are in Grade Five, too. They are not in my class. They are in Class Seven. I'm 12. They are 12, too. Mr. Cheng is my teacher. His  telephone number is 8869254. Where is Lisa from?

Choices:
A. Beijing
B. Shanghai
C. Guangzhou.
D. HongKong

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I refilled the shampoo bottle with shaving cream and put it back in the shower. Scenario 2 | I kept a distance from an ambulance.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I refilled the shampoo bottle with shaving cream and put it back in the shower. Scenario 2 | I kept a distance from an ambulance.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
Which of the following is the most accurate statement about writs of certiorari?,high_school_government_and_politics,test-00000-of-00001,A,"Which of the following is the most accurate statement about writs of certiorari?

Choices:
A. Fewer than 5% of petitions for writs of certiorari are granted by the Supreme Court.
B. The Supreme Court grants writs of certiorari only when there is a ""circuit split.""
C. The lower court's ruling is overturned if the Supreme Court denies a writ of certiorari.
D. Only the solicitor general may petition for a writ of certiorari.

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
" To make sense of the external environment, the well-known acronym, PESTLE is used. PESTLE stands for _____________",marketing,test-00000-of-00001,B," To make sense of the external environment, the well-known acronym, PESTLE is used. PESTLE stands for _____________

Choices:
A. The political, economics, substitute, technological, legal, and ecological environments.
B. The political, economic, social, technological, legal, and ecological environments.
C. The political, economic, social, treat, legal, and ecological environments.
D. The purchasing, economics, social, technological, legal, and ecological environments.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
Arno Co. did not record a credit purchase of merchandise made prior to year end. However the merchandise was correctly included in the year-end physical inventory. What effect did the omission of reporting the purchase of merchandise have on Arno's balance sheet at year end? Assets Liabilities,professional_accounting,test-00000-of-00001,B,"Arno Co. did not record a credit purchase of merchandise made prior to year end. However the merchandise was correctly included in the year-end physical inventory. What effect did the omission of reporting the purchase of merchandise have on Arno's balance sheet at year end? Assets Liabilities

Choices:
A. No effect No effect
B. No effect Understated
C. Understated No effect
D. Understated Understated

Reply with exactly one uppercase letter out of A, B, C, or D.
",110
"Estella spilled tomato sauce on her shirt. When she washed her shirt, she noticed that the detergent she used contained enzymes. Enzymes are added to detergents to break down proteins from food and other substances that may stain clothing. Which would most likely inhibit the ability of the enzymes to remove the stain on her shirt?",,auxiliary_train-00000-of-00001,C,"Estella spilled tomato sauce on her shirt. When she washed her shirt, she noticed that the detergent she used contained enzymes. Enzymes are added to detergents to break down proteins from food and other substances that may stain clothing. Which would most likely inhibit the ability of the enzymes to remove the stain on her shirt?

Choices:
A. the amount of dissolved minerals in the water
B. the type of fibers from which her shirt was made
C. the temperature of the water
D. the fragrances in the detergent

Reply with exactly one uppercase letter out of A, B, C, or D.
",128
"You are training a linear regression model for a simple estimation task, and notice that the model is overfitting to the data. You decide to add in $\ell_2$ regularization to penalize the weights. As you increase the $\ell_2$ regularization coefficient, what will happen to the bias and variance of the model?",machine_learning,test-00000-of-00001,B,"You are training a linear regression model for a simple estimation task, and notice that the model is overfitting to the data. You decide to add in $\ell_2$ regularization to penalize the weights. As you increase the $\ell_2$ regularization coefficient, what will happen to the bias and variance of the model?

Choices:
A. Bias increase ; Variance increase
B. Bias increase ; Variance decrease
C. Bias decrease ; Variance increase
D. Bias decrease ; Variance decrease

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"Although concurrent individual and group therapy may be necessary for some patients, many therapists do not support it. One of the major concerns is that",professional_psychology,test-00000-of-00001,B,"Although concurrent individual and group therapy may be necessary for some patients, many therapists do not support it. One of the major concerns is that

Choices:
A. patients beginning with a group, finding additional sources of support, tend to terminate the individual therapy prematurely
B. patients wait until they are in their individual sessions before reacting to what occurred in the group
C. screening procedures for patients may be ignored because a therapist is recommending the group experience
D. patients use their two therapists’ words to refute group members’ suggestions for behavior change

Reply with exactly one uppercase letter out of A, B, C, or D.
",128
Keith is really anxious about a big presentation he has to give at work tomorrow. As a result tonight he is having trouble getting an erection. Which of the following BEST explains why Keith might be having this problem?,human_sexuality,test-00000-of-00001,A,"Keith is really anxious about a big presentation he has to give at work tomorrow. As a result tonight he is having trouble getting an erection. Which of the following BEST explains why Keith might be having this problem?

Choices:
A. relaxation is necessary for vasocongestion
B. anxiety inhibits the sympathetic system
C. anxiety causes retrograde ejaculation which inhibits arousal
D. anxiety decreases blood flow to the upper spinal cord inhibiting vasocongestion

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
Which is NOT a criticism of Piaget’s theory of cognitive development?,professional_psychology,test-00000-of-00001,B,"Which is NOT a criticism of Piaget’s theory of cognitive development?

Choices:
A. Piaget may have underestimated young children’s competence and overestimated adolescents’ cognitive abilities
B. Piaget placed too much emphasis on the role of culture and social interactions in children’s cognitive development
C. Cognitive development is more gradual and continuous rather than abrupt and stagelike as Piaget thought
D. Children actually have certain cognitive capabilities at particular ages that Piaget did not observe because he designed experiments that were too difficult

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I trashed my lunch wrappings and was cited for littering. Scenario 2 | As my roommate slept, I cleared his essay.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I trashed my lunch wrappings and was cited for littering. Scenario 2 | As my roommate slept, I cleared his essay.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I stuffed cookies in my pockets while working the floor. Scenario 2 | I knew my wife loved the color red so I gave her red roses.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I stuffed cookies in my pockets while working the floor. Scenario 2 | I knew my wife loved the color red so I gave her red roses.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I feed my cat one small bowl of food each day. Scenario 2 | I prayed to God that my father be cured of cancer.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I feed my cat one small bowl of food each day. Scenario 2 | I prayed to God that my father be cured of cancer.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I spotted the terrifying painting in the museum, I steered my kids to it. Scenario 2 | I opened the vial of chemicals in the science lab.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I spotted the terrifying painting in the museum, I steered my kids to it. Scenario 2 | I opened the vial of chemicals in the science lab.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I served the customer his hamburger with nail clippings and double ketchup. Scenario 2 | I added chalk to the customer's sandwich.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I served the customer his hamburger with nail clippings and double ketchup. Scenario 2 | I added chalk to the customer's sandwich.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
Which of the following is a true statement about optical isomerism of complexes containing achiral ligands?,college_chemistry,test-00000-of-00001,D,"Which of the following is a true statement about optical isomerism of complexes containing achiral ligands?

Choices:
A. Square planar complexes can display optical isomerism only if all four ligands are identical.
B. Tetrahedral complexes never display optical isomerism.
C. Linear complexes can display optical isomerism when both ligands are different.
D. Octahedral complexes of monodentate ligands can display optical isomerism only when they have at least three different ligands.

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I cut many of the children last week. Scenario 2 | I took pictures of her while she was at the baby shower.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I cut many of the children last week. Scenario 2 | I took pictures of her while she was at the baby shower.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
"Suppose that the following regression is estimated using 27 quarterly observations:

$y_t = \beta_1 + \beta_2 x_2 + \beta_3 x_{3t} + u_t$

What is the appropriate critical value for a 2-sided 5% size of test of $H_0: \beta_3 = 1$?",econometrics,test-00000-of-00001,C,"Suppose that the following regression is estimated using 27 quarterly observations:

$y_t = \beta_1 + \beta_2 x_2 + \beta_3 x_{3t} + u_t$

What is the appropriate critical value for a 2-sided 5% size of test of $H_0: \beta_3 = 1$?

Choices:
A. 1.64
B. 1.71
C. 2.06
D. 1.96

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I picked the most rotten apples to donate to the food pantry. Scenario 2 | I sold exotic berries at the farmer's market.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I picked the most rotten apples to donate to the food pantry. Scenario 2 | I sold exotic berries at the farmer's market.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | The new girl is embarrassed to live in a trailer park, so I invite her to my house. Scenario 2 | I lit up a cigarette as I stood resting by the bench.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | The new girl is embarrassed to live in a trailer park, so I invite her to my house. Scenario 2 | I lit up a cigarette as I stood resting by the bench.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
"If the price of firm A's cell phone service rises by 5 percent and the quantity demanded for firm B's cell phone service increases by 10 percent, we can say that",high_school_microeconomics,test-00000-of-00001,C,"If the price of firm A's cell phone service rises by 5 percent and the quantity demanded for firm B's cell phone service increases by 10 percent, we can say that

Choices:
A. demand for firm B is price elastic.
B. supply for firm B is price elastic.
C. firms A and B are substitutes because the cross-price elasticity is greater than zero.
D. firms A and B are complements because the cross-price elasticity is less than zero.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I spent my afternoon peeing in the pool. Scenario 2 | I briefly shouted to my friend in the public theater as the movie played.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I spent my afternoon peeing in the pool. Scenario 2 | I briefly shouted to my friend in the public theater as the movie played.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
"A 5-year-old child is shown two identical rows of pennies each containing five pennies that line up. One row is lengthened and the child is asked whether one row has more objects than the other. The child answers that the longer row has more objects. According to Piaget, this child is in the ___________.",professional_psychology,validation-00000-of-00001,C,"A 5-year-old child is shown two identical rows of pennies each containing five pennies that line up. One row is lengthened and the child is asked whether one row has more objects than the other. The child answers that the longer row has more objects. According to Piaget, this child is in the ___________.

Choices:
A. Sensorimotor stage
B. Preoperational stage
C. Concrete operational stage
D. Formal operational stage

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
"Hello, I'm Frank. What's this? It's a pen. It's my red pen. My black pen is in my bag  . My bag is orange. And my key is in it. It's blue. This is my ruler. It's white. It's on my desk  . And my orange is on the desk, too. Frank has     _   pens.",,auxiliary_train-00000-of-00001,B,"Hello, I'm Frank. What's this? It's a pen. It's my red pen. My black pen is in my bag  . My bag is orange. And my key is in it. It's blue. This is my ruler. It's white. It's on my desk  . And my orange is on the desk, too. Frank has     _   pens.

Choices:
A. 1
B. 2
C. 3
D. 4

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I waited outside while she took her shower. Scenario 2 | He broke my heart when he dumped me.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I waited outside while she took her shower. Scenario 2 | He broke my heart when he dumped me.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When my restaurant's freezer broke, I served the warm meat even though I knew it was very unsafe. Scenario 2 | I decided to start a fire in the forest.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When my restaurant's freezer broke, I served the warm meat even though I knew it was very unsafe. Scenario 2 | I decided to start a fire in the forest.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
"After 6 months of once-2-week therapy and several attempts to evaluate and adjust treatment goals and strategies, a patient continues to complain over several sessions thar therapy has not helped and that therapy goals have not been met. The psychologist should",professional_psychology,test-00000-of-00001,B,"After 6 months of once-2-week therapy and several attempts to evaluate and adjust treatment goals and strategies, a patient continues to complain over several sessions thar therapy has not helped and that therapy goals have not been met. The psychologist should

Choices:
A. immediately terminate treatment and refer the patient elsewhere
B. discuss the possibility that the patient consult with another therapist
C. treat this as an instance of resistance
D. increase the frequency of sessions

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
"Which of the following statements is correct (according to knowledge in 2020)?
",nutrition,dev-00000-of-00001,A,"Which of the following statements is correct (according to knowledge in 2020)?


Choices:
A. Consumers with phenylketonuria must avoid the consumption of the sweetener aspartame
B. Consumers with phenylketonuria must avoid the consumption of the sweetener saccharin
C. Consumers with phenylketonuria must avoid the consumption of the sweetener sucralose
D. Consumers with phenylketonuria must avoid the consumption of the sweetener acesulfame K

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I tightened my grip on purpose while holding onto the struggling elder as they teetered backward. Scenario 2 | I slipped $20 to the judge for a favorable outcome.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I tightened my grip on purpose while holding onto the struggling elder as they teetered backward. Scenario 2 | I slipped $20 to the judge for a favorable outcome.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
"A teacher opens a can of food in the front of a classroom. Soon, all of the students in the classroom can smell the food. Which statement identifies a property of a gas that allows all of the students to smell the food?",,auxiliary_train-00000-of-00001,C,"A teacher opens a can of food in the front of a classroom. Soon, all of the students in the classroom can smell the food. Which statement identifies a property of a gas that allows all of the students to smell the food?

Choices:
A. A gas has no mass.
B. A gas has a large mass.
C. A gas takes the shape of its container.
D. A gas keeps its shape when placed in a container.

Reply with exactly one uppercase letter out of A, B, C, or D.
",109
What is realism?,security_studies,test-00000-of-00001,A,"What is realism?

Choices:
A. Realism is a set of approaches to Security Studies that focuses on states, and tries to determine which strategy a state should adopt to achieve security and other goals.
B. Realism is the broad term that can be applied to any traditional approach to Security Studies.
C. Realism is a set of approaches that encompasses any security threat that involves the military.
D. Realism is defined by the belief that the behaviour of states constructs the international arena and that this behaviour is established through the internal environment of the state.

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
"Which of the following statements about methods of evaluating protein quality in human nutrition is correct?
",nutrition,test-00000-of-00001,C,"Which of the following statements about methods of evaluating protein quality in human nutrition is correct?


Choices:
A. The rat protein efficiency ratio assay, (PER), is a good method of assessing protein quality for human nutrition.
B. The rat net protein-utilisation assay, (NPU), is the best method of assessing protein quality for human nutrition.
C. Animal growth assays underestimate the quality of dietary proteins for human nutrition
D. The growing rat is a good model for assessing protein quality in human nutrition.

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
Four students are investigating the effect of the force of a baseball bat on a ball. They marked the four different points where each of the balls made contact on the bat after each strike by each of the four students. Which of the following describes an error in the experimental design?,,auxiliary_train-00000-of-00001,D,"Four students are investigating the effect of the force of a baseball bat on a ball. They marked the four different points where each of the balls made contact on the bat after each strike by each of the four students. Which of the following describes an error in the experimental design?

Choices:
A. failure to conduct enough trials
B. not considering the spin of the ball
C. not using balls of different masses
D. failure to define one testable variable

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I helped my friend get out of the house after he lost his girlfriend. Scenario 2 | I went skinny-dipping in the community pool, while everyone was at the poolside.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I helped my friend get out of the house after he lost his girlfriend. Scenario 2 | I went skinny-dipping in the community pool, while everyone was at the poolside.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
"Two dice are rolled simultaneously. If both dice show 6, then the player wins $20; otherwise the player loses the game. It costs $2.00 to play the game. What is the expected gain or loss per game?",high_school_statistics,test-00000-of-00001,D,"Two dice are rolled simultaneously. If both dice show 6, then the player wins $20; otherwise the player loses the game. It costs $2.00 to play the game. What is the expected gain or loss per game?

Choices:
A. The player will gain about $0.55.
B. The player will gain about $1.44.
C. The player will lose about $0.55.
D. The player will lose about $1.44.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took my novel checkbook and went shopping. Scenario 2 | As my parents were sleeping, I unlocked their gun safe.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took my novel checkbook and went shopping. Scenario 2 | As my parents were sleeping, I unlocked their gun safe.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
In which of the following situations would there be inelastic demand?,professional_accounting,test-00000-of-00001,A,"In which of the following situations would there be inelastic demand?

Choices:
A. A 5% price increase results in a 3% decrease in the quantity demanded.
B. A 4% price increase results in a 6% decrease in the quantity demanded.
C. A 4% price increase results in a 4% decrease in the quantity demanded.
D. A 3% price decrease results in a 5% increase in the quantity demanded.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
Which State exercises jurisdiction over vessels on the high seas?,international_law,test-00000-of-00001,C,"Which State exercises jurisdiction over vessels on the high seas?

Choices:
A. All States may exercise jurisdiction over foreign vessels on the high seas
B. States may exercise jurisdiction over foreign vessels on the high seas only in cases of criminal activity that concerns them
C. The flag State is to exercise exclusive jurisdiction over its vessels on the high seas, with the exception of specific cases, such as piracy
D. The flag State is the only State to exercise exclusive jurisdiction over its vessels on the high seas with no exception

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
Wind turbines are being used to generate electricity in many parts of the United States. One advantage of wind turbines is that no fossil fuels are burned. Which of the following is a disadvantage of wind turbines?,,auxiliary_train-00000-of-00001,D,"Wind turbines are being used to generate electricity in many parts of the United States. One advantage of wind turbines is that no fossil fuels are burned. Which of the following is a disadvantage of wind turbines?

Choices:
A. Wind turbines can emit dangerous radiation if damaged.
B. Wind turbine farms must be located near large bodies of water.
C. Wind turbines do not produce energy until many years after being built.
D. Wind turbine farms require a lot of area compared to how much energy they produce.

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
What kind of State practice is required?,international_law,validation-00000-of-00001,A,"What kind of State practice is required?

Choices:
A. Widespread, consistent and uniform practice, consisting both of acts and omissions.
B. Only widespread, consistent and uniform acts and not omissions of States
C. Widespread acts and omissions of States but not necessarily consistent or uniform
D. Consistent practice of few States, including both acts and omissions, which is met with protestation by the other States

Reply with exactly one uppercase letter out of A, B, C, or D.
",109
What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?,econometrics,test-00000-of-00001,C,"What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?

Choices:
A. ADF is a single equation approach to unit root testing while PP is a systems approach
B. PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test
C. The PP test incorporates an automatic correction for autocorrelated residuals in the test regression
D. PP tests have good power in small samples whereas DF tests do not.

Reply with exactly one uppercase letter out of A, B, C, or D.
",129
"John’s friend told him that he could earn $49 for handing out flyers at a local concert. John wants to calculate the hourly rate, If he works a total of 3.5 hours, the equation 3.5x = 49 can be used to determine his hourly rate. What would John’s hourly rate be, in dollars?",elementary_mathematics,test-00000-of-00001,B,"John’s friend told him that he could earn $49 for handing out flyers at a local concert. John wants to calculate the hourly rate, If he works a total of 3.5 hours, the equation 3.5x = 49 can be used to determine his hourly rate. What would John’s hourly rate be, in dollars?

Choices:
A. $1.40 
B. $14.00 
C. $45.50 
D. $171.50 

Reply with exactly one uppercase letter out of A, B, C, or D.
",119
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I gave the students a gold star for answering the questions correctly. Scenario 2 | I rented out a run down apartment to college students for more than it was worth.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I gave the students a gold star for answering the questions correctly. Scenario 2 | I rented out a run down apartment to college students for more than it was worth.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
