question,question_concept,_split,answer,final_prompt,len_tk_mistral_7b_instruct
"If a person is unhappy, what would be the opposite of that?",unhappy,train-00000-of-00001,D,"Question:
If a person is unhappy, what would be the opposite of that?

Which of the following is the best response to the question?

Choices:
A. joyful
B. exuberant
C. glad
D. happy
E. fat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"What is a great, but non-specific, overall benefit of exercise?",exercising,train-00000-of-00001,A,"Question:
What is a great, but non-specific, overall benefit of exercise?

Which of the following is the best response to the question?

Choices:
A. good health
B. heart attacks
C. relaxation
D. rest
E. fatigue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where do apples form on an apple tree?,apple tree,validation-00000-of-00001,D,"Question:
Where do apples form on an apple tree?

Which of the following is the best response to the question?

Choices:
A. south africa
B. sunshine
C. new york
D. bloom
E. trunk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
If you know how to read and write you are what?,write,train-00000-of-00001,B,"Question:
If you know how to read and write you are what?

Which of the following is the best response to the question?

Choices:
A. smart
B. literate
C. have paper
D. not give up
E. creativity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Farmers will plant an apple tree because they do what?,tree,train-00000-of-00001,E,"Question:
Farmers will plant an apple tree because they do what?

Which of the following is the best response to the question?

Choices:
A. bud
B. state park
C. provide shelter
D. back yard
E. produce fruit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where would you put your change if you will not need to use it soon?,change,train-00000-of-00001,C,"Question:
Where would you put your change if you will not need to use it soon?

Which of the following is the best response to the question?

Choices:
A. purse
B. slot machine
C. jar
D. pocket
E. casino

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Who is someone you might need when you are stopping being married to spouse?,stopping being married to,train-00000-of-00001,B,"Question:
Who is someone you might need when you are stopping being married to spouse?

Which of the following is the best response to the question?

Choices:
A. trouble
B. lawyer
C. judge
D. civil authorities
E. friends

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where can you get in shape and drink at a juice bar?,juice,train-00000-of-00001,D,"Question:
Where can you get in shape and drink at a juice bar?

Which of the following is the best response to the question?

Choices:
A. fridge
B. limejuice
C. square
D. gym
E. refrigerator

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where would you put a pot if you do not need to use it?,pot,train-00000-of-00001,B,"Question:
Where would you put a pot if you do not need to use it?

Which of the following is the best response to the question?

Choices:
A. restaurant
B. cupboard
C. greenhouse
D. refrigerator
E. porch

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What is killing likely to lead to for legal purposes?,killing,train-00000-of-00001,B,"Question:
What is killing likely to lead to for legal purposes?

Which of the following is the best response to the question?

Choices:
A. guilty conscience
B. criminal trial
C. pleasure
D. retribution
E. a fun day out

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Dancing poorly in public may make you feel what?,dancing,train-00000-of-00001,D,"Question:
Dancing poorly in public may make you feel what?

Which of the following is the best response to the question?

Choices:
A. exhaustion
B. recognizance
C. blisters
D. humiliation
E. fatigue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What could have a knob and emits light and sound?,knob,train-00000-of-00001,A,"Question:
What could have a knob and emits light and sound?

Which of the following is the best response to the question?

Choices:
A. television
B. doorway
C. uncle fred
D. hardware store
E. control panel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What gift do people claim that god has for people?,god,train-00000-of-00001,E,"Question:
What gift do people claim that god has for people?

Which of the following is the best response to the question?

Choices:
A. bible
B. everywhere
C. judge people
D. care for people
E. work miracles

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
A person who is well off is said to be what?,person,train-00000-of-00001,E,"Question:
A person who is well off is said to be what?

Which of the following is the best response to the question?

Choices:
A. reproduce
B. highest intelligent mammal
C. headache
D. talented
E. affluent

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What do people typically do when they are trying to making friends?,making friends,train-00000-of-00001,B,"Question:
What do people typically do when they are trying to making friends?

Which of the following is the best response to the question?

Choices:
A. falling in love
B. smile
C. start fighting
D. getting drunk
E. talking

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What body of water is typically shallow water?,shallow water,train-00000-of-00001,D,"Question:
What body of water is typically shallow water?

Which of the following is the best response to the question?

Choices:
A. lake
B. aquariums
C. swimming pool
D. pond
E. childrens pools

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Sarah had trouble beginning work.  She was not doing what?,beginning work,train-00000-of-00001,D,"Question:
Sarah had trouble beginning work.  She was not doing what?

Which of the following is the best response to the question?

Choices:
A. computer
B. momentum
C. panic
D. accomplishing
E. excitement

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Science is a difficult subject.  What's a purer subject?,science,train-00000-of-00001,E,"Question:
Science is a difficult subject.  What's a purer subject?

Which of the following is the best response to the question?

Choices:
A. faith
B. astronomy
C. discovery
D. arts
E. math

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
A material that is elastic is able to do what?,elastic,train-00000-of-00001,D,"Question:
A material that is elastic is able to do what?

Which of the following is the best response to the question?

Choices:
A. rebound
B. underwear
C. recoil
D. stretch
E. bounce

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"The baby came unexpectedly, what did it do?",baby,train-00000-of-00001,E,"Question:
The baby came unexpectedly, what did it do?

Which of the following is the best response to the question?

Choices:
A. died
B. boy or girl
C. learn to walk
D. talk nonsense
E. arrive early

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where event might one obtain an injury via a skate?,injury,train-00000-of-00001,C,"Question:
Where event might one obtain an injury via a skate?

Which of the following is the best response to the question?

Choices:
A. hospital
B. the rink
C. hockey game
D. emergency room
E. accident

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Kissing is normally an activity reserved for your romantic what?,kissing,validation-00000-of-00001,B,"Question:
Kissing is normally an activity reserved for your romantic what?

Which of the following is the best response to the question?

Choices:
A. anus
B. partner
C. arousal
D. trust
E. cooperation

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is helping likely to make someone have?,helping,train-00000-of-00001,C,"Question:
What is helping likely to make someone have?

Which of the following is the best response to the question?

Choices:
A. enjoyment
B. better world
C. good feelings
D. contentment
E. feel good about yourself

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
When all the members drank the poison and died it was because everybody what?,everybody,train-00000-of-00001,D,"Question:
When all the members drank the poison and died it was because everybody what?

Which of the following is the best response to the question?

Choices:
A. exist
B. cat
C. out of mind
D. believed
E. happy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where on the planet would you expect a bald eagle to live?,bald eagle,train-00000-of-00001,B,"Question:
Where on the planet would you expect a bald eagle to live?

Which of the following is the best response to the question?

Choices:
A. colorado
B. outside
C. protection
D. zoo exhibit
E. world

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
How can an artist commemorate a horse forever.,horse,train-00000-of-00001,D,"Question:
How can an artist commemorate a horse forever.

Which of the following is the best response to the question?

Choices:
A. hoof
B. kentucky derby
C. race track
D. painting
E. triple crown

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Everything is bigger at a steak house where?,steak house,train-00000-of-00001,B,"Question:
Everything is bigger at a steak house where?

Which of the following is the best response to the question?

Choices:
A. new york
B. texas
C. japan
D. town
E. montana

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
How do politicians compete for the big event?,politicians,train-00000-of-00001,A,"Question:
How do politicians compete for the big event?

Which of the following is the best response to the question?

Choices:
A. run for president
B. legislate
C. make false promises
D. lower standards
E. talk nonsense

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What does a child learn to do in a lake?,child,train-00000-of-00001,B,"Question:
What does a child learn to do in a lake?

Which of the following is the best response to the question?

Choices:
A. become adult
B. row boat
C. drive
D. go out to play
E. begin school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
When do girls eat ice cream on the couch?,eat ice cream,train-00000-of-00001,C,"Question:
When do girls eat ice cream on the couch?

Which of the following is the best response to the question?

Choices:
A. wash hands
B. were hungry
C. depressed
D. athlete's foot
E. cool down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
After working out and releasing energy all day how are you likely to feel?,releasing energy,train-00000-of-00001,C,"Question:
After working out and releasing energy all day how are you likely to feel?

Which of the following is the best response to the question?

Choices:
A. being fired
B. wonderful
C. exhaustion
D. damage
E. feeling cold

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
The steel cable could be used to pull the tug if Steve had what?,steel cable,train-00000-of-00001,A,"Question:
The steel cable could be used to pull the tug if Steve had what?

Which of the following is the best response to the question?

Choices:
A. winch
B. wrench
C. suspension bridge
D. factory
E. ship

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where do people typically make a friend as an adult?,friend,train-00000-of-00001,D,"Question:
Where do people typically make a friend as an adult?

Which of the following is the best response to the question?

Choices:
A. at school
B. neighbor's house
C. at a bar
D. workplace
E. unexpected place

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What do you need to do to be able to have lunch?,have lunch,train-00000-of-00001,A,"Question:
What do you need to do to be able to have lunch?

Which of the following is the best response to the question?

Choices:
A. get food
B. eat food
C. stop working
D. spend money
E. prepare food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
From where does a mother read a story to their child?,storey,train-00000-of-00001,D,"Question:
From where does a mother read a story to their child?

Which of the following is the best response to the question?

Choices:
A. tall building
B. british building
C. mall
D. book of stories
E. moon

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Reading newspaper one of many ways to practice your what?,reading newspaper,validation-00000-of-00001,A,"Question:
Reading newspaper one of many ways to practice your what?

Which of the following is the best response to the question?

Choices:
A. literacy
B. knowing how to read
C. money
D. buying
E. money bank

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where would a person keep a book while it's being read?,book,train-00000-of-00001,E,"Question:
Where would a person keep a book while it's being read?

Which of the following is the best response to the question?

Choices:
A. closet
B. library of congress
C. classroom
D. in bed
E. desk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
In December how can you throw water at your friends?,water,train-00000-of-00001,C,"Question:
In December how can you throw water at your friends?

Which of the following is the best response to the question?

Choices:
A. tsunami
B. puddle
C. snowball
D. glass
E. backpack

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is likely to satisfy someone's curiosity?,curiosity,validation-00000-of-00001,A,"Question:
What is likely to satisfy someone's curiosity?

Which of the following is the best response to the question?

Choices:
A. hear news
B. read book
C. see favorite show
D. comedy show
E. go somewhere

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What are you likely to see on Independence Day?,explosive,train-00000-of-00001,E,"Question:
What are you likely to see on Independence Day?

Which of the following is the best response to the question?

Choices:
A. groundhog
B. construction site
C. landmine
D. army
E. fireworks display

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What happens when people have no nourishment?,people,train-00000-of-00001,B,"Question:
What happens when people have no nourishment?

Which of the following is the best response to the question?

Choices:
A. board ships
B. suffer hunger
C. study books
D. play computer games
E. believe in god

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What kind of people will someone who is in charge of project look for?,in charge of project,train-00000-of-00001,C,"Question:
What kind of people will someone who is in charge of project look for?

Which of the following is the best response to the question?

Choices:
A. greedy
B. worry
C. have knowledge
D. take charge
E. boss

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
There's always more than one shopping bag full of food after a trip where?,shopping bag,train-00000-of-00001,B,"Question:
There's always more than one shopping bag full of food after a trip where?

Which of the following is the best response to the question?

Choices:
A. garden
B. grocery store
C. closet
D. restaurant
E. mart

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"The man took paperwork to other people to consult over it, where was he heading?",paperwork,validation-00000-of-00001,B,"Question:
The man took paperwork to other people to consult over it, where was he heading?

Which of the following is the best response to the question?

Choices:
A. desk
B. meeting
C. office
D. table
E. work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What are birds likely to do in the winter?,bird,train-00000-of-00001,E,"Question:
What are birds likely to do in the winter?

Which of the following is the best response to the question?

Choices:
A. learn to fly
B. spread wings
C. fly north
D. fly high
E. head south

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
John thought that there was no conflict between religion and what?,religion,train-00000-of-00001,E,"Question:
John thought that there was no conflict between religion and what?

Which of the following is the best response to the question?

Choices:
A. atheist
B. atheism
C. important to people
D. wars
E. science

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What often happens to the knowledge base of someone who is learning?,learning,train-00000-of-00001,E,"Question:
What often happens to the knowledge base of someone who is learning?

Which of the following is the best response to the question?

Choices:
A. intelligence
B. overconfidence
C. knowing more
D. better understanding
E. growth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What is a place that could have hundreds of thousands of chess board?,chess board,train-00000-of-00001,E,"Question:
What is a place that could have hundreds of thousands of chess board?

Which of the following is the best response to the question?

Choices:
A. park
B. ymca
C. house
D. room
E. germany

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
what does having sex without protection lead to?,having sex,train-00000-of-00001,E,"Question:
what does having sex without protection lead to?

Which of the following is the best response to the question?

Choices:
A. sexually transmitted diseases
B. making babies
C. bliss
D. aids
E. unwanted pregnancy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"If you are playing poker, what are you doing?",playing poker,train-00000-of-00001,C,"Question:
If you are playing poker, what are you doing?

Which of the following is the best response to the question?

Choices:
A. recreation
B. losing money
C. game playing
D. distributing cards
E. fun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where does water in the sky come from?,water,train-00000-of-00001,B,"Question:
Where does water in the sky come from?

Which of the following is the best response to the question?

Choices:
A. space
B. rain cloud
C. surface of earth
D. wishing well
E. lake or river

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
While knitting you can do what using a radio?,knitting,validation-00000-of-00001,A,"Question:
While knitting you can do what using a radio?

Which of the following is the best response to the question?

Choices:
A. listen to music
B. watch television
C. making blankets
D. eat
E. watching tv

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What might talking to others about false stories lead to?,talking to,train-00000-of-00001,D,"Question:
What might talking to others about false stories lead to?

Which of the following is the best response to the question?

Choices:
A. adverse reaction
B. teach
C. friendship
D. rumors spread
E. increased understanding

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
what can one add to a building to increase it's size?,building,train-00000-of-00001,C,"Question:
what can one add to a building to increase it's size?

Which of the following is the best response to the question?

Choices:
A. city
B. town
C. rooms
D. fall down
E. urban area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where could you find a stray small dog?,small dog,train-00000-of-00001,A,"Question:
Where could you find a stray small dog?

Which of the following is the best response to the question?

Choices:
A. animal shelter
B. big house
C. own home
D. georgia
E. on a leash

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"The vessel was taking in water, where did it need to go?",vessel,train-00000-of-00001,B,"Question:
The vessel was taking in water, where did it need to go?

Which of the following is the best response to the question?

Choices:
A. harbor
B. port
C. deeper
D. human body
E. ocean

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Which large state does colorado not bordeR?,colorado,train-00000-of-00001,C,"Question:
Which large state does colorado not bordeR?

Which of the following is the best response to the question?

Choices:
A. new york
B. united states
C. texas
D. mexico
E. nevada

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where is likely to have a lot of fire extinguishers?,fire extinguisher,train-00000-of-00001,B,"Question:
Where is likely to have a lot of fire extinguishers?

Which of the following is the best response to the question?

Choices:
A. garage
B. hospital
C. boat
D. house
E. doll house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Name a sort of place where live crabs are not allowed.,crab,train-00000-of-00001,A,"Question:
Name a sort of place where live crabs are not allowed.

Which of the following is the best response to the question?

Choices:
A. most offices
B. fish department
C. basin
D. fancy restaurant
E. fish market

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
How can people gain new perspectives?,people,train-00000-of-00001,E,"Question:
How can people gain new perspectives?

Which of the following is the best response to the question?

Choices:
A. waste paper
B. tickle tarantulas
C. pay bills
D. change direction
E. travel abroad

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What would be a good way to satisfy my curiosity?,curiosity,train-00000-of-00001,A,"Question:
What would be a good way to satisfy my curiosity?

Which of the following is the best response to the question?

Choices:
A. find truth
B. see particular program
C. go to market
D. attend school
E. pizza

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where would someone be likely to see a moving airplane?,airplane,train-00000-of-00001,C,"Question:
Where would someone be likely to see a moving airplane?

Which of the following is the best response to the question?

Choices:
A. military base
B. airport
C. sky
D. airplane hangar
E. hanger

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where would you bring some towels other than to a shower?,towels,train-00000-of-00001,A,"Question:
Where would you bring some towels other than to a shower?

Which of the following is the best response to the question?

Choices:
A. swimming pool
B. hotel
C. beach
D. motel
E. stored on towel rack

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What is likely to have a thick membrane?,membrane,train-00000-of-00001,E,"Question:
What is likely to have a thick membrane?

Which of the following is the best response to the question?

Choices:
A. cell
B. animal
C. filtration
D. separating fluids
E. fresh egg

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What could happen to guns if they are hit on the ground?,guns,train-00000-of-00001,A,"Question:
What could happen to guns if they are hit on the ground?

Which of the following is the best response to the question?

Choices:
A. break
B. shoot someone
C. take life
D. jam
E. misfire

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"The two teams were competing all the time, what likely developed between them?",competing,train-00000-of-00001,C,"Question:
The two teams were competing all the time, what likely developed between them?

Which of the following is the best response to the question?

Choices:
A. accomplishment
B. enemies
C. rivalry
D. friendship
E. bad blood

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where do tourists go on hikes to take pictures?,tourists,train-00000-of-00001,B,"Question:
Where do tourists go on hikes to take pictures?

Which of the following is the best response to the question?

Choices:
A. new york
B. waterfall
C. state park
D. beach
E. disneyland

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"After studying many self-help books, what did he feel in his heart?",studying,train-00000-of-00001,A,"Question:
After studying many self-help books, what did he feel in his heart?

Which of the following is the best response to the question?

Choices:
A. inspiration
B. dreams
C. more intelligence
D. understanding
E. knowing more

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where can you buy grapes directly from their growers?,grape,train-00000-of-00001,D,"Question:
Where can you buy grapes directly from their growers?

Which of the following is the best response to the question?

Choices:
A. grocery cart
B. kitchen
C. fridge
D. fruit market
E. super market

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What would you do if you have curiosity about a new show?,curiosity,train-00000-of-00001,B,"Question:
What would you do if you have curiosity about a new show?

Which of the following is the best response to the question?

Choices:
A. examine thing
B. use television
C. design software
D. use computer
E. find truth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"A person is choking, what happens to their face?",person,train-00000-of-00001,D,"Question:
A person is choking, what happens to their face?

Which of the following is the best response to the question?

Choices:
A. cross street
B. suffer pain
C. own object
D. turn blue
E. sweat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is someone who enjoys to give assistance likely to do?,give assistance,train-00000-of-00001,C,"Question:
What is someone who enjoys to give assistance likely to do?

Which of the following is the best response to the question?

Choices:
A. helpful
B. prepared
C. help one
D. willing to help
E. go home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Disney has an entire ride dedicated to getting what to the world?,getting,train-00000-of-00001,D,"Question:
Disney has an entire ride dedicated to getting what to the world?

Which of the following is the best response to the question?

Choices:
A. satisfaction
B. fun
C. wanting more
D. joy
E. new realization

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What wet vehicle do you steer with a wheel?,wheel,train-00000-of-00001,D,"Question:
What wet vehicle do you steer with a wheel?

Which of the following is the best response to the question?

Choices:
A. bicycle shop
B. medium
C. michigan
D. boat
E. trunk of car

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
On what would you use a knob to change settings?,knob,train-00000-of-00001,B,"Question:
On what would you use a knob to change settings?

Which of the following is the best response to the question?

Choices:
A. opening doors
B. control panel
C. a cellphone
D. television
E. doorway

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where could you find a steel cable that has not been completed yet?,steel cable,train-00000-of-00001,B,"Question:
Where could you find a steel cable that has not been completed yet?

Which of the following is the best response to the question?

Choices:
A. winch
B. factory
C. roller coaster
D. ship
E. building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where would you store glue when it's not in use?,glue,train-00000-of-00001,A,"Question:
Where would you store glue when it's not in use?

Which of the following is the best response to the question?

Choices:
A. desk drawer
B. art room
C. classroom
D. bathroom
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where might I find unusual varieties of roses?,rosebush,train-00000-of-00001,A,"Question:
Where might I find unusual varieties of roses?

Which of the following is the best response to the question?

Choices:
A. botanic garden
B. flower garden
C. backyard
D. supermarket
E. outdoors

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"James was a stranger to them, but to me he was what?",stranger,train-00000-of-00001,A,"Question:
James was a stranger to them, but to me he was what?

Which of the following is the best response to the question?

Choices:
A. friend
B. family
C. park
D. known person
E. yellow

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is someone likely to feel after receiving a gift that is not common?,common,train-00000-of-00001,A,"Question:
What is someone likely to feel after receiving a gift that is not common?

Which of the following is the best response to the question?

Choices:
A. special
B. personal
C. offended
D. unique
E. rare

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"It was time for her favorite program, she got comfortable and turned on the what?",program,train-00000-of-00001,D,"Question:
It was time for her favorite program, she got comfortable and turned on the what?

Which of the following is the best response to the question?

Choices:
A. concert
B. opera
C. computer
D. television
E. lamp

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
"He was her uncle, and she was his what?",uncle,train-00000-of-00001,B,"Question:
He was her uncle, and she was his what?

Which of the following is the best response to the question?

Choices:
A. aunty
B. niece
C. boy
D. older generation
E. aunts house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What could be moved to stop a hinged door from moving?,hinged door,train-00000-of-00001,C,"Question:
What could be moved to stop a hinged door from moving?

Which of the following is the best response to the question?

Choices:
A. doorway
B. building
C. jamb
D. pantry
E. furnace

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What is likely to be felt by someone after a kill?,kill,train-00000-of-00001,B,"Question:
What is likely to be felt by someone after a kill?

Which of the following is the best response to the question?

Choices:
A. hunger
B. feel remorse
C. take life
D. or dies
E. commit crime

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
The child was scorned for scratching the plate with his what?,plate,train-00000-of-00001,C,"Question:
The child was scorned for scratching the plate with his what?

Which of the following is the best response to the question?

Choices:
A. cup
B. spoon
C. fork
D. saucer
E. bowl

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where is a marmot likely to live?,marmot,train-00000-of-00001,D,"Question:
Where is a marmot likely to live?

Which of the following is the best response to the question?

Choices:
A. outdoors
B. american forest
C. jungle
D. northern climates
E. switzerland

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where might you find a penny beside your shoe?,penny,train-00000-of-00001,E,"Question:
Where might you find a penny beside your shoe?

Which of the following is the best response to the question?

Choices:
A. piggy bank
B. coin purse
C. pocket
D. on the table
E. ground

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What would someone tell a person they possessed if they sing well?,sing,train-00000-of-00001,B,"Question:
What would someone tell a person they possessed if they sing well?

Which of the following is the best response to the question?

Choices:
A. annoy people around
B. had good voice
C. nice sound
D. enjoy
E. practice

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"Other than water, sugar is the main ingredient in what?",sugar,train-00000-of-00001,B,"Question:
Other than water, sugar is the main ingredient in what?

Which of the following is the best response to the question?

Choices:
A. candy bar
B. soda pop
C. coffee
D. tea
E. cupboard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What might someone be starting a fire to achieve?,starting fire,train-00000-of-00001,D,"Question:
What might someone be starting a fire to achieve?

Which of the following is the best response to the question?

Choices:
A. burns
B. going to jail
C. haircut
D. warmth
E. go to jail

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"Some do not enjoy getting drunk, it gives them what?",getting drunk,train-00000-of-00001,D,"Question:
Some do not enjoy getting drunk, it gives them what?

Which of the following is the best response to the question?

Choices:
A. intoxication
B. relaxation
C. fights
D. nausea
E. death

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"When not playing your mandolin, where would you store it?",mandolin,train-00000-of-00001,C,"Question:
When not playing your mandolin, where would you store it?

Which of the following is the best response to the question?

Choices:
A. closet
B. musical instrument store
C. instrument case
D. music shop
E. music store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What do people call it when they are going for run?,going for run,train-00000-of-00001,C,"Question:
What do people call it when they are going for run?

Which of the following is the best response to the question?

Choices:
A. trip
B. running in
C. working out
D. get tired
E. falling down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What part of a property may be next to a driveway?,driveway,train-00000-of-00001,A,"Question:
What part of a property may be next to a driveway?

Which of the following is the best response to the question?

Choices:
A. yard
B. neighborhood
C. driving car on
D. subdivision
E. suburb

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where is a pack horse likely to work?,horse,train-00000-of-00001,D,"Question:
Where is a pack horse likely to work?

Which of the following is the best response to the question?

Choices:
A. women's literature
B. race track
C. belmont park
D. dude ranch
E. a movie

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where does a ticket booth stand at the front of?,ticket booth,train-00000-of-00001,B,"Question:
Where does a ticket booth stand at the front of?

Which of the following is the best response to the question?

Choices:
A. park
B. train station
C. movie theater
D. subway
E. auditorium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
How would you express information to a deaf person?,express information,validation-00000-of-00001,C,"Question:
How would you express information to a deaf person?

Which of the following is the best response to the question?

Choices:
A. summarize main points
B. close mouth
C. write down
D. may disagree
E. talk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where can a talking bee be found?,bee,train-00000-of-00001,B,"Question:
Where can a talking bee be found?

Which of the following is the best response to the question?

Choices:
A. great outdoors
B. story book
C. flower shop
D. field of flowers
E. herb garden

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where would I go to see the most brands of oboe?,oboe,train-00000-of-00001,E,"Question:
Where would I go to see the most brands of oboe?

Which of the following is the best response to the question?

Choices:
A. orchestra
B. case
C. guitar center
D. band
E. music store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What country was known to have many amphitheatres?,amphitheatre,train-00000-of-00001,C,"Question:
What country was known to have many amphitheatres?

Which of the following is the best response to the question?

Choices:
A. movie house
B. underground
C. greece
D. park
E. outside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where is likely to have a family owned barber shop?,barber shop,train-00000-of-00001,A,"Question:
Where is likely to have a family owned barber shop?

Which of the following is the best response to the question?

Choices:
A. neighborhood
B. high street
C. canada
D. comb
E. wig store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is the result of kissing often?,kissing,train-00000-of-00001,C,"Question:
What is the result of kissing often?

Which of the following is the best response to the question?

Choices:
A. arousal
B. pleasurable
C. being happy
D. feeling good
E. sexual excitement

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What type of college do you learn science at?,science,train-00000-of-00001,E,"Question:
What type of college do you learn science at?

Which of the following is the best response to the question?

Choices:
A. space lab
B. a state college
C. school
D. nanotechnology
E. university

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
