question,question_concept,_split,answer,final_prompt,len_tk_mistral_7b_instruct
"The snake was cold, what did it seek?",snake,train-00000-of-00001,A,"Question:
The snake was cold, what did it seek?

Which of the following is the best response to the question?

Choices:
A. warm place
B. wooded area
C. blanket
D. sleeping bag
E. tropical forest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where must you go for a blood transfusion?,blood,train-00000-of-00001,C,"Question:
Where must you go for a blood transfusion?

Which of the following is the best response to the question?

Choices:
A. gurney
B. person
C. hospital
D. artery
E. vein

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What causes meeting people to be preceded by meditation?,meeting people,train-00000-of-00001,C,"Question:
What causes meeting people to be preceded by meditation?

Which of the following is the best response to the question?

Choices:
A. being bored
B. panic attack
C. anxiety
D. making new friends
E. love

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What do you feel when successful when competing against a worthy adversary.,competing against,train-00000-of-00001,D,"Question:
What do you feel when successful when competing against a worthy adversary.

Which of the following is the best response to the question?

Choices:
A. encouraging
B. one winner
C. injury
D. pride
E. proud

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
How bad is the punishment for someone who is over indulgent?,indulgent,train-00000-of-00001,A,"Question:
How bad is the punishment for someone who is over indulgent?

Which of the following is the best response to the question?

Choices:
A. severe
B. harsh
C. hard
D. strict
E. self denying

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Nations agreeing with each other will lead to what?,agreeing with,train-00000-of-00001,D,"Question:
Nations agreeing with each other will lead to what?

Which of the following is the best response to the question?

Choices:
A. taco tuesday
B. like
C. problem
D. peace
E. contract

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where are all employees likely to carry a weapon?,weapon,train-00000-of-00001,B,"Question:
Where are all employees likely to carry a weapon?

Which of the following is the best response to the question?

Choices:
A. war
B. police station
C. army bunker
D. security personnel
E. holster

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Behind what small door are canned goods usually kept in?,canned goods,train-00000-of-00001,D,"Question:
Behind what small door are canned goods usually kept in?

Which of the following is the best response to the question?

Choices:
A. cabinet
B. pantry
C. kitchen
D. cupboard
E. shelf

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where might someone go to watch a flute?,flute,train-00000-of-00001,B,"Question:
Where might someone go to watch a flute?

Which of the following is the best response to the question?

Choices:
A. park
B. symphony
C. orchestra
D. music shop
E. musical instrument store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What are you hoping to do when listening to an expert speak?,listening,train-00000-of-00001,A,"Question:
What are you hoping to do when listening to an expert speak?

Which of the following is the best response to the question?

Choices:
A. learning
B. fatigue
C. mercy
D. empathy
E. anxiety

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What will children do with dodge balls?,children,train-00000-of-00001,B,"Question:
What will children do with dodge balls?

Which of the following is the best response to the question?

Choices:
A. hear music
B. throw things
C. play with toys
D. watch tv
E. play sports

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Ballet dancing is a form of artistic what?,dancing,train-00000-of-00001,C,"Question:
Ballet dancing is a form of artistic what?

Which of the following is the best response to the question?

Choices:
A. swan lake
B. intercourse
C. expression
D. become tired
E. fatigue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is the cub's baseball stadium?,baseball stadium,train-00000-of-00001,A,"Question:
Where is the cub's baseball stadium?

Which of the following is the best response to the question?

Choices:
A. chicago
B. phoenix
C. san francisco
D. boston
E. urban areas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
what happens when a train leaves the station?,trains,train-00000-of-00001,A,"Question:
what happens when a train leaves the station?

Which of the following is the best response to the question?

Choices:
A. accelerate
B. open doors
C. arrive late
D. decelerate
E. brake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What do you put around a garden to keep animals out?,garden,train-00000-of-00001,B,"Question:
What do you put around a garden to keep animals out?

Which of the following is the best response to the question?

Choices:
A. park
B. fence
C. ground
D. vines
E. full bloom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
When potatoes aren't raised in town where are they raised?,potatoes,train-00000-of-00001,E,"Question:
When potatoes aren't raised in town where are they raised?

Which of the following is the best response to the question?

Choices:
A. farm
B. cellar
C. restaurant
D. boiled
E. countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where are people who do the same kind of work likely to gather?,people,train-00000-of-00001,B,"Question:
Where are people who do the same kind of work likely to gather?

Which of the following is the best response to the question?

Choices:
A. train station
B. convention
C. workplace
D. wedding
E. theater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
How do you get good at playing guitar?,playing guitar,train-00000-of-00001,C,"Question:
How do you get good at playing guitar?

Which of the following is the best response to the question?

Choices:
A. polish your guitar regularly.
B. pick
C. practice
D. have fun
E. desire

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"She was pretending to be happy for others, she would always what?",pretending,train-00000-of-00001,C,"Question:
She was pretending to be happy for others, she would always what?

Which of the following is the best response to the question?

Choices:
A. religion
B. forget
C. smile
D. play
E. eat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
what do you fill with ink to write?,ink,validation-00000-of-00001,B,"Question:
what do you fill with ink to write?

Which of the following is the best response to the question?

Choices:
A. squid
B. fountain pen
C. pencil case
D. newspaper
E. printer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is a student likely to have a ring binder?,ring binder,train-00000-of-00001,A,"Question:
Where is a student likely to have a ring binder?

Which of the following is the best response to the question?

Choices:
A. school
B. notebook
C. book store
D. office
E. office supply store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"American humans just graduated high school, where are many of them bound?",humans,train-00000-of-00001,A,"Question:
American humans just graduated high school, where are many of them bound?

Which of the following is the best response to the question?

Choices:
A. university
B. park
C. unemployment
D. cafe
E. movies

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Why does the guy try cashing in his check?,cashing in,train-00000-of-00001,A,"Question:
Why does the guy try cashing in his check?

Which of the following is the best response to the question?

Choices:
A. extra money
B. get paid
C. great joy
D. quitting
E. profit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"If I have a pet bird, what does it likely live in?",bird,validation-00000-of-00001,E,"Question:
If I have a pet bird, what does it likely live in?

Which of the following is the best response to the question?

Choices:
A. forest
B. bathroom
C. windowsill
D. countryside
E. cage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
A creek is a body of water found in what low land?,creek,validation-00000-of-00001,B,"Question:
A creek is a body of water found in what low land?

Which of the following is the best response to the question?

Choices:
A. forest
B. valley
C. outdoors
D. countryside
E. woods

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where are you likely to find many a bench?,bench,train-00000-of-00001,A,"Question:
Where are you likely to find many a bench?

Which of the following is the best response to the question?

Choices:
A. bus depot
B. state park
C. bus stop
D. train station
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is a business leader likely to be in charge of?,leader,train-00000-of-00001,E,"Question:
What is a business leader likely to be in charge of?

Which of the following is the best response to the question?

Choices:
A. army
B. country
C. micromanagement
D. pack
E. organization

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is a master control likely to be in a technology company?,master control,train-00000-of-00001,A,"Question:
Where is a master control likely to be in a technology company?

Which of the following is the best response to the question?

Choices:
A. main office
B. center
C. beach
D. manufacturing plant
E. basement

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What should someone do after someone is done helping them?,helping,train-00000-of-00001,A,"Question:
What should someone do after someone is done helping them?

Which of the following is the best response to the question?

Choices:
A. say thank
B. satisfaction
C. smile at
D. will thank
E. say compliment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where are you likely to find a tupperware container?,container,train-00000-of-00001,B,"Question:
Where are you likely to find a tupperware container?

Which of the following is the best response to the question?

Choices:
A. pantry
B. kitchens
C. stove
D. food
E. refrigerator

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where can you store a small notepad on your person?,notepad,train-00000-of-00001,A,"Question:
Where can you store a small notepad on your person?

Which of the following is the best response to the question?

Choices:
A. back pocket
B. meeting
C. drug store
D. home
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where do executives sit on the top floor?,top floor,train-00000-of-00001,B,"Question:
Where do executives sit on the top floor?

Which of the following is the best response to the question?

Choices:
A. chair
B. office building
C. apartment building
D. tall building
E. apartment highrise

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What kind of cold storage could you find in your house?,cold storage,validation-00000-of-00001,E,"Question:
What kind of cold storage could you find in your house?

Which of the following is the best response to the question?

Choices:
A. ice pack
B. freezer
C. laboratory
D. warehouse
E. refrigerator

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where might a person go if they need urgent care for a wound?,wound,train-00000-of-00001,D,"Question:
Where might a person go if they need urgent care for a wound?

Which of the following is the best response to the question?

Choices:
A. body
B. injury
C. patient
D. emergency room
E. hospital

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
When a person is living on the streets they likely what?,person,train-00000-of-00001,E,"Question:
When a person is living on the streets they likely what?

Which of the following is the best response to the question?

Choices:
A. shameful
B. ridiculous
C. lazy
D. restricted
E. have no home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
In order to sneeze one must do what?,sneeze,train-00000-of-00001,A,"Question:
In order to sneeze one must do what?

Which of the following is the best response to the question?

Choices:
A. inhale
B. fart
C. close eyes
D. spray
E. blow nose

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Which long saga will we be watching on tonight's program?,program,train-00000-of-00001,B,"Question:
Which long saga will we be watching on tonight's program?

Which of the following is the best response to the question?

Choices:
A. concert
B. opera
C. theater
D. take class
E. television

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What doorway is likely to have a large wooden door?,doorway,train-00000-of-00001,D,"Question:
What doorway is likely to have a large wooden door?

Which of the following is the best response to the question?

Choices:
A. home
B. airport
C. skyscraper
D. castle
E. every building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What would use a classical stringed instrument?,stringed instrument,train-00000-of-00001,C,"Question:
What would use a classical stringed instrument?

Which of the following is the best response to the question?

Choices:
A. concert
B. music store
C. string quartet
D. rock band
E. barbershop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where can you often find many soldiers?,soldier,train-00000-of-00001,B,"Question:
Where can you often find many soldiers?

Which of the following is the best response to the question?

Choices:
A. armored car
B. battlefield
C. war zone
D. tavern
E. white house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"After a winning baseball game, what experience would a team member feel?",winning baseball game,train-00000-of-00001,E,"Question:
After a winning baseball game, what experience would a team member feel?

Which of the following is the best response to the question?

Choices:
A. sensation
B. celebrating
C. happiness
D. recognition
E. pride

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where in a house would a table be most likely placed?,table,train-00000-of-00001,C,"Question:
Where in a house would a table be most likely placed?

Which of the following is the best response to the question?

Choices:
A. living room
B. kitchen
C. dining room
D. conference
E. demonstration

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Having food all the time can lead to what?,having food,train-00000-of-00001,D,"Question:
Having food all the time can lead to what?

Which of the following is the best response to the question?

Choices:
A. digesting
B. not hungry
C. swelling
D. weight gain
E. gas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
How does a human solve problems?,human,train-00000-of-00001,D,"Question:
How does a human solve problems?

Which of the following is the best response to the question?

Choices:
A. say hello
B. have fever
C. better himself
D. think critically
E. have to sleep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What will happen to you after cleaning house?,cleaning house,train-00000-of-00001,B,"Question:
What will happen to you after cleaning house?

Which of the following is the best response to the question?

Choices:
A. order
B. tiredness
C. neatness
D. pass out
E. invigorating

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The champagne was good, it was both sweet and what?",sweet,train-00000-of-00001,E,"Question:
The champagne was good, it was both sweet and what?

Which of the following is the best response to the question?

Choices:
A. bitter
B. decaying
C. spicy
D. sour
E. dry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where can you buy a replacement ax handle?,handle,validation-00000-of-00001,B,"Question:
Where can you buy a replacement ax handle?

Which of the following is the best response to the question?

Choices:
A. bathroom
B. hardware store
C. water fountain
D. grocery store
E. fridge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The bird was tired, where did it land?",bird,train-00000-of-00001,D,"Question:
The bird was tired, where did it land?

Which of the following is the best response to the question?

Choices:
A. cage
B. sky
C. on the head of a man
D. roof
E. countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where could you find thousands of chair?,chair,train-00000-of-00001,D,"Question:
Where could you find thousands of chair?

Which of the following is the best response to the question?

Choices:
A. friend's house
B. neighbor's house
C. office
D. school room
E. earth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What might a teacher do most during a week?,teacher,train-00000-of-00001,D,"Question:
What might a teacher do most during a week?

Which of the following is the best response to the question?

Choices:
A. demonstrate
B. eat lunch
C. time test
D. work in school
E. school children

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The crossroads were deserted of traffic, where was it located?",crossroads,train-00000-of-00001,C,"Question:
The crossroads were deserted of traffic, where was it located?

Which of the following is the best response to the question?

Choices:
A. life
B. desert
C. countryside
D. journey
E. city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is a great place to display a flower on a table?,flower,train-00000-of-00001,A,"Question:
Where is a great place to display a flower on a table?

Which of the following is the best response to the question?

Choices:
A. vase
B. shelf
C. park
D. garden
E. windowsill

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would you put onions right before chopping them?,onions,train-00000-of-00001,A,"Question:
Where would you put onions right before chopping them?

Which of the following is the best response to the question?

Choices:
A. table
B. pantry
C. refrigerator
D. pizza
E. front porch

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What are adult people usually expected to do?,people,train-00000-of-00001,C,"Question:
What are adult people usually expected to do?

Which of the following is the best response to the question?

Choices:
A. shake hands
B. own property
C. pay bills
D. smoke
E. talk to each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What happens on a tree when its first growing?,tree,train-00000-of-00001,B,"Question:
What happens on a tree when its first growing?

Which of the following is the best response to the question?

Choices:
A. fall down
B. branch out
C. cast shadow
D. provide shelter
E. make tables

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The keys were black and white, what were they attached to?",keys,train-00000-of-00001,E,"Question:
The keys were black and white, what were they attached to?

Which of the following is the best response to the question?

Choices:
A. front pocket
B. cabinet
C. purse
D. chain
E. piano

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would a beauty parlor be?,parlor,train-00000-of-00001,C,"Question:
Where would a beauty parlor be?

Which of the following is the best response to the question?

Choices:
A. georgian houses
B. city
C. building
D. victorian house
E. underwater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"He never got in trouble, he received a certificate for what?",trouble,train-00000-of-00001,E,"Question:
He never got in trouble, he received a certificate for what?

Which of the following is the best response to the question?

Choices:
A. safe
B. park
C. calm
D. being good
E. good behavior

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What meal usually has carrots and mostly leafy vegetables?,carrots,train-00000-of-00001,B,"Question:
What meal usually has carrots and mostly leafy vegetables?

Which of the following is the best response to the question?

Choices:
A. cellar
B. salad
C. store
D. refrigerator
E. soup

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What could you buy in a bookstore?,bookstore,train-00000-of-00001,B,"Question:
What could you buy in a bookstore?

Which of the following is the best response to the question?

Choices:
A. carpeting
B. magazines
C. strip mall
D. city
E. applesauce

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"They would only allow one more in, he was unfortunately a what?",allow,train-00000-of-00001,C,"Question:
They would only allow one more in, he was unfortunately a what?

Which of the following is the best response to the question?

Choices:
A. forbid
B. deny
C. reject
D. reject
E. permitted

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
what can years of playing tennis lead to?,playing tennis,train-00000-of-00001,A,"Question:
what can years of playing tennis lead to?

Which of the following is the best response to the question?

Choices:
A. tennis elbow
B. proffesional player
C. exercise
D. victory
E. becoming tired

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where can someone eat popcorn quietly?,popcorn,train-00000-of-00001,C,"Question:
Where can someone eat popcorn quietly?

Which of the following is the best response to the question?

Choices:
A. soccer game
B. movie theater
C. movie house
D. carnival
E. circus

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would you put tin after you buy it?,tin,train-00000-of-00001,C,"Question:
Where would you put tin after you buy it?

Which of the following is the best response to the question?

Choices:
A. hardware store
B. antique store
C. shopping bag
D. shed
E. landfill

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where can you find a snake in tall grass?,snake,validation-00000-of-00001,D,"Question:
Where can you find a snake in tall grass?

Which of the following is the best response to the question?

Choices:
A. tree
B. in a jar
C. pet shops
D. feild
E. tropical forest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What type of fruit is easily broken in to sections?,section,validation-00000-of-00001,B,"Question:
What type of fruit is easily broken in to sections?

Which of the following is the best response to the question?

Choices:
A. slide
B. citrus
C. band
D. orchestra
E. coconut

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What has a cash register with a limited items line?,cash register,train-00000-of-00001,B,"Question:
What has a cash register with a limited items line?

Which of the following is the best response to the question?

Choices:
A. bookstore
B. supermarket
C. toy store
D. candy store
E. shop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What country is the native home of lemurs?,lemur,train-00000-of-00001,D,"Question:
What country is the native home of lemurs?

Which of the following is the best response to the question?

Choices:
A. india
B. field
C. belarus
D. russia
E. heaven

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is disease often spread but shouldn't be?,disease,train-00000-of-00001,E,"Question:
Where is disease often spread but shouldn't be?

Which of the following is the best response to the question?

Choices:
A. ghost town
B. third world country
C. human body
D. rug
E. hospital

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where is a good place to get a ball?,ball,train-00000-of-00001,D,"Question:
Where is a good place to get a ball?

Which of the following is the best response to the question?

Choices:
A. kitchen
B. child's hand
C. street
D. toy store
E. soccer game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where are you if you have to order a cup of coffee?,cup of coffee,train-00000-of-00001,D,"Question:
Where are you if you have to order a cup of coffee?

Which of the following is the best response to the question?

Choices:
A. mexico
B. tired
C. table
D. coffee shop
E. desk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What does sex often make happen in people?,sex,train-00000-of-00001,B,"Question:
What does sex often make happen in people?

Which of the following is the best response to the question?

Choices:
A. making love
B. feel good
C. happyness
D. wonderful thing
E. cloud judgment

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Lawyers often talk in front of an audience where?,lawyers,validation-00000-of-00001,B,"Question:
Lawyers often talk in front of an audience where?

Which of the following is the best response to the question?

Choices:
A. work
B. courtroom
C. office building
D. press charges
E. theatre

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
After new coke was discontinued what formula was used?,new,train-00000-of-00001,A,"Question:
After new coke was discontinued what formula was used?

Which of the following is the best response to the question?

Choices:
A. original
B. old
C. coke clear
D. former
E. familiar

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would child's work be on the wall?,wall,train-00000-of-00001,E,"Question:
Where would child's work be on the wall?

Which of the following is the best response to the question?

Choices:
A. labyrinth
B. china
C. corner
D. art show
E. classroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would a person find information in the old days?,information,train-00000-of-00001,B,"Question:
Where would a person find information in the old days?

Which of the following is the best response to the question?

Choices:
A. dewey decimal system
B. book
C. library
D. newspaper
E. internet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
The kids wanted to cool off so they all went to what?,cool off,train-00000-of-00001,E,"Question:
The kids wanted to cool off so they all went to what?

Which of the following is the best response to the question?

Choices:
A. manual
B. think
C. relief
D. calm down
E. go swimming

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is important for a couple to do?,couple,train-00000-of-00001,D,"Question:
What is important for a couple to do?

Which of the following is the best response to the question?

Choices:
A. live together
B. row about
C. plan to marry
D. communicate
E. marry each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
WHere do you store dry food?,food,train-00000-of-00001,A,"Question:
WHere do you store dry food?

Which of the following is the best response to the question?

Choices:
A. shelf
B. supermarket
C. military base
D. neighbor's house
E. in the garage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Air conditioning makes summers more comfortable in what work spaces?,air conditioning,train-00000-of-00001,C,"Question:
Air conditioning makes summers more comfortable in what work spaces?

Which of the following is the best response to the question?

Choices:
A. house
B. car
C. offices
D. movie theatre
E. cold rooms

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where does a person usually plant a rosebush?,rosebush,train-00000-of-00001,B,"Question:
Where does a person usually plant a rosebush?

Which of the following is the best response to the question?

Choices:
A. ballpark
B. flower bed
C. park
D. backyard
E. outdoors

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What would a test be if it is not hard?,hard,train-00000-of-00001,C,"Question:
What would a test be if it is not hard?

Which of the following is the best response to the question?

Choices:
A. tricky
B. agreeable
C. easy
D. bearable
E. tryhard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What the positive consequences of drinking alcohol?,drinking alcohol,train-00000-of-00001,A,"Question:
What the positive consequences of drinking alcohol?

Which of the following is the best response to the question?

Choices:
A. have fun
B. death
C. frequent urination
D. slurring words
E. sickness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
John and James loved making friends.  It gave them what?,making friends,train-00000-of-00001,A,"Question:
John and James loved making friends.  It gave them what?

Which of the following is the best response to the question?

Choices:
A. good feeling
B. conflict
C. happiness
D. having friends
E. problems

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What town is known for disco?,disco,train-00000-of-00001,A,"Question:
What town is known for disco?

Which of the following is the best response to the question?

Choices:
A. rio de janeiro
B. new york
C. town
D. germany
E. hotel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What do you do to learn new things for a test?,learn new,train-00000-of-00001,B,"Question:
What do you do to learn new things for a test?

Which of the following is the best response to the question?

Choices:
A. television
B. study
C. go to school
D. ask questions
E. fun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What can happen to someone involved in a precarious rescue?,rescue,train-00000-of-00001,C,"Question:
What can happen to someone involved in a precarious rescue?

Which of the following is the best response to the question?

Choices:
A. corrupt
B. abandon
C. endanger
D. get hurt
E. bind

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where do you wait in a reception area for a meeting?,reception area,train-00000-of-00001,E,"Question:
Where do you wait in a reception area for a meeting?

Which of the following is the best response to the question?

Choices:
A. hall
B. motel
C. hotels
D. law firm
E. office building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where does a city cat live?,cat,train-00000-of-00001,B,"Question:
Where does a city cat live?

Which of the following is the best response to the question?

Choices:
A. compost pile
B. back alley
C. garbage can
D. milky way galaxy
E. backyard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What does killing people not usually lead to?,killing people,train-00000-of-00001,A,"Question:
What does killing people not usually lead to?

Which of the following is the best response to the question?

Choices:
A. joy
B. vengeance
C. going to jail
D. anguish
E. happiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What do people feel when something good happens?,people,train-00000-of-00001,A,"Question:
What do people feel when something good happens?

Which of the following is the best response to the question?

Choices:
A. experience joy
B. believe in god
C. sadness
D. get sick
E. ask questions

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"The employee was stocking product, where did he put it?",product,train-00000-of-00001,E,"Question:
The employee was stocking product, where did he put it?

Which of the following is the best response to the question?

Choices:
A. display case
B. demonstration
C. market
D. store
E. shelf

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What does a lead for a journalist lead to?,lead,train-00000-of-00001,E,"Question:
What does a lead for a journalist lead to?

Which of the following is the best response to the question?

Choices:
A. very heavy
B. lead pencil
C. store
D. card game
E. news article

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What kind of area does a cat typically enjoy?,cat,train-00000-of-00001,A,"Question:
What kind of area does a cat typically enjoy?

Which of the following is the best response to the question?

Choices:
A. warm place
B. barn
C. beam of sunlight
D. backyard
E. high places

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"Most animals get tired, and when they do they what?",animals,train-00000-of-00001,E,"Question:
Most animals get tired, and when they do they what?

Which of the following is the best response to the question?

Choices:
A. bite
B. groom
C. procreate
D. keep alive
E. lie down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
What is a place that has large cable hanging overhead?,cable,validation-00000-of-00001,D,"Question:
What is a place that has large cable hanging overhead?

Which of the following is the best response to the question?

Choices:
A. radio shack
B. electrical device
C. shower
D. substation
E. television

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where do you keep a pail in your house?,pail,validation-00000-of-00001,C,"Question:
Where do you keep a pail in your house?

Which of the following is the best response to the question?

Choices:
A. garage
B. pool
C. utility room
D. hardware store
E. wishing well

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
"Like all mammals, cats smell with what?",cat,train-00000-of-00001,E,"Question:
Like all mammals, cats smell with what?

Which of the following is the best response to the question?

Choices:
A. eyes
B. four legs
C. litter of kittens
D. tail
E. nose

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
Where would you keep paper files you're currently working on?,files,train-00000-of-00001,A,"Question:
Where would you keep paper files you're currently working on?

Which of the following is the best response to the question?

Choices:
A. desk
B. filing cabinet
C. harddisk
D. drawer
E. computers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",81
