question,question_concept,_split,answer,final_prompt,len_tk_qwen2.5_7b_instruct
Where does a child likely sit at a desk?,desk,validation-00000-of-00001,B,"Question:
Where does a child likely sit at a desk?

Which of the following is the best response to the question?

Choices:
A. furniture store
B. schoolroom
C. patio
D. office building
E. library

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What has a cash register with a limited items line?,cash register,train-00000-of-00001,B,"Question:
What has a cash register with a limited items line?

Which of the following is the best response to the question?

Choices:
A. bookstore
B. supermarket
C. toy store
D. candy store
E. shop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"I'm looking for alcohol and fried foods, any suggestions?",alcohol,train-00000-of-00001,A,"Question:
I'm looking for alcohol and fried foods, any suggestions?

Which of the following is the best response to the question?

Choices:
A. pub
B. plane
C. beer
D. store
E. fraternity house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where can a vegetarian restaurant be found?,vegetarian restaurant,train-00000-of-00001,B,"Question:
Where can a vegetarian restaurant be found?

Which of the following is the best response to the question?

Choices:
A. san francisco
B. anywhere
C. downtown
D. most cities
E. in the country

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What do you use to pronounce parts of a letter?,letter,train-00000-of-00001,D,"Question:
What do you use to pronounce parts of a letter?

Which of the following is the best response to the question?

Choices:
A. joke
B. word
C. number
D. syllable
E. english alphabet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is a good place to purchase a toy balloon?,toy balloon,train-00000-of-00001,C,"Question:
Where is a good place to purchase a toy balloon?

Which of the following is the best response to the question?

Choices:
A. birthday party
B. church
C. amusement park
D. parade
E. circus

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"A man needs to finish some paperwork, where does he go?",paperwork,train-00000-of-00001,E,"Question:
A man needs to finish some paperwork, where does he go?

Which of the following is the best response to the question?

Choices:
A. desk
B. work
C. downtown
D. meeting
E. office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"Immediately after peeing, a person's bladder is what?",bladder,validation-00000-of-00001,B,"Question:
Immediately after peeing, a person's bladder is what?

Which of the following is the best response to the question?

Choices:
A. collapsed
B. empty
C. full
D. filled
E. stretchable

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where can you buy grapes directly from their growers?,grape,train-00000-of-00001,D,"Question:
Where can you buy grapes directly from their growers?

Which of the following is the best response to the question?

Choices:
A. grocery cart
B. kitchen
C. fridge
D. fruit market
E. super market

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What area are theaters typically located?,theater,train-00000-of-00001,B,"Question:
What area are theaters typically located?

Which of the following is the best response to the question?

Choices:
A. shopping mall
B. downtown area
C. in buildings
D. new york city
E. populated area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Why would we handle glass with care ?,glass,train-00000-of-00001,C,"Question:
Why would we handle glass with care ?

Which of the following is the best response to the question?

Choices:
A. many different colors
B. cut vegetables
C. break easily
D. melt
E. hold water

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Sarah opened her newspaper to the second page and sat where?,newspaper,train-00000-of-00001,D,"Question:
Sarah opened her newspaper to the second page and sat where?

Which of the following is the best response to the question?

Choices:
A. rug
B. front door
C. jail
D. porch
E. chair

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is likely to have an open air market?,market,train-00000-of-00001,B,"Question:
Where is likely to have an open air market?

Which of the following is the best response to the question?

Choices:
A. city
B. village
C. field
D. rural area
E. buy fresh vegetables

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What might a gentleman own and go inside of?,gentleman,train-00000-of-00001,B,"Question:
What might a gentleman own and go inside of?

Which of the following is the best response to the question?

Choices:
A. garage
B. big house
C. movie
D. restaurant
E. tuxedo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What happens to people over time?,people,train-00000-of-00001,E,"Question:
What happens to people over time?

Which of the following is the best response to the question?

Choices:
A. use money
B. feel cold
C. play games
D. believe in god
E. become old

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What do you call a metal that is not cheap?,cheap,train-00000-of-00001,C,"Question:
What do you call a metal that is not cheap?

Which of the following is the best response to the question?

Choices:
A. expensive
B. dear
C. precious
D. inexpensive
E. spendthrift

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
People of faith believe what is a vessel for the soul?,vessel,train-00000-of-00001,D,"Question:
People of faith believe what is a vessel for the soul?

Which of the following is the best response to the question?

Choices:
A. ocean
B. head
C. port
D. human body
E. streets

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Being able to forgive is a way to be what?,forgive,train-00000-of-00001,D,"Question:
Being able to forgive is a way to be what?

Which of the following is the best response to the question?

Choices:
A. learn
B. give hug
C. happiness
D. nice to
E. sex

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where do you need to use a fan?,fan,train-00000-of-00001,A,"Question:
Where do you need to use a fan?

Which of the following is the best response to the question?

Choices:
A. hot room
B. sports stadium
C. appliance store
D. hockey game
E. sauna

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you find a horse in the desert?,horse,train-00000-of-00001,B,"Question:
Where would you find a horse in the desert?

Which of the following is the best response to the question?

Choices:
A. canada
B. american southwest
C. state fair
D. central park
E. texas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
where do you go to see most statues?,statue,train-00000-of-00001,E,"Question:
where do you go to see most statues?

Which of the following is the best response to the question?

Choices:
A. large city
B. church
C. amusement park
D. new york city
E. museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is likely to have a family owned barber shop?,barber shop,train-00000-of-00001,A,"Question:
Where is likely to have a family owned barber shop?

Which of the following is the best response to the question?

Choices:
A. neighborhood
B. high street
C. canada
D. comb
E. wig store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Lawyers often talk in front of an audience where?,lawyers,validation-00000-of-00001,B,"Question:
Lawyers often talk in front of an audience where?

Which of the following is the best response to the question?

Choices:
A. work
B. courtroom
C. office building
D. press charges
E. theatre

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What does an airplane do before takeoff?,airplanes,train-00000-of-00001,B,"Question:
What does an airplane do before takeoff?

Which of the following is the best response to the question?

Choices:
A. crash
B. accelerate
C. turn around
D. catch on fire
E. carry freight

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What furniture will you normally find near a side chair?,side chair,validation-00000-of-00001,B,"Question:
What furniture will you normally find near a side chair?

Which of the following is the best response to the question?

Choices:
A. bedroom
B. table
C. wheel barrow
D. building
E. office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where are all employees likely to carry a weapon?,weapon,train-00000-of-00001,B,"Question:
Where are all employees likely to carry a weapon?

Which of the following is the best response to the question?

Choices:
A. war
B. police station
C. army bunker
D. security personnel
E. holster

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What does a long session of procreating cause?,procreating,train-00000-of-00001,D,"Question:
What does a long session of procreating cause?

Which of the following is the best response to the question?

Choices:
A. having children
B. feeling good
C. overpopulation
D. exhaustion
E. reproduction

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where do humans go in space?,human,train-00000-of-00001,D,"Question:
Where do humans go in space?

Which of the following is the best response to the question?

Choices:
A. anywhere on earth
B. ufos
C. strip club
D. international space station
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
what does someone do when they do not reply to a question?,reply,train-00000-of-00001,C,"Question:
what does someone do when they do not reply to a question?

Which of the following is the best response to the question?

Choices:
A. ask
B. question
C. ignore
D. answer
E. mute

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
How can someone be let into a brownstone?,brownstone,validation-00000-of-00001,B,"Question:
How can someone be let into a brownstone?

Which of the following is the best response to the question?

Choices:
A. brooklyn
B. ring
C. subdivision
D. bricks
E. new york city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What is a likely result of returning to work?,returning to work,train-00000-of-00001,A,"Question:
What is a likely result of returning to work?

Which of the following is the best response to the question?

Choices:
A. earn money
B. depression
C. work overload
D. stress
E. sobering

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where can you find a few hundred or thousand apartment?,apartment,train-00000-of-00001,A,"Question:
Where can you find a few hundred or thousand apartment?

Which of the following is the best response to the question?

Choices:
A. town
B. michigan
C. texas
D. budget
E. avoid buying

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"After being in shock, he settle and felt what?",shock,train-00000-of-00001,B,"Question:
After being in shock, he settle and felt what?

Which of the following is the best response to the question?

Choices:
A. quiet noisey
B. calm
C. lost
D. surprised
E. expected

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where in your pants would you keep a kleenex?,kleenex,train-00000-of-00001,A,"Question:
Where in your pants would you keep a kleenex?

Which of the following is the best response to the question?

Choices:
A. pocket
B. box
C. blow nose
D. purse
E. bag

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where could a pilot go after he or she is finished working?,pilot,train-00000-of-00001,C,"Question:
Where could a pilot go after he or she is finished working?

Which of the following is the best response to the question?

Choices:
A. cockpit
B. airplane
C. shower
D. airport
E. home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would someone learn to play an upright piano?,upright piano,train-00000-of-00001,C,"Question:
Where would someone learn to play an upright piano?

Which of the following is the best response to the question?

Choices:
A. music room
B. music store
C. music class
D. medium
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What do people feel when they see large guard dogs?,dogs,train-00000-of-00001,D,"Question:
What do people feel when they see large guard dogs?

Which of the following is the best response to the question?

Choices:
A. anxious
B. fleas
C. found outside
D. frightening
E. faithful

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
How does someone become a lover?,lover,train-00000-of-00001,A,"Question:
How does someone become a lover?

Which of the following is the best response to the question?

Choices:
A. fall in love
B. make love
C. wait forever
D. distance themselves
E. being dumped

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What can you do before taking final exams to help with them?,taking final exams,train-00000-of-00001,A,"Question:
What can you do before taking final exams to help with them?

Which of the following is the best response to the question?

Choices:
A. study
B. sweat
C. graduation
D. cheat
E. sleep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Punk rock music is an important part of what action sport?,music,validation-00000-of-00001,A,"Question:
Punk rock music is an important part of what action sport?

Which of the following is the best response to the question?

Choices:
A. skate
B. listen
C. opera
D. opera
E. relax

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What is required to be good at driving cars?,driving car,train-00000-of-00001,B,"Question:
What is required to be good at driving cars?

Which of the following is the best response to the question?

Choices:
A. have fun
B. concentrate
C. park
D. listen to radio
E. speeding

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What happens inside of you when you have anger?,anger,train-00000-of-00001,E,"Question:
What happens inside of you when you have anger?

Which of the following is the best response to the question?

Choices:
A. destroy enemy
B. write letter
C. explode
D. punch
E. release energy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
How does an investor get cash?,investor,train-00000-of-00001,C,"Question:
How does an investor get cash?

Which of the following is the best response to the question?

Choices:
A. save money
B. buy stock
C. sell stock
D. gain wealth
E. from a job

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What kind of leave did the manager assign all nonessential personnel?,nonessential,train-00000-of-00001,A,"Question:
What kind of leave did the manager assign all nonessential personnel?

Which of the following is the best response to the question?

Choices:
A. mandatory
B. shall
C. necessary
D. essential
E. required

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What could have tens of thousands of paper clips?,paper clips,train-00000-of-00001,A,"Question:
What could have tens of thousands of paper clips?

Which of the following is the best response to the question?

Choices:
A. university
B. work
C. desktop
D. fashioned into simple tools
E. drawer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What could prevent someone from starting to dance?,dancing,train-00000-of-00001,B,"Question:
What could prevent someone from starting to dance?

Which of the following is the best response to the question?

Choices:
A. becoming tired
B. sore feet
C. sweat
D. wearing beads
E. having fun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you be unlikely to find a freezer?,freezer,train-00000-of-00001,C,"Question:
Where would you be unlikely to find a freezer?

Which of the following is the best response to the question?

Choices:
A. own home
B. office building
C. garage
D. appliance store
E. flat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
In smaller whats are there less needs a bus stop?,bus stop,train-00000-of-00001,E,"Question:
In smaller whats are there less needs a bus stop?

Which of the following is the best response to the question?

Choices:
A. urban area
B. busy
C. airport
D. boarding bus
E. towns

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What is likely the result of falling from a height?,falling,train-00000-of-00001,B,"Question:
What is likely the result of falling from a height?

Which of the following is the best response to the question?

Choices:
A. pain
B. broken bones
C. going down
D. diving
E. injuries

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
when communicating with my boss what should i do,communicating,validation-00000-of-00001,B,"Question:
when communicating with my boss what should i do

Which of the following is the best response to the question?

Choices:
A. misunderstandings
B. transfer of information
C. learning
D. confusion
E. silence

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What might someone do who is having fun?,having fun,train-00000-of-00001,E,"Question:
What might someone do who is having fun?

Which of the following is the best response to the question?

Choices:
A. being happy
B. glee
C. smoke
D. stress relief
E. may laugh

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What does a bus station have to be near?,bus station,train-00000-of-00001,E,"Question:
What does a bus station have to be near?

Which of the following is the best response to the question?

Choices:
A. eat cake
B. maps
C. enter bus
D. city centre
E. street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What does a robot need to be able to be working?,working,train-00000-of-00001,D,"Question:
What does a robot need to be able to be working?

Which of the following is the best response to the question?

Choices:
A. energh
B. job
C. concentration
D. energy
E. compensation

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What is the definition of cogitating?,cogitating,train-00000-of-00001,B,"Question:
What is the definition of cogitating?

Which of the following is the best response to the question?

Choices:
A. sit comfortably
B. think about things
C. might understand
D. enjoy
E. brain work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you get some maps that you own?,maps,validation-00000-of-00001,D,"Question:
Where would you get some maps that you own?

Which of the following is the best response to the question?

Choices:
A. bookstore
B. library
C. electrical circuit
D. cabinet
E. important when traveling

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where goes well beyond the world to other worlds?,world,train-00000-of-00001,B,"Question:
Where goes well beyond the world to other worlds?

Which of the following is the best response to the question?

Choices:
A. solar system
B. galaxy
C. countries
D. narnia
E. space

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What type of environment does a lemur call home?,lemur,train-00000-of-00001,E,"Question:
What type of environment does a lemur call home?

Which of the following is the best response to the question?

Choices:
A. australia
B. india
C. cage
D. rain forest
E. forrest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What city will likely have many parking structures?,parking structure,validation-00000-of-00001,A,"Question:
What city will likely have many parking structures?

Which of the following is the best response to the question?

Choices:
A. chicago
B. big city
C. large city building
D. environment
E. college campus

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Running errands with screaming kids will likely cause what?,running errands,validation-00000-of-00001,C,"Question:
Running errands with screaming kids will likely cause what?

Which of the following is the best response to the question?

Choices:
A. efficiency
B. insanity
C. aggravation
D. tiredness
E. stress

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you find many shower curtain being used?,shower curtain,train-00000-of-00001,D,"Question:
Where would you find many shower curtain being used?

Which of the following is the best response to the question?

Choices:
A. bathtub
B. dime store
C. department store
D. hotel
E. police station

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would normally find two eyes?,eye,train-00000-of-00001,C,"Question:
Where would normally find two eyes?

Which of the following is the best response to the question?

Choices:
A. someones face
B. faces
C. person's head
D. potato
E. someones face

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where do nurses work with one doctor?,nurse,train-00000-of-00001,B,"Question:
Where do nurses work with one doctor?

Which of the following is the best response to the question?

Choices:
A. resuscitate
B. doctor's office
C. hospital
D. reception
E. nursing home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where do you change lanes while in a car?,lane,train-00000-of-00001,C,"Question:
Where do you change lanes while in a car?

Which of the following is the best response to the question?

Choices:
A. bowling alley
B. street
C. highway
D. grocery store
E. rural countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is likely to have a walk in type wardrobe?,wardrobe,train-00000-of-00001,D,"Question:
Where is likely to have a walk in type wardrobe?

Which of the following is the best response to the question?

Choices:
A. recreational vehicle
B. clothes cupboard
C. house
D. mansion
E. bedroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is a good place to be an automobile?,automobile,train-00000-of-00001,B,"Question:
Where is a good place to be an automobile?

Which of the following is the best response to the question?

Choices:
A. garage
B. driveway
C. repair shop
D. junk yard
E. exit ramp

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What leads a company to get in trouble?,company,train-00000-of-00001,C,"Question:
What leads a company to get in trouble?

Which of the following is the best response to the question?

Choices:
A. mail order
B. branch out
C. commit crime
D. liquidated
E. procure

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What is the hope of going fishing?,fishing,train-00000-of-00001,D,"Question:
What is the hope of going fishing?

Which of the following is the best response to the question?

Choices:
A. getting food
B. wet clothes
C. getting drunk
D. catching fish
E. wetness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What is an effect of playing football too carelessly?,playing,train-00000-of-00001,E,"Question:
What is an effect of playing football too carelessly?

Which of the following is the best response to the question?

Choices:
A. satisfaction
B. competitiveness
C. learning
D. making new friends
E. injuries

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What state is likely to have a county highway?,county highway,train-00000-of-00001,B,"Question:
What state is likely to have a county highway?

Which of the following is the best response to the question?

Choices:
A. rural areas
B. michigan
C. country
D. in town
E. map

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What dwelling might one take a bowl to after buying it?,bowl,train-00000-of-00001,C,"Question:
What dwelling might one take a bowl to after buying it?

Which of the following is the best response to the question?

Choices:
A. restaurant
B. grave yard
C. apartment
D. cupboard
E. refrigerator

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
To see new films you must?,see new,validation-00000-of-00001,B,"Question:
To see new films you must?

Which of the following is the best response to the question?

Choices:
A. open eyes
B. go to movies
C. kick ball
D. make art
E. look for

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you find a cottage that gets flooded often?,cottage,train-00000-of-00001,E,"Question:
Where would you find a cottage that gets flooded often?

Which of the following is the best response to the question?

Choices:
A. desert
B. painting
C. fairy story
D. mountains
E. rural area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What will happen after you have rest?,have rest,train-00000-of-00001,B,"Question:
What will happen after you have rest?

Which of the following is the best response to the question?

Choices:
A. muscles tired
B. feel better
C. exhausted
D. were very tired
E. turn blue

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you expect to find a hospital?,hospital,train-00000-of-00001,E,"Question:
Where would you expect to find a hospital?

Which of the following is the best response to the question?

Choices:
A. every state
B. military base
C. doctor
D. detroit
E. most cities

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What is waging war often considered to be?,waging war,train-00000-of-00001,D,"Question:
What is waging war often considered to be?

Which of the following is the best response to the question?

Choices:
A. suffering
B. killing people
C. people dying
D. evil
E. a party

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is a marmot known to live?,marmot,train-00000-of-00001,E,"Question:
Where is a marmot known to live?

Which of the following is the best response to the question?

Choices:
A. yellow pages
B. jungle
C. woods
D. hiding place
E. high mountains

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What does there need to be for a shadow to appear?,shadow,train-00000-of-00001,B,"Question:
What does there need to be for a shadow to appear?

Which of the following is the best response to the question?

Choices:
A. ground
B. bright light
C. bridge
D. sunshine
E. beam

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Which long saga will we be watching on tonight's program?,program,train-00000-of-00001,B,"Question:
Which long saga will we be watching on tonight's program?

Which of the following is the best response to the question?

Choices:
A. concert
B. opera
C. theater
D. take class
E. television

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What will happen to your clothes if you are full?,full,train-00000-of-00001,D,"Question:
What will happen to your clothes if you are full?

Which of the following is the best response to the question?

Choices:
A. topfull
B. incomplete
C. enlarge
D. close fitting
E. partial

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where can you buy a hairbrush along with bandages?,hairbrush,train-00000-of-00001,A,"Question:
Where can you buy a hairbrush along with bandages?

Which of the following is the best response to the question?

Choices:
A. drugstore
B. hospital
C. bedroom
D. car
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is an expressway likely to be crowded?,expressway,train-00000-of-00001,E,"Question:
Where is an expressway likely to be crowded?

Which of the following is the best response to the question?

Choices:
A. country
B. canada
C. michigan
D. michigan
E. large city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"The competitive guy liked to play games, what was his goal?",play games,train-00000-of-00001,C,"Question:
The competitive guy liked to play games, what was his goal?

Which of the following is the best response to the question?

Choices:
A. entertaining
B. dice
C. win
D. bored
E. relax

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
When you express  this emotion you can be hurting someone else?,hurting else,train-00000-of-00001,C,"Question:
When you express  this emotion you can be hurting someone else?

Which of the following is the best response to the question?

Choices:
A. happiness
B. punishment
C. anger
D. tears
E. suffering

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
How might compassionate thoughful be described as being?,people,train-00000-of-00001,D,"Question:
How might compassionate thoughful be described as being?

Which of the following is the best response to the question?

Choices:
A. disengenious
B. human
C. weird
D. kind
E. stupid

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where do uniformed officials search travelers looking for terrorists?,terrorists,train-00000-of-00001,E,"Question:
Where do uniformed officials search travelers looking for terrorists?

Which of the following is the best response to the question?

Choices:
A. prison
B. afghanistan
C. texas
D. killed
E. airport

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Which group is the cover for tonight's musical program?,program,train-00000-of-00001,B,"Question:
Which group is the cover for tonight's musical program?

Which of the following is the best response to the question?

Choices:
A. opera
B. concert
C. television
D. symphonic
E. computer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What would a document be if it is not obtuse?,obtuse,train-00000-of-00001,D,"Question:
What would a document be if it is not obtuse?

Which of the following is the best response to the question?

Choices:
A. pointed
B. bright
C. easy
D. clear
E. acute angled

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What would happen too you if you are playing game?,playing game,train-00000-of-00001,D,"Question:
What would happen too you if you are playing game?

Which of the following is the best response to the question?

Choices:
A. fall down
B. stress
C. competition
D. having fun
E. entertain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What happens to most people after playing tennis all day?,playing tennis,train-00000-of-00001,B,"Question:
What happens to most people after playing tennis all day?

Which of the following is the best response to the question?

Choices:
A. championship
B. becoming tired
C. tennis elbow
D. victory
E. friends

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
How does a human solve problems?,human,train-00000-of-00001,D,"Question:
How does a human solve problems?

Which of the following is the best response to the question?

Choices:
A. say hello
B. have fever
C. better himself
D. think critically
E. have to sleep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is knight always portrayed as a hero?,knight,validation-00000-of-00001,D,"Question:
Where is knight always portrayed as a hero?

Which of the following is the best response to the question?

Choices:
A. middle ages
B. chess board
C. kids story
D. fairy tale
E. castle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where can leaves slide from and end up in a gutter?,leaves,train-00000-of-00001,C,"Question:
Where can leaves slide from and end up in a gutter?

Which of the following is the best response to the question?

Choices:
A. trees
B. spout
C. roof
D. ground
E. street

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where are mice usually found in  house?,mouse,train-00000-of-00001,D,"Question:
Where are mice usually found in  house?

Which of the following is the best response to the question?

Choices:
A. on the couch
B. disneyland
C. garage
D. kitchen
E. cupboard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where could you find some airplanes that are not being used?,airplanes,train-00000-of-00001,B,"Question:
Where could you find some airplanes that are not being used?

Which of the following is the best response to the question?

Choices:
A. war
B. aircraft carrier
C. sky
D. graveyard
E. crash

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
If done correctly grooming pet's nails generally does not cause this?,grooming,train-00000-of-00001,C,"Question:
If done correctly grooming pet's nails generally does not cause this?

Which of the following is the best response to the question?

Choices:
A. training
B. satisfaction
C. injury
D. beauty
E. late

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What is the difference between one having solidity?,solidity,train-00000-of-00001,A,"Question:
What is the difference between one having solidity?

Which of the following is the best response to the question?

Choices:
A. openness
B. fluidity
C. hollowness
D. weakness
E. instability

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where is a business restaurant likely to be located?,restaurant,train-00000-of-00001,D,"Question:
Where is a business restaurant likely to be located?

Which of the following is the best response to the question?

Choices:
A. town
B. at hotel
C. mall
D. business sector
E. yellow pages

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"The rats were hiding in the house, where were they?",rats,validation-00000-of-00001,E,"Question:
The rats were hiding in the house, where were they?

Which of the following is the best response to the question?

Choices:
A. sewers
B. laboratory
C. basement
D. clinic
E. cellar

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
what is the goal of going jogging?,going jogging,train-00000-of-00001,D,"Question:
what is the goal of going jogging?

Which of the following is the best response to the question?

Choices:
A. heavy breathing
B. feel pride
C. getting tired
D. lose weight
E. run away

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
