question,subject,split,answer,final_prompt,len_tk_gemma2_9b_it
"Defendant was seen leaving Neighbor's yard with Neighbor's new $10 garden hose. Neighbor called the police, who charged Defendant with the second-degree misdemeanor of petit theft by issuing him a notice to appear in the county courthouse one week later. Defendant appeared at the scheduled place and time and asked the judge to appoint a lawyer to represent him. The judge found Defendant to be indigent. The judge",professional_law,test-00000-of-00001,D,"Defendant was seen leaving Neighbor's yard with Neighbor's new $10 garden hose. Neighbor called the police, who charged Defendant with the second-degree misdemeanor of petit theft by issuing him a notice to appear in the county courthouse one week later. Defendant appeared at the scheduled place and time and asked the judge to appoint a lawyer to represent him. The judge found Defendant to be indigent. The judge

Choices:
A. must appoint Defendant a lawyer.
B. must appoint Defendant a lawyer if the State subsequently charges Defendant by information.
C. need not appoint Defendant a lawyer if the judge states in writing that Defendant will not go to jail for more than six months if convicted.
D. need not appoint Defendant a lawyer if the judge states in writing that Defendant will not go to jail at all if convicted.

Reply with exactly one uppercase letter out of A, B, C, or D.
",187
"My name is Eric. I know many students like going to the movies and I'm sure that different people like different kinds of movies . Well ,what kind of movies do you like? Last Monday I went to a school and asked some students about their favorite movies. Here are some of their answers. Jack, an 11-year-old boy, likes watching scary movies. He thinks scary movies are scary but exciting .His classmates.Alice,13,can't stand documentaries  . She thinks they are boring and they are for parents. But she really likes comedies because they are funny. James, a big boy ,doesn't mind documentaries. But he doesn't like comedies because he thinks they are not exciting! The survey showed that the most popular movies were action movies. Most of the students enjoyed them very much. What are the most popular movies for most of the students?",,auxiliary_train-00000-of-00001,D,"My name is Eric. I know many students like going to the movies and I'm sure that different people like different kinds of movies . Well ,what kind of movies do you like? Last Monday I went to a school and asked some students about their favorite movies. Here are some of their answers. Jack, an 11-year-old boy, likes watching scary movies. He thinks scary movies are scary but exciting .His classmates.Alice,13,can't stand documentaries  . She thinks they are boring and they are for parents. But she really likes comedies because they are funny. James, a big boy ,doesn't mind documentaries. But he doesn't like comedies because he thinks they are not exciting! The survey showed that the most popular movies were action movies. Most of the students enjoyed them very much. What are the most popular movies for most of the students?

Choices:
A. Documentaries
B. Comedies
C. Scary movies
D. Action movies.

Reply with exactly one uppercase letter out of A, B, C, or D.
",227
"Sam was outside playing. It was very hot out and he got really thirsty. He saw that Mr. Brown was setting up a table with sodas and snacks down the street. Sam was very excited because this would solve his problem.   He checked his pockets. They were empty. Where did his money go? This was a problem. In order to get a soda and snack he would need money.   Sam ran home as fast as he could. He was in a rush. He passed by Jim as he was running. He asked Sam why he was running. ""No time,"" Sam Said.   When he got inside the house Sam was very happy. His money was on his dresser in his bedroom. Thank goodness. He had enough money to get a soda. Sam ran back outside, but this time he slowed down when he saw Jim. He told Jim to come with him to Mr. Brown's table. He had enough money to buy them both a soda. Why did Sam get a soda?",,auxiliary_train-00000-of-00001,B,"Sam was outside playing. It was very hot out and he got really thirsty. He saw that Mr. Brown was setting up a table with sodas and snacks down the street. Sam was very excited because this would solve his problem.   He checked his pockets. They were empty. Where did his money go? This was a problem. In order to get a soda and snack he would need money.   Sam ran home as fast as he could. He was in a rush. He passed by Jim as he was running. He asked Sam why he was running. ""No time,"" Sam Said.   When he got inside the house Sam was very happy. His money was on his dresser in his bedroom. Thank goodness. He had enough money to get a soda. Sam ran back outside, but this time he slowed down when he saw Jim. He told Jim to come with him to Mr. Brown's table. He had enough money to buy them both a soda. Why did Sam get a soda?

Choices:
A. Jim bought him one.
B. He was thirsty from playing outside.
C. They were free.
D. He loved soda.

Reply with exactly one uppercase letter out of A, B, C, or D.
",259
"This is a family tree. It's a very big family. Tim and Gina are very old  . They have   a son, David and a daughter, Sally. David and his wife   Jenny have the twins  , Jack and Bob. Jack is single  , but Bob is married  . His wife is Lucy. They have a cute   son, Sam. They love   Sam very much. Sally's husband   is Paul. They are the parents of Peter and Lily. Peter is married .His wife is Jane. They have a daughter. Her name is Kate. Lily has a dog. It's very cute  . She loves   it very much. Which of the following is TRUE  ?",,auxiliary_train-00000-of-00001,B,"This is a family tree. It's a very big family. Tim and Gina are very old  . They have   a son, David and a daughter, Sally. David and his wife   Jenny have the twins  , Jack and Bob. Jack is single  , but Bob is married  . His wife is Lucy. They have a cute   son, Sam. They love   Sam very much. Sally's husband   is Paul. They are the parents of Peter and Lily. Peter is married .His wife is Jane. They have a daughter. Her name is Kate. Lily has a dog. It's very cute  . She loves   it very much. Which of the following is TRUE  ?

Choices:
A. David and Jane are cousins.
B. Paul is Sam's uncle.
C. Bob has a son.
D. David has a granddaughter and a grandson.

Reply with exactly one uppercase letter out of A, B, C, or D.
",206
"One day, Tomas Jefferson, the president of the USA, was crossing a river with a group of travelers. The river was overflowing its banks. So it was very dangerous to cross it on a horse. Each man was fighting for his life! Then another traveler came and he wanted to cross it, too. But he didn't have a horse. He watched the group and then asked Jefferson to take him. Jefferson agreed immediately. The man climbed on. After they were both safe to the other side of the river, someone asked the man, ""Why did you ask present for help? Did you know him?"" The man was shocked because he didn't know Jefferson was the president. ""All I know,"" he said, ""on some of your faces were written the answer NO, but there was the answer YES on his face."" At last,   _  .",,auxiliary_train-00000-of-00001,A,"One day, Tomas Jefferson, the president of the USA, was crossing a river with a group of travelers. The river was overflowing its banks. So it was very dangerous to cross it on a horse. Each man was fighting for his life! Then another traveler came and he wanted to cross it, too. But he didn't have a horse. He watched the group and then asked Jefferson to take him. Jefferson agreed immediately. The man climbed on. After they were both safe to the other side of the river, someone asked the man, ""Why did you ask present for help? Did you know him?"" The man was shocked because he didn't know Jefferson was the president. ""All I know,"" he said, ""on some of your faces were written the answer NO, but there was the answer YES on his face."" At last,   _  .

Choices:
A. both Jefferson and the man were safe to cross the river
B. only Jefferson crossed the river
C. only the man crossed the river
D. Jefferson's horse died

Reply with exactly one uppercase letter out of A, B, C, or D.
",238
"In a zoo, many animals have claws: birds, dogs and lions. Even some monkeys have claws! One summer day, the eyes of many visitors were facing the lion cage. It was like the famous movie ""The Lion King"". One lion cub had been born and was drinking from its mother. There was a straw bed for the lions to sleep on, and all visitors loved to watch the baby lion cub. Well, a monkey (with claws) came into the lion's cage all of a sudden! But the lions weren't afraid, because they are kings of the animal world. Also, they had seen the movie and knew what the monkeys wanted. So it happened that the monkey took the cub from its mother into its hands. It walked over to the gate by the visitors and held up the cub for all to see! People cried. People took pictures. They were seeing the real-life 'Lion King'! Why were the people crying and taking pictures?",,auxiliary_train-00000-of-00001,B,"In a zoo, many animals have claws: birds, dogs and lions. Even some monkeys have claws! One summer day, the eyes of many visitors were facing the lion cage. It was like the famous movie ""The Lion King"". One lion cub had been born and was drinking from its mother. There was a straw bed for the lions to sleep on, and all visitors loved to watch the baby lion cub. Well, a monkey (with claws) came into the lion's cage all of a sudden! But the lions weren't afraid, because they are kings of the animal world. Also, they had seen the movie and knew what the monkeys wanted. So it happened that the monkey took the cub from its mother into its hands. It walked over to the gate by the visitors and held up the cub for all to see! People cried. People took pictures. They were seeing the real-life 'Lion King'! Why were the people crying and taking pictures?

Choices:
A. because it's the circle of life
B. because it was a real-life ""Lion King"".
C. because monkeys have claws
D. because the lions allowed the monkey to take the cub

Reply with exactly one uppercase letter out of A, B, C, or D.
",264
"Oxford University, said that time spent on homework showed the influence of the school--if children were expected to do homework and if they enjoy their subjects. ""That's one of the reasons Indian and Chinese children do better. They put more time in it."" he added. It's also reported that students who enjoyed school got better results. It is suggested that children aged 5 to 7 should be given one-hour homework a week, half an hour a night for 7 to 11-year-olds, two hours a night for 14 to 16-year-olds. ""Headteachers should make their own homework policy  ,"" the government says. Idian and Chinese children do better in their lessons. Why?",,auxiliary_train-00000-of-00001,A,"Oxford University, said that time spent on homework showed the influence of the school--if children were expected to do homework and if they enjoy their subjects. ""That's one of the reasons Indian and Chinese children do better. They put more time in it."" he added. It's also reported that students who enjoyed school got better results. It is suggested that children aged 5 to 7 should be given one-hour homework a week, half an hour a night for 7 to 11-year-olds, two hours a night for 14 to 16-year-olds. ""Headteachers should make their own homework policy  ,"" the government says. Idian and Chinese children do better in their lessons. Why?

Choices:
A. Because they put more time in it.
B. Because they live in school all day.
C. Because they have little homework.
D. Because they like school better than homework.

Reply with exactly one uppercase letter out of A, B, C, or D.
",217
"An investor from State A filed an action against his State B stockbroker in federal court in State A. The summons and complaint were served at the stockbroker's office in State B, where the process server handed the documents to the stockbroker's administrative assistant. The stockbroker has answered the complaint, asserting the defense of improper service of process. Assume that both states' requirements for service of process are identical to the requirements of the Federal Rules of Civil Procedure. Is the court likely to dismiss the action for improper service of process?",professional_law,test-00000-of-00001,C,"An investor from State A filed an action against his State B stockbroker in federal court in State A. The summons and complaint were served at the stockbroker's office in State B, where the process server handed the documents to the stockbroker's administrative assistant. The stockbroker has answered the complaint, asserting the defense of improper service of process. Assume that both states' requirements for service of process are identical to the requirements of the Federal Rules of Civil Procedure. Is the court likely to dismiss the action for improper service of process?

Choices:
A. No, because service was made on a person of suitable age found at the stockbroker's place of employment.
B. No, because the stockbroker waived her claim for improper service of process by asserting it in her answer.
C. Yes, because an individual defendant may not be served by delivering process to a third party found at the defendant's place of employment.
D. Yes, because the process of State A courts is not effective in State B.

Reply with exactly one uppercase letter out of A, B, C, or D.
",230
"While shopping at a mall, a woman suffered injuries when an escalator malfunctioned, crushing her foot. The woman brings suit against the mall. At trial, she calls another shopper to testif' that he rode the same escalator just moments before the woman's accident and had to jump in the air at the last minute to avoid getting his foot crushed in the escalator. This testimony is",professional_law,test-00000-of-00001,C,"While shopping at a mall, a woman suffered injuries when an escalator malfunctioned, crushing her foot. The woman brings suit against the mall. At trial, she calls another shopper to testif' that he rode the same escalator just moments before the woman's accident and had to jump in the air at the last minute to avoid getting his foot crushed in the escalator. This testimony is

Choices:
A. inadmissible, because it is irrelevant.
B. inadmissible, because it is not known whether the other shopper the woman was exercising reasonable care in riding the escalator.
C. admissible, because it tends to prove that a dangerous condition was present at the time the woman's foot was crushed in the escalator.
D. admissible, because of its probative value in establishing that the woman's injury was caused by the malfunctioning escalator.

Reply with exactly one uppercase letter out of A, B, C, or D.
",198
"Hans Christian Andersen  Hans Christian Andersen is a great writer. He wrote many popular stories for children all over the world. April 2 is his birthday and it is also Children's Book Day. Andersen was born  in 1805. When he was a little boy, his father read him a story every day. He felt very happy at that time. But his father died when he was 11 years old. Then he had to leave school. Andersen started working as an actor and singer. He loved reading books so much that he went back to school at 17. His first book _ in 1835. From then on, he wrote about one book a year for 37 years. There will be a park about Andersen's sales  and life in Shanghai. If you like Andersen, you can go there to learn about his life and tales, and you can play games too. ,. Andersen's father died in  _  .",,auxiliary_train-00000-of-00001,B,"Hans Christian Andersen  Hans Christian Andersen is a great writer. He wrote many popular stories for children all over the world. April 2 is his birthday and it is also Children's Book Day. Andersen was born  in 1805. When he was a little boy, his father read him a story every day. He felt very happy at that time. But his father died when he was 11 years old. Then he had to leave school. Andersen started working as an actor and singer. He loved reading books so much that he went back to school at 17. His first book _ in 1835. From then on, he wrote about one book a year for 37 years. There will be a park about Andersen's sales  and life in Shanghai. If you like Andersen, you can go there to learn about his life and tales, and you can play games too. ,. Andersen's father died in  _  .

Choices:
A. 1805
B. 1816
C. 1822
D. 1835

Reply with exactly one uppercase letter out of A, B, C, or D.
",255
Paws the cat lives with the Jones family. Before Paws lived with the Jones family he lived with the Smith family and before he lived with the Smith family he lived with the Peters family. The Jones family used to live in a cabin in the woods. Then they moved to an apartment in the city. Now they live in a house outside of the city. Paws liked all of the families that he had lived with but likes the Jones family the best. Paws likes living with the Jones family so much because they are nice to him and always play with him but also because they have lived in such great places. Paws liked living in the cabin in the woods and in the apartment in the city but neither of these were his were his favorite place to live. Paws favorite place to live is in the new house the Jones family bought outside of the city. The home is very large and Paws has a lot of room to run and play. Where does the Jones family live now?,,auxiliary_train-00000-of-00001,B,"Paws the cat lives with the Jones family. Before Paws lived with the Jones family he lived with the Smith family and before he lived with the Smith family he lived with the Peters family. The Jones family used to live in a cabin in the woods. Then they moved to an apartment in the city. Now they live in a house outside of the city. Paws liked all of the families that he had lived with but likes the Jones family the best. Paws likes living with the Jones family so much because they are nice to him and always play with him but also because they have lived in such great places. Paws liked living in the cabin in the woods and in the apartment in the city but neither of these were his were his favorite place to live. Paws favorite place to live is in the new house the Jones family bought outside of the city. The home is very large and Paws has a lot of room to run and play. Where does the Jones family live now?

Choices:
A. In a cabin in the woods
B. Outside the City
C. In a house in the woods
D. In the City

Reply with exactly one uppercase letter out of A, B, C, or D.
",248
"""You are welcome to have dinner with me on Sunday,"" said John. ""But I don't know where your house is,"" said Henry. ""It's easy. You get off the bus. Then cross the road, and take the first turning on the left. Walk for five minutes. Then you will see a big tree. Take the second on the right after the tree. Walk about a hundred metres down this road. There is a big red house. Go past the big house about five hundred metres, and you will see a small yellow house beside a little tree. Open the door with your foot. "" ""With my foot?"" said Henry, ""Why?"" ""Well, you won't come to my house empty-handed will you? "" said John. Where is John's house? It is  _  .",,auxiliary_train-00000-of-00001,B,"""You are welcome to have dinner with me on Sunday,"" said John. ""But I don't know where your house is,"" said Henry. ""It's easy. You get off the bus. Then cross the road, and take the first turning on the left. Walk for five minutes. Then you will see a big tree. Take the second on the right after the tree. Walk about a hundred metres down this road. There is a big red house. Go past the big house about five hundred metres, and you will see a small yellow house beside a little tree. Open the door with your foot. "" ""With my foot?"" said Henry, ""Why?"" ""Well, you won't come to my house empty-handed will you? "" said John. Where is John's house? It is  _  .

Choices:
A. beside a big red house
B. beside a little tree
C. on the right after a big tree
D. behind a small yellow house

Reply with exactly one uppercase letter out of A, B, C, or D.
",227
"Mary is from the U.S.A. She has two brothers. Now her family are in China. Her father, Mr. Peterson teaches English in Xihu Middle School. And her mother works in the same school. She teaches English, too. Mary likes red clothes very much. Her mother likes red clothes a lot, too. Mary is a nice girl student. She is in Xihu Middle School .She can speak Chinese. She has many Chinese friends. She teaches them English, and they teach her Chinese. Her two brothers are twins. One is Bob, the other is Bill. They look the same. They are only three. So their grandparents look after  them at home. Mrs. Peterson has many toys  for the twins. Bob likes toy cars, but Bill likes toy bears. They are happy every day. Mary   _  .",,auxiliary_train-00000-of-00001,D,"Mary is from the U.S.A. She has two brothers. Now her family are in China. Her father, Mr. Peterson teaches English in Xihu Middle School. And her mother works in the same school. She teaches English, too. Mary likes red clothes very much. Her mother likes red clothes a lot, too. Mary is a nice girl student. She is in Xihu Middle School .She can speak Chinese. She has many Chinese friends. She teaches them English, and they teach her Chinese. Her two brothers are twins. One is Bob, the other is Bill. They look the same. They are only three. So their grandparents look after  them at home. Mrs. Peterson has many toys  for the twins. Bob likes toy cars, but Bill likes toy bears. They are happy every day. Mary   _  .

Choices:
A. can't speak Chinese at all
B. isn't very nice
C. can speak Chinese well
D. likes red clothes

Reply with exactly one uppercase letter out of A, B, C, or D.
",227
"Tom and Simon were Americans. Once they visited Spain. One day they came into a little restaurant for lunch. They did not know Spanish , and the waiter did not know their American English, either. They wanted the waiter to understand that they needed some milk and eggs. At first Tom read the word ""milk""many times. Then Simon spelled it on the table. But the waiter could not understand them at all. At last Tom took out of a piece  paper and began to draw a cow. The waiter looked at it and ran out of   the restaurant. ""How clever you are!"" Simon said to Tom, ""He understood us at last!"" After some time, the waiter came back, he brought no milk with him, but two tickets for a bull-fight  down on their table! How many people are there in the story?",,auxiliary_train-00000-of-00001,A,"Tom and Simon were Americans. Once they visited Spain. One day they came into a little restaurant for lunch. They did not know Spanish , and the waiter did not know their American English, either. They wanted the waiter to understand that they needed some milk and eggs. At first Tom read the word ""milk""many times. Then Simon spelled it on the table. But the waiter could not understand them at all. At last Tom took out of a piece  paper and began to draw a cow. The waiter looked at it and ran out of   the restaurant. ""How clever you are!"" Simon said to Tom, ""He understood us at last!"" After some time, the waiter came back, he brought no milk with him, but two tickets for a bull-fight  down on their table! How many people are there in the story?

Choices:
A. Three.
B. Two.
C. One
D. Many.

Reply with exactly one uppercase letter out of A, B, C, or D.
",213
"Felipe and his friends are planning a trip to London. They have decided   their hotel, plane and when to get there, but haven't decided what they want to do. Felipe would like to go boating in the Thames River. All his friends like boat trips, so all of them will go boating in the Thames River. Felipe also loves the British Royal  Family! He wants to visit Buckingham Palace and see the changes. But his friend Carmen doesn't want to visit Buckingham Palace. He would like to ride on the London Eye. Carmen would also like to visit the Houses of Parliament and Trafalgar Square. Carmen's boyfriend Leo likes shopping, and he thinks politics   is boring and doesn't want to visit the Houses of Parliament. Felipe's friend Juliana likes visiting museums, and she would like to see Buckingham Palace too. Carmen and Leo would like to go shopping in Covent Garden, but Juliana would rather do some shopping in Oxford Street. Which of the following is TRUE about Leo?",,auxiliary_train-00000-of-00001,B,"Felipe and his friends are planning a trip to London. They have decided   their hotel, plane and when to get there, but haven't decided what they want to do. Felipe would like to go boating in the Thames River. All his friends like boat trips, so all of them will go boating in the Thames River. Felipe also loves the British Royal  Family! He wants to visit Buckingham Palace and see the changes. But his friend Carmen doesn't want to visit Buckingham Palace. He would like to ride on the London Eye. Carmen would also like to visit the Houses of Parliament and Trafalgar Square. Carmen's boyfriend Leo likes shopping, and he thinks politics   is boring and doesn't want to visit the Houses of Parliament. Felipe's friend Juliana likes visiting museums, and she would like to see Buckingham Palace too. Carmen and Leo would like to go shopping in Covent Garden, but Juliana would rather do some shopping in Oxford Street. Which of the following is TRUE about Leo?

Choices:
A. He likes politics.
B. He likes shopping.
C. He is Juliana's boyfriend.
D. He likes visiting museums.

Reply with exactly one uppercase letter out of A, B, C, or D.
",256
"The hottest place in the world is the Sahara Desert in Africa. But there are deserts in many other places: in America, in Asia and in Australia. In 1917 the temperature in Death Valley, in the United States, was over 48degC every day for six weeks. That's very hot! But deserts are not always hot. After dark, deserts are very cold. Not many animals and plants can live in a desert, because it doesn't rain very often. But one animal likes the desert -- the camel. It has big feet to walk on the sand. It can live for a long time without water. Sometimes it doesn't drink anything for weeks -- so it gets very thirsty! When it finds water it can drink 100 liters  at a time. Which animal can live in the desert?",,auxiliary_train-00000-of-00001,A,"The hottest place in the world is the Sahara Desert in Africa. But there are deserts in many other places: in America, in Asia and in Australia. In 1917 the temperature in Death Valley, in the United States, was over 48degC every day for six weeks. That's very hot! But deserts are not always hot. After dark, deserts are very cold. Not many animals and plants can live in a desert, because it doesn't rain very often. But one animal likes the desert -- the camel. It has big feet to walk on the sand. It can live for a long time without water. Sometimes it doesn't drink anything for weeks -- so it gets very thirsty! When it finds water it can drink 100 liters  at a time. Which animal can live in the desert?

Choices:
A. Camels
B. Horses
C. Tigers
D. Dogs

Reply with exactly one uppercase letter out of A, B, C, or D.
",213
"There is a new shopping mall  near my school. It is very big. There are five floors  of shops and each floor is very big. There are lots of clothes shops, but only one sports shop. There are lots of restaurants  on the top  floor, you can eat different kinds of food from different countries . I like going to see a movie. The mall is a really good place to go. It is a good place to meet friends. How many sports shop are there in the mall?",,auxiliary_train-00000-of-00001,A,"There is a new shopping mall  near my school. It is very big. There are five floors  of shops and each floor is very big. There are lots of clothes shops, but only one sports shop. There are lots of restaurants  on the top  floor, you can eat different kinds of food from different countries . I like going to see a movie. The mall is a really good place to go. It is a good place to meet friends. How many sports shop are there in the mall?

Choices:
A. only one
B. about two
C. two
D. three

Reply with exactly one uppercase letter out of A, B, C, or D.
",144
"Hong Kong Harbour Cruise By Night Enjoy your wonderful dinner on the ferry and see the fantastic city lights. Time: 7:00 pm~10:00 pm daily Price: With dinner         Without dinner Adult: HK$300           HK$120 Child under 12: HK$ 210   HK$ 84 Start/ Stop: Kowloon Public Pier (Near Star Ferry Pier) Ticket Office:Star Company (123 Canton Road) If Mr. and Mrs. Brown want to have dinner on the ferry, how much will they pay?",,auxiliary_train-00000-of-00001,B,"Hong Kong Harbour Cruise By Night Enjoy your wonderful dinner on the ferry and see the fantastic city lights. Time: 7:00 pm~10:00 pm daily Price: With dinner         Without dinner Adult: HK$300           HK$120 Child under 12: HK$ 210   HK$ 84 Start/ Stop: Kowloon Public Pier (Near Star Ferry Pier) Ticket Office:Star Company (123 Canton Road) If Mr. and Mrs. Brown want to have dinner on the ferry, how much will they pay?

Choices:
A. HK$300.
B. HK$600
C. HK$420
D. HK$520

Reply with exactly one uppercase letter out of A, B, C, or D.
",177
"Hi, boys and girls! A new  Mama store is in No. 1 Middle School now. Come and see at our great sale! We have bread for 3 yuan. Xiangpiaopiao milk tea is on sale for 2 yuan. Vegetable hamburgers are only 3 yuan. Do you need notebooks? They are only 6 yuan for three. We also have pens in all colors, only 1 yuan each . Some students want to buy socks. We have black socks for only 10 yuan for 3 pairs. For girls, we have socks in pink and purple, they are very nice. Come and buy your things at our great sale. We can't buy   _   at the store.",,auxiliary_train-00000-of-00001,C,"Hi, boys and girls! A new  Mama store is in No. 1 Middle School now. Come and see at our great sale! We have bread for 3 yuan. Xiangpiaopiao milk tea is on sale for 2 yuan. Vegetable hamburgers are only 3 yuan. Do you need notebooks? They are only 6 yuan for three. We also have pens in all colors, only 1 yuan each . Some students want to buy socks. We have black socks for only 10 yuan for 3 pairs. For girls, we have socks in pink and purple, they are very nice. Come and buy your things at our great sale. We can't buy   _   at the store.

Choices:
A. pens
B. socks
C. bags
D. bread

Reply with exactly one uppercase letter out of A, B, C, or D.
",186
"Mr. and Mrs. Green come from Australia. They are in Beijing now. Mr. Green is a teacher in a high school. He teaches English. He likes reading and running. He isn't good at cooking. His son, Jim, is a student. He is on the school football team. He likes playing football very much. He is the best football player in his class. He likes school, too. He does his homework every day. Mrs. Green is a teacher, too. She can speak a little Chinese. She likes Chinese food. She doesn't like doing housework at all, but she likes cooking. They all like China a lot. , . They all like   _   very much.",,auxiliary_train-00000-of-00001,A,"Mr. and Mrs. Green come from Australia. They are in Beijing now. Mr. Green is a teacher in a high school. He teaches English. He likes reading and running. He isn't good at cooking. His son, Jim, is a student. He is on the school football team. He likes playing football very much. He is the best football player in his class. He likes school, too. He does his homework every day. Mrs. Green is a teacher, too. She can speak a little Chinese. She likes Chinese food. She doesn't like doing housework at all, but she likes cooking. They all like China a lot. , . They all like   _   very much.

Choices:
A. China
B. Chinese food
C. playing
D. School

Reply with exactly one uppercase letter out of A, B, C, or D.
",186
"Once a great boxer  , Tom Brown, went to a restaurant for dinner. He put his bag near the door, but he was afraid that someone would take it. So he got out a pen and a piece of paper and wrote on it: ""The great boxer, Tom Brown, left his bag here. He'll come back in a few minutes. "" He put the paper on his bag and went to have his dinner. When he came back, his bag wasn't there. But he found a piece of paper on the ground. It said: ""A great runner took away your bag, and he will not come back. "" Mr Brown was afraid   _  .",,auxiliary_train-00000-of-00001,C,"Once a great boxer  , Tom Brown, went to a restaurant for dinner. He put his bag near the door, but he was afraid that someone would take it. So he got out a pen and a piece of paper and wrote on it: ""The great boxer, Tom Brown, left his bag here. He'll come back in a few minutes. "" He put the paper on his bag and went to have his dinner. When he came back, his bag wasn't there. But he found a piece of paper on the ground. It said: ""A great runner took away your bag, and he will not come back. "" Mr Brown was afraid   _  .

Choices:
A. to put down his bag near the door
B. he couldn't find his pen
C. thieves would take his bag away
D. he couldn't get enough food himself from the restaurant

Reply with exactly one uppercase letter out of A, B, C, or D.
",206
A student notices that an inflated balloon gets larger when it is warmed by a lamp. Which best describes the mass of the balloon as a result of this change?,,auxiliary_train-00000-of-00001,C,"A student notices that an inflated balloon gets larger when it is warmed by a lamp. Which best describes the mass of the balloon as a result of this change?

Choices:
A. The mass of the balloon increases because the size of the balloon has increased.
B. The mass of the balloon increases because the temperature of the balloon has increased.
C. The mass of the balloon stays the same because the gas inside the balloon still has the same mass after it warms up.
D. The mass of the balloon stays the same because warming decreases the mass enough to cancel out the effect of increasing the size.

Reply with exactly one uppercase letter out of A, B, C, or D.
",145
"This question refers to the following information.
This great purity of the French Revolution is precisely what causes both our strength and our weakness. Our strength, because it gives to us rights of the public interest over private interests; our weakness, because it rallies all vicious men against us. We must smother the internal and external enemies of the Republic or perish with it; now in this situation, the first maxim of your policy ought to be to lead the people by reason and the people's enemies by terror. Terror is nothing other than justice, prompt, severe, inflexible; it is therefore an emanation of virtue; it is not so much a special principle as it is a consequence of the general principle of democracy applied to our country's most urgent needs.
French revolutionary leader Maximilien Robespierre, 1794
With which of the following threats does the speaker in the passage above seem most concerned?",high_school_world_history,test-00000-of-00001,A,"This question refers to the following information.
This great purity of the French Revolution is precisely what causes both our strength and our weakness. Our strength, because it gives to us rights of the public interest over private interests; our weakness, because it rallies all vicious men against us. We must smother the internal and external enemies of the Republic or perish with it; now in this situation, the first maxim of your policy ought to be to lead the people by reason and the people's enemies by terror. Terror is nothing other than justice, prompt, severe, inflexible; it is therefore an emanation of virtue; it is not so much a special principle as it is a consequence of the general principle of democracy applied to our country's most urgent needs.
French revolutionary leader Maximilien Robespierre, 1794
With which of the following threats does the speaker in the passage above seem most concerned?

Choices:
A. Counterrevolutionary opponents
B. Foreign invaders
C. Communist agitators
D. Transnational corporations

Reply with exactly one uppercase letter out of A, B, C, or D.
",232
"How do you go to school? Do you take a bus or ride a bike? For many students, it is easy to get to school. But for some children in one small village in Hunan, it is very difficult. There is no road   between the village and the school. The children have to climb down ladders   to get to school. Yu Xinxin is an 8-year-old girl. She climbs the ladders every day. ""My parents are good at it and _ tell me how to do it, and now I don't think too much about how _ it is,"" she says. It is hard for the villagers to get in and out of the village, too. Their dream is to have a road. . The students in the small village   _   to get to school.",,auxiliary_train-00000-of-00001,D,"How do you go to school? Do you take a bus or ride a bike? For many students, it is easy to get to school. But for some children in one small village in Hunan, it is very difficult. There is no road   between the village and the school. The children have to climb down ladders   to get to school. Yu Xinxin is an 8-year-old girl. She climbs the ladders every day. ""My parents are good at it and _ tell me how to do it, and now I don't think too much about how _ it is,"" she says. It is hard for the villagers to get in and out of the village, too. Their dream is to have a road. . The students in the small village   _   to get to school.

Choices:
A. cross a river
B. cross a bridge
C. go on a ropeway
D. climb down ladders

Reply with exactly one uppercase letter out of A, B, C, or D.
",213
"A teacher believes that giving her students a practice quiz every week will motivate them to study harder, leading to a greater overall understanding of the course material. She tries this technique for a year, and everyone in the class achieves a grade of at least C. Is this an experiment or an observational study?",high_school_statistics,test-00000-of-00001,A,"A teacher believes that giving her students a practice quiz every week will motivate them to study harder, leading to a greater overall understanding of the course material. She tries this technique for a year, and everyone in the class achieves a grade of at least C. Is this an experiment or an observational study?

Choices:
A. An experiment, but with no reasonable conclusion possible about cause and effect
B. An experiment, thus making cause and effect a reasonable conclusion
C. An observational study, because there was no use of a control group
D. An observational study, but a poorly designed one because randomization was not used

Reply with exactly one uppercase letter out of A, B, C, or D.
",146
