question,subject,split,answer,final_prompt,len_tk_qwen2.5_7b_instruct
"I'm an English girl. My name is Rose White. I'm short but my hair is long. I have a round face and my mouth is small. Now I'm a student in No. 5 High School. I have a good friend. Her name is Liu Xing. We are in the same class. She is from China. She has big eyes. But her mouth is small. ,. Liu Xing is a(n)   _  .",,auxiliary_train-00000-of-00001,A,"I'm an English girl. My name is Rose White. I'm short but my hair is long. I have a round face and my mouth is small. Now I'm a student in No. 5 High School. I have a good friend. Her name is Liu Xing. We are in the same class. She is from China. She has big eyes. But her mouth is small. ,. Liu Xing is a(n)   _  .

Choices:
A. Chinese
B. boy
C. teacher
D. English student

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I rode my skateboard down the sidewalk. Scenario 2 | I fed my kitten wet cat food 3 times a day.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I rode my skateboard down the sidewalk. Scenario 2 | I fed my kitten wet cat food 3 times a day.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
"During photosynthesis, plants absorb light energy from the Sun and convert it into chemical energy in the form of glucose. Which compounds combine in the presence of sunlight to form glucose?",,auxiliary_train-00000-of-00001,C,"During photosynthesis, plants absorb light energy from the Sun and convert it into chemical energy in the form of glucose. Which compounds combine in the presence of sunlight to form glucose?

Choices:
A. carbon dioxide (CO2) and hydrogen (H2)
B. oxygen (O2) and carbon dioxide (CO2)
C. carbon dioxide (CO2) and water (H2O)
D. oxygen (O2) and water (H2O)

Reply with exactly one uppercase letter out of A, B, C, or D.
",111
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Out of frustration I looked at the ground and spit at the dog. Scenario 2 | I played the guitar while my roommate was listening.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Out of frustration I looked at the ground and spit at the dog. Scenario 2 | I played the guitar while my roommate was listening.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",118
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I don't want to see my baby being teased, so I'll have him adopted. Scenario 2 | I wanted to watch the predator of little kids.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I don't want to see my baby being teased, so I'll have him adopted. Scenario 2 | I wanted to watch the predator of little kids.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"Max was typically out of control whenever he attended preschool. Teachers tried time-outs and other punishments to no avail. His parents and the school decided to work with Max by giving him a sticker each time he behaved for a full hour. Once he accumulated ten stickers, he could present them to his parents who would give him a reward. The method the school and parents chose to employ is referred to as",high_school_psychology,test-00000-of-00001,B,"Max was typically out of control whenever he attended preschool. Teachers tried time-outs and other punishments to no avail. His parents and the school decided to work with Max by giving him a sticker each time he behaved for a full hour. Once he accumulated ten stickers, he could present them to his parents who would give him a reward. The method the school and parents chose to employ is referred to as

Choices:
A. negative reinforcement
B. a token economy
C. a point value system
D. negative punishment

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"Peter is an American boy from New York. He is tall and he has a good look. He has a big nose and big blue eyes. His hair is brown. He is in a red T-shirt, white pants and blue shoes. He is very cool. He likes basketball , too. He knows NBA stars. He says ,""Yao Ming is cool!""We are good friends. His pants are  _  .",,auxiliary_train-00000-of-00001,A,"Peter is an American boy from New York. He is tall and he has a good look. He has a big nose and big blue eyes. His hair is brown. He is in a red T-shirt, white pants and blue shoes. He is very cool. He likes basketball , too. He knows NBA stars. He says ,""Yao Ming is cool!""We are good friends. His pants are  _  .

Choices:
A. white
B. red
C. green
D. yellow

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
"I am a middle school student. My name is WeiFang. I'm thirteen now. I study at No.52 Middle School. I am in Class 3, Grade 1. There are twenty boys and twenty-three girls in my class. We have four lessons in the morning and two in the afternoon. We like English very much. WeiFang is   _  .",,auxiliary_train-00000-of-00001,C,"I am a middle school student. My name is WeiFang. I'm thirteen now. I study at No.52 Middle School. I am in Class 3, Grade 1. There are twenty boys and twenty-three girls in my class. We have four lessons in the morning and two in the afternoon. We like English very much. WeiFang is   _  .

Choices:
A. eleven
B. twelve
C. thirteen
D. fourteen

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I always gave extra credit on exams to those who had blue eyes. Scenario 2 | I sat outside to spy on the neighbors that came out at night.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I always gave extra credit on exams to those who had blue eyes. Scenario 2 | I sat outside to spy on the neighbors that came out at night.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"This is my room. What's this? It's a blue pen. What's that? It's a ruler. And it is blue, too. What's this in English? It's a quilt. It's red. It's my quilt. And this is my jacket. What color is it? It's black and white. What's that on the wall? It's a map. ,. The   _   is on the wall.",,auxiliary_train-00000-of-00001,A,"This is my room. What's this? It's a blue pen. What's that? It's a ruler. And it is blue, too. What's this in English? It's a quilt. It's red. It's my quilt. And this is my jacket. What color is it? It's black and white. What's that on the wall? It's a map. ,. The   _   is on the wall.

Choices:
A. ruler
B. jacket
C. quilt
D. map

Reply with exactly one uppercase letter out of A, B, C, or D.
",126
Good X is exchanged in a competitive market. Which of the following is true if an excise tax is now imposed on the production of good X?,high_school_microeconomics,test-00000-of-00001,D,"Good X is exchanged in a competitive market. Which of the following is true if an excise tax is now imposed on the production of good X?

Choices:
A. If the demand curve is perfectly elastic, the price rises by the amount of the tax.
B. The consumer's burden of the tax rises as the demand curve is more elastic.
C. Consumer surplus rises as a result of the tax.
D. The consumer's burden of the tax rises as the demand curve is less elastic.

Reply with exactly one uppercase letter out of A, B, C, or D.
",117
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I hid the birthday gift in my bedroom. Scenario 2 | I invested her life savings in a high-return account.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I hid the birthday gift in my bedroom. Scenario 2 | I invested her life savings in a high-return account.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | As my grandparents slept, I laid out their laundry. Scenario 2 | I had to sneeze, so I quickly turned toward my mother-in-law.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | As my grandparents slept, I laid out their laundry. Scenario 2 | I had to sneeze, so I quickly turned toward my mother-in-law.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I made sure to dispose of my banana peel since someone could trip on it. Scenario 2 | I stirred the drink before giving it to the customer.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I made sure to dispose of my banana peel since someone could trip on it. Scenario 2 | I stirred the drink before giving it to the customer.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
"His first name is John.His last name is Brown.His phone numberis seven-four-five,six-six-zero-five. Her first name is Susan. Her last name is Hall.Her phone number is five-zero-five,seven-one-one-seven. The girl found a baseball in the lost and Found .The boy lost a baseball.The girl calls the boy at his phone number. The boy's name is  _  .",,auxiliary_train-00000-of-00001,C,"His first name is John.His last name is Brown.His phone numberis seven-four-five,six-six-zero-five. Her first name is Susan. Her last name is Hall.Her phone number is five-zero-five,seven-one-one-seven. The girl found a baseball in the lost and Found .The boy lost a baseball.The girl calls the boy at his phone number. The boy's name is  _  .

Choices:
A. John Hall
B. Susan Brown
C. John Brown
D. Susan Hall

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"Which of the following problems can be solved by a standard greedy algorithm?
I. Finding a minimum spanning tree in an undirected graph with positive-integer edge weights
II. Finding a maximum clique in an undirected graph
III. Finding a maximum flow from a source node to a sink node in a directed graph with positive-integer edge capacities",college_computer_science,test-00000-of-00001,A,"Which of the following problems can be solved by a standard greedy algorithm?
I. Finding a minimum spanning tree in an undirected graph with positive-integer edge weights
II. Finding a maximum clique in an undirected graph
III. Finding a maximum flow from a source node to a sink node in a directed graph with positive-integer edge capacities

Choices:
A. I only
B. II only
C. III only
D. I and II only

Reply with exactly one uppercase letter out of A, B, C, or D.
",111
"Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
~(M ≡ ~N)
M / N",formal_logic,test-00000-of-00001,A,"Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
~(M ≡ ~N)
M / N

Choices:
A. Valid
B. Invalid. Counterexample when M and N are true
C. Invalid. Counterexample when M is true and N is false
D. Invalid. Counterexample when N is true and M is false

Reply with exactly one uppercase letter out of A, B, C, or D.
",129
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I made sure to hand the scissors to my prettier cousin with the blade pointed toward her. Scenario 2 | I set the whole national park's valley on fire.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I made sure to hand the scissors to my prettier cousin with the blade pointed toward her. Scenario 2 | I set the whole national park's valley on fire.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"During a clinical study examining the effects of exercise, men between the ages of 20 and 30 years are evaluated during a 15- minute session on a treadmill. The average pulse for the last 2 minutes of the session is 175/min. During the last minute of exercise, various measurements are taken. Compared with the measurement before the session, which of the following is most likely to be decreased?",professional_medicine,test-00000-of-00001,D,"During a clinical study examining the effects of exercise, men between the ages of 20 and 30 years are evaluated during a 15- minute session on a treadmill. The average pulse for the last 2 minutes of the session is 175/min. During the last minute of exercise, various measurements are taken. Compared with the measurement before the session, which of the following is most likely to be decreased?

Choices:
A. Pulse pressure
B. Stroke volume
C. Systolic blood pressure
D. Total peripheral resistance

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I feel so full of laughter when I pass by a car accident. Scenario 2 | I took the child to the mall and then forgot where in the mall the store is located.",moral_scenarios,validation-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I feel so full of laughter when I pass by a car accident. Scenario 2 | I took the child to the mall and then forgot where in the mall the store is located.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
What will happen to the equilibrium price level and the equilibrium quantity of output if a major earthquake destroys much of the plant and equipment on the West Coast? Assume an upward sloping aggregate supply curve.,high_school_macroeconomics,test-00000-of-00001,A,"What will happen to the equilibrium price level and the equilibrium quantity of output if a major earthquake destroys much of the plant and equipment on the West Coast? Assume an upward sloping aggregate supply curve.

Choices:
A. The equilibrium price level increases while the equilibrium quantity of output decreases.
B. The equilibrium price level decreases while the equilibrium quantity of output increases.
C. The equilibrium price level and quantity of output increase.
D. The equilibrium price level and quantity of output decrease.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I was going to puke, so I leaned away from my mother-in-law. Scenario 2 | I put eggs in tin foil in a bowl in the microwave and heated it.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I was going to puke, so I leaned away from my mother-in-law. Scenario 2 | I put eggs in tin foil in a bowl in the microwave and heated it.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
"What is the ionization constant, Ka, for a weak monoprotic acid if a 0.060 molar solution has a pH of 2.0?",high_school_chemistry,test-00000-of-00001,A,"What is the ionization constant, Ka, for a weak monoprotic acid if a 0.060 molar solution has a pH of 2.0?

Choices:
A. 2.0 × 10^-3
B. 2.0 × 10^-1
C. 1.7 × 10^-1
D. 5.0 × 10^-3

Reply with exactly one uppercase letter out of A, B, C, or D.
",108
"Look at this. It's a pencil case. It's orange. It's my pencil case. What's in it? Look, this is a pen. It's black. This is a pencil. It's red. And this is a pencil, too. It's yellow. This is an eraser. It's blue and white. My pencil case is big and nice. I like it. ,. My pencil case is   _  .",,auxiliary_train-00000-of-00001,D,"Look at this. It's a pencil case. It's orange. It's my pencil case. What's in it? Look, this is a pen. It's black. This is a pencil. It's red. And this is a pencil, too. It's yellow. This is an eraser. It's blue and white. My pencil case is big and nice. I like it. ,. My pencil case is   _  .

Choices:
A. big
B. nice
C. good
D. A and B

Reply with exactly one uppercase letter out of A, B, C, or D.
",128
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I threw my children at the bear to distract it. Scenario 2 | I made sure to hand the scissors to my prettier cousin with the blade pointed away from her.",moral_scenarios,validation-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I threw my children at the bear to distract it. Scenario 2 | I made sure to hand the scissors to my prettier cousin with the blade pointed away from her.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
"A 7-year-old male is brought to the office for evaluation of school problems. The mother says that the teacher has told her that the patient is inattentive, has difficulty following sequential instructions, and often seems to drift off to sleep during class. A polysomnogram reveals obstructive sleep apnea. The most appropriate management is",professional_medicine,test-00000-of-00001,D,"A 7-year-old male is brought to the office for evaluation of school problems. The mother says that the teacher has told her that the patient is inattentive, has difficulty following sequential instructions, and often seems to drift off to sleep during class. A polysomnogram reveals obstructive sleep apnea. The most appropriate management is

Choices:
A. elevation of the head of the bed
B. heart rate and apnea monitoring
C. imipramine
D. surgical evaluation

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I was dangling my toddler son by his arms on a balcony Scenario 2 | At the Halloween party tonight, I plan on adding booze to the punch drink without anyone known.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I was dangling my toddler son by his arms on a balcony Scenario 2 | At the Halloween party tonight, I plan on adding booze to the punch drink without anyone known.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",125
"A 10 g sample of aluminum and a 10 g sample of iron were each heated by 100 joules of energy. The temperature of the aluminum sample rose 11°C, while the temperature of the iron sample increased 23°C. Which statement best accounts for these results?",,auxiliary_train-00000-of-00001,D,"A 10 g sample of aluminum and a 10 g sample of iron were each heated by 100 joules of energy. The temperature of the aluminum sample rose 11°C, while the temperature of the iron sample increased 23°C. Which statement best accounts for these results?

Choices:
A. Iron is twice as dense as aluminum.
B. Atoms of aluminum are smaller than atoms of iron.
C. Using equal masses results in similar heat capacities.
D. The specific heat of iron is less than that of aluminum.

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I taught my child that violence is not an acceptable solution to frustrating situations. Scenario 2 | I spent the afternoon filling the pinata with candy for the birthday party.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I taught my child that violence is not an acceptable solution to frustrating situations. Scenario 2 | I spent the afternoon filling the pinata with candy for the birthday party.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"Bill is from Australia. He lives in Sydney. He can speak French and English, but he can' t speak Chinese. He has a pen pal in the United States. Her name is Lisa and she lives in New York. Bill' s favorite sport is basketball and he can play the guitar. Lisa' s favorite sport is tennis. She can't play the guitar, but she can play the piano and sing very well. What languages does Bill speak?",,auxiliary_train-00000-of-00001,D,"Bill is from Australia. He lives in Sydney. He can speak French and English, but he can' t speak Chinese. He has a pen pal in the United States. Her name is Lisa and she lives in New York. Bill' s favorite sport is basketball and he can play the guitar. Lisa' s favorite sport is tennis. She can't play the guitar, but she can play the piano and sing very well. What languages does Bill speak?

Choices:
A. Chinese
B. French
C. English
D. B and C

Reply with exactly one uppercase letter out of A, B, C, or D.
",129
An embryologist studying the development of a vertebrate organism from the zygote stage to fetus would be justified in drawing which of the following conclusions?,college_biology,test-00000-of-00001,A,"An embryologist studying the development of a vertebrate organism from the zygote stage to fetus would be justified in drawing which of the following conclusions?

Choices:
A. Ontogeny recapitulates phylogeny.
B. Early embryos display identical features of their class, order, and species.
C. An early human embryo has features in common with early fish and avian embryos.
D. A human embryo displays features of adult fish and birds in the course of its development.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
"Hello, I'm Frank. What's this? It's a pen. It's my red pen. My black pen is in my bag  . My bag is orange. And my key is in it. It's blue. This is my ruler. It's white. It's on my desk  . And my orange is on the desk, too. Where   is the orange?",,auxiliary_train-00000-of-00001,B,"Hello, I'm Frank. What's this? It's a pen. It's my red pen. My black pen is in my bag  . My bag is orange. And my key is in it. It's blue. This is my ruler. It's white. It's on my desk  . And my orange is on the desk, too. Where   is the orange?

Choices:
A. in my bag
B. on my desk
C. on the chair
D. in the desk

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I answered the phone and hung up as soon as I heard my mom start talking. Scenario 2 | I stole the show at the talent show.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I answered the phone and hung up as soon as I heard my mom start talking. Scenario 2 | I stole the show at the talent show.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",120
"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant?",human_sexuality,test-00000-of-00001,A,"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant?

Choices:
A. the id
B. the ego
C. the superego
D. the Oedipus complex

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
A medical research team is trying to determine whether a cream that is rubbed on the chest will help reduce the coughing associated with a particular illness. The team conducts the research using several groups of people. Which step will most likely result in producing a dependent (responding) variable that will help validate their research?,,auxiliary_train-00000-of-00001,D,"A medical research team is trying to determine whether a cream that is rubbed on the chest will help reduce the coughing associated with a particular illness. The team conducts the research using several groups of people. Which step will most likely result in producing a dependent (responding) variable that will help validate their research?

Choices:
A. using a different amount of people in each trial
B. writing down the names of the people in the study
C. monitoring the reaction of each person in the study
D. applying the same amount of cream to each person

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
"Statement 1| When learning an HMM for a fixed set of observations, assume we do not know the true number of hidden states (which is often the case), we can always increase the training data likelihood by permitting more hidden states. Statement 2| Collaborative filtering is often a useful model for modeling users' movie preference.",machine_learning,test-00000-of-00001,A,"Statement 1| When learning an HMM for a fixed set of observations, assume we do not know the true number of hidden states (which is often the case), we can always increase the training data likelihood by permitting more hidden states. Statement 2| Collaborative filtering is often a useful model for modeling users' movie preference.

Choices:
A. True, True
B. False, False
C. True, False
D. False, True

Reply with exactly one uppercase letter out of A, B, C, or D.
",110
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Every morning, I drove by the preschool to wave at my daughter through the fence. Scenario 2 | I let my kids get ice cream as a special treat.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Every morning, I drove by the preschool to wave at my daughter through the fence. Scenario 2 | I let my kids get ice cream as a special treat.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",123
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I buy dog food to feed my neighbors dog. Scenario 2 | I ate the produce after paying.",moral_scenarios,test-00000-of-00001,D,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I buy dog food to feed my neighbors dog. Scenario 2 | I ate the produce after paying.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",111
"I'm John.My father is a factory manager.He comes from America.My mother is a teacher.She's English.She can speak some Chinese.She is an English teacher at schoo1.I'm a student in my mother's schoo1.At school I can play with my Chinese friends.We can play football,basketball and table tennis.My mother can play the piano and tennis.She can also  sing well. John's mother is from",,auxiliary_train-00000-of-00001,C,"I'm John.My father is a factory manager.He comes from America.My mother is a teacher.She's English.She can speak some Chinese.She is an English teacher at schoo1.I'm a student in my mother's schoo1.At school I can play with my Chinese friends.We can play football,basketball and table tennis.My mother can play the piano and tennis.She can also  sing well. John's mother is from

Choices:
A. America
B. China
C. England
D. Japan

Reply with exactly one uppercase letter out of A, B, C, or D.
",121
" To highlight the variation in approaches to purchasing behaviour, Svahn and Westerlund (2009) identify six principal purchasing strategies used by organizations. The __________ strategy refers to a buyer's efficiency orientation where the main purchasing goal is to seek the lowest price for the offering. To help achieve this, the buyer actively promotes competition among several potential suppliers.",marketing,test-00000-of-00001,C," To highlight the variation in approaches to purchasing behaviour, Svahn and Westerlund (2009) identify six principal purchasing strategies used by organizations. The __________ strategy refers to a buyer's efficiency orientation where the main purchasing goal is to seek the lowest price for the offering. To help achieve this, the buyer actively promotes competition among several potential suppliers.

Choices:
A. 'Bargainer' purchasing.
B. The 'adaptator' purchasing.
C. Price minimizer' purchasing.
D. The 'projector' purchasing.

Reply with exactly one uppercase letter out of A, B, C, or D.
",126
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When my step-sister stuck her hand in the mixer, I quickly hit the off button. Scenario 2 | I framed a small child for shoplifting.",moral_scenarios,test-00000-of-00001,C,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When my step-sister stuck her hand in the mixer, I quickly hit the off button. Scenario 2 | I framed a small child for shoplifting.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
A crop of corn plants is genetically modified so that the plants produce a natural pesticide. People are concerned that these corn plants might transfer modified genetic material to other plants. Which of the following is the best way to further modify the plants to prevent them from transferring their genetic materials to other plants?,,auxiliary_train-00000-of-00001,A,"A crop of corn plants is genetically modified so that the plants produce a natural pesticide. People are concerned that these corn plants might transfer modified genetic material to other plants. Which of the following is the best way to further modify the plants to prevent them from transferring their genetic materials to other plants?

Choices:
A. changing the plants so they do not make pollen
B. changing the plants so they do not harm insects
C. changing the plants so they cannot produce nutrients
D. changing the plants so they cannot be easily identified

Reply with exactly one uppercase letter out of A, B, C, or D.
",124
"A 5-year-old child is shown two identical rows of pennies each containing five pennies that line up. One row is lengthened and the child is asked whether one row has more objects than the other. The child answers that the longer row has more objects. According to Piaget, this child is in the ___________.",professional_psychology,validation-00000-of-00001,C,"A 5-year-old child is shown two identical rows of pennies each containing five pennies that line up. One row is lengthened and the child is asked whether one row has more objects than the other. The child answers that the longer row has more objects. According to Piaget, this child is in the ___________.

Choices:
A. Sensorimotor stage
B. Preoperational stage
C. Concrete operational stage
D. Formal operational stage

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My daughter was getting F's, so I took all her food away for a week. Scenario 2 | I ironed my son for his school dance.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | My daughter was getting F's, so I took all her food away for a week. Scenario 2 | I ironed my son for his school dance.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",122
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | To finish my thesis quicker I took drugs all night. Scenario 2 | I vandalized her car after our interactions at home.",moral_scenarios,test-00000-of-00001,A,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | To finish my thesis quicker I took drugs all night. Scenario 2 | I vandalized her car after our interactions at home.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
