question,subject,split,answer,final_prompt,len_tk_qwen2.5_7b_base
"In the vibrational-rotational spectrum of a diatomic molecule, the R-branch of the spectrum is the result of which of the following transitions?",college_chemistry,test-00000-of-00001,D,"In the vibrational-rotational spectrum of a diatomic molecule, the R-branch of the spectrum is the result of which of the following transitions?

Choices:
A. ΔJ = 0; Δu = 0
B. ΔJ = 1; Δu = 0
C. ΔJ = 2; Δu = 0
D. ΔJ = 1; Δu = 1

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
"A 3-microfarad capacitor is connected in series with a 6-microfarad capacitor. When a 300-volt potential difference is applied across this combination, the total energy stored in the two capacitors is",college_physics,test-00000-of-00001,A,"A 3-microfarad capacitor is connected in series with a 6-microfarad capacitor. When a 300-volt potential difference is applied across this combination, the total energy stored in the two capacitors is

Choices:
A. 0.09 J
B. 0.18 J
C. 0.27 J
D. 0.41 J

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
A bus traveled 280 kilometers between two cities. It left the first city at 3:00 p.m. and arrived at the second city at 7:00 p.m. What was the average speed of the bus during the trip?,,auxiliary_train-00000-of-00001,C,"A bus traveled 280 kilometers between two cities. It left the first city at 3:00 p.m. and arrived at the second city at 7:00 p.m. What was the average speed of the bus during the trip?

Choices:
A. 4 km/h
B. 40 km/h
C. 70 km/h
D. 280 km/h

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
"According to Caplan's model of consultee-centered case consultation, the consultant is primarily interested in",high_school_psychology,dev-00000-of-00001,B,"According to Caplan's model of consultee-centered case consultation, the consultant is primarily interested in

Choices:
A. identifying the causes and solutions of the client's presenting problems
B. identifying and eliminating the causes of the consultee's difficulties in handling a problem
C. establishing a hierarchy of authority to enable effective decision making
D. presenting a single, well-defined and unambiguous course of action for the consultant to overcome skills deficits

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
Which of the following statements is INCORRECT concerning the classical hypothesis testing framework?,econometrics,test-00000-of-00001,A,"Which of the following statements is INCORRECT concerning the classical hypothesis testing framework?

Choices:
A. If the null hypothesis is rejected, the alternative is accepted
B. The null hypothesis is the statement being tested while the alternative encompasses the remaining outcomes of interest
C. The test of significance and confidence interval approaches will always give the same conclusions
D. Hypothesis tests are used to make inferences about the population parameters.

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
"I have seven bags. Three bags are big, and the other four bags are small. I have some basketballs and volleyballs. I put two volleyballs in each small bag. And I put two basketballs and two volleyballs in each big bag. The number of the volleyballs is my age. I have  _  volleyballs.",,auxiliary_train-00000-of-00001,C,"I have seven bags. Three bags are big, and the other four bags are small. I have some basketballs and volleyballs. I put two volleyballs in each small bag. And I put two basketballs and two volleyballs in each big bag. The number of the volleyballs is my age. I have  _  volleyballs.

Choices:
A. three
B. five
C. fourteen
D. seven

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
"A solution contains a mixture of four different compounds: KCl(aq), Fe(NO3)3(aq), MgSO4(aq), and N2H4(aq). Which of these compounds would be easiest to separate via distillation?",high_school_chemistry,test-00000-of-00001,D,"A solution contains a mixture of four different compounds: KCl(aq), Fe(NO3)3(aq), MgSO4(aq), and N2H4(aq). Which of these compounds would be easiest to separate via distillation?

Choices:
A. KCl(aq)
B. Fe(NO3)3(aq)
C. MgSO4 (aq)
D. N2H4(aq)

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
Which of the following is the best explanation for why net primary productivity in terrestrial ecosystems tends to increase toward the tropics?,college_biology,test-00000-of-00001,C,"Which of the following is the best explanation for why net primary productivity in terrestrial ecosystems tends to increase toward the tropics?

Choices:
A. The higher species diversity in the tropics tends to increase plant growth.
B. There are lower metabolic costs to plant growth in the tropics.
C. The availability of water and warm temperatures in the tropics fosters photosynthesis.
D. The tropics have more predators that minimize herbivory.

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
Economic growth is best described as,high_school_macroeconomics,test-00000-of-00001,D,"Economic growth is best described as

Choices:
A. an increase in the production possibility curve and an increase in the natural rate of unemployment.
B. an increase in the production possibility curve and a leftward shift in long-run aggregate supply.
C. a decrease in the production possibility curve and a rightward shift in long-run aggregate supply.
D. an increase in the production possibility curve and a rightward shift in long-run aggregate supply.

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
"There are specific research designs and strategies used to gain the desired information. From your knowledge about the research designs and strategies, how does the CORRELATIONAL RESEARCH work?",professional_psychology,test-00000-of-00001,C,"There are specific research designs and strategies used to gain the desired information. From your knowledge about the research designs and strategies, how does the CORRELATIONAL RESEARCH work?

Choices:
A. investigators randomly assigns subjects to different groups and they receive different levels of a manipulated variable
B. involves the use of intact groups
C. does not have any internal validity; can’t infer causal relationship
D. assessing variables as a function of time

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
Sutherland's study of the 'professional thief' suggested that:,sociology,test-00000-of-00001,A,"Sutherland's study of the 'professional thief' suggested that:

Choices:
A. people are socialized into a life of crime by associating with others who define it in positive terms
B. the majority of crime is committed by middle class people in professional occupations
C. those who were arrested and charged with theft did not define themselves as thieves
D. the most dangerous criminals on the street were those who were highly skilled thieves

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
Which statementis true?,elementary_mathematics,test-00000-of-00001,D,"Which statementis true?

Choices:
A. The product of 5 x 2 is even because both of the factors are even.
B. The product of 4 x 4 is odd because both of the factors are even.
C. The productof 2 x 7 is even because both of the factors are odd.
D. The product of 5 x 3 is odd because both of the factors are odd.

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
" Construct a complete truth table for the following pairs of propositions. Then, using the truth tables, determine whether the statements are logically equivalent or contradictory. If neither, determine whether they are consistent or inconsistent. Justify your answers.
I ≡ ~H and ~(~I ≡ H)",formal_logic,test-00000-of-00001,B," Construct a complete truth table for the following pairs of propositions. Then, using the truth tables, determine whether the statements are logically equivalent or contradictory. If neither, determine whether they are consistent or inconsistent. Justify your answers.
I ≡ ~H and ~(~I ≡ H)

Choices:
A. Logically equivalent
B. Contradictory
C. Neither logically equivalent nor contradictory, but consistent
D. Inconsistent

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
"The accused made a confession to the police, but his defense attorney needs to find out if the confession is admissible. In which of the following situations would a confession be inadmissible?",professional_law,test-00000-of-00001,A,"The accused made a confession to the police, but his defense attorney needs to find out if the confession is admissible. In which of the following situations would a confession be inadmissible?

Choices:
A. The defendant's statement was involuntary.
B. The defendant's statement was voluntary.
C. The defendant was not in custody when the statement was made.
D. The statement was not made in response to a known police interrogation.

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
" According to Sinnott-Armstrong, if we cannot find any moral principle to back up our intuition that wasteful driving (of the sort mentioned in his article) is wrong, then",moral_disputes,test-00000-of-00001,C," According to Sinnott-Armstrong, if we cannot find any moral principle to back up our intuition that wasteful driving (of the sort mentioned in his article) is wrong, then

Choices:
A. we know that wasteful driving is morally permissible.
B. we know that particularism is true.
C. we do not know whether wasteful driving is wrong.
D. we know that wasteful driving is not wrong.

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
""" _Ad novitatem_ "" is",logical_fallacies,test-00000-of-00001,D,""" _Ad novitatem_ "" is

Choices:
A. arguing that what is true of a few members of a class is true of all members of the class
B. drawing a conclusion by applying irrelevant criteria to a subject
C. substituting individual stories for a larger sample as support for a claim
D. arguing that something must be good because it is new, or must be bad because it is old

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
Why were the elite of state societies so conspicuous in their consumption?,prehistory,test-00000-of-00001,D,"Why were the elite of state societies so conspicuous in their consumption?

Choices:
A. Democracy and egalitarian states had not yet evolved.
B. A monetary value was not placed on material possessions, making things effectively worthless.
C. The elite had not yet been introduced to capitalism and so wasted their wealth on monuments and possessions.
D. Monuments and possessions were used as symbols to reinforce the inequalities on which state societies are based.

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
Which of the following statements is TRUE concerning older workers' job performance?,human_aging,test-00000-of-00001,C,"Which of the following statements is TRUE concerning older workers' job performance?

Choices:
A. Older workers always perform better because of their vast experience
B. Older workers never perform better than younger workers because with age, a worker's skills decline.
C. Job performance for older workers depends both upon the decline of skills and the benefits of experience
D. Most jobs are performed better by younger adults but a few are performed better by older adults

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
How has coercive diplomacy featured in contemporary security studies?,security_studies,test-00000-of-00001,A,"How has coercive diplomacy featured in contemporary security studies?

Choices:
A. Compellence and coercion through diplomacy are linked with the 'pre-emptive use of force'.
B. Coercive diplomacy is a softly-softly approach to international power bargaining, that has been side-lined in recent years.
C. Deterrence as a strategy has dominated contemporary instances of coercive diplomacy.
D. All of these options.

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
The mathematical model for calculating speed is shown below. Speed = distance/time. An airplane traveled 700 kilometers in two hours during a trip. What was the average speed of the plane during the trip?,,auxiliary_train-00000-of-00001,B,"The mathematical model for calculating speed is shown below. Speed = distance/time. An airplane traveled 700 kilometers in two hours during a trip. What was the average speed of the plane during the trip?

Choices:
A. 5.8 kilometers per hour
B. 350 kilometers per hour
C. 1400 kilometers per hour
D. 84,000 kilometers per hour

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
What will happen to the equilibrium price level and the equilibrium quantity of output if the aggregate supply curve shifts to the left? Assume an upward sloping aggregate supply curve.,high_school_macroeconomics,test-00000-of-00001,A,"What will happen to the equilibrium price level and the equilibrium quantity of output if the aggregate supply curve shifts to the left? Assume an upward sloping aggregate supply curve.

Choices:
A. The equilibrium price level increases while the equilibrium quantity of output decreases.
B. The equilibrium price level decreases while the equilibrium quantity of output increases.
C. The equilibrium price level and quantity of output increase.
D. The equilibrium price level and quantity of output decrease.

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
"When fresh water and salt water meet in an estuary, the salt water typically flows underneath the fresh water because the salt water is denser. What effect does this most likely have on the nutrients concentrated in the fresh water?",,auxiliary_train-00000-of-00001,B,"When fresh water and salt water meet in an estuary, the salt water typically flows underneath the fresh water because the salt water is denser. What effect does this most likely have on the nutrients concentrated in the fresh water?

Choices:
A. They are kept close to the shore.
B. They are spread out from the shore.
C. They are diluted by the ocean water.
D. They are inactivated by the ocean water.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
What is the meaning of cultural relativism?,international_law,test-00000-of-00001,D,"What is the meaning of cultural relativism?

Choices:
A. Culture relativism posits that human rights apply equally to all without restrictions
B. Culture relativism posits that human rights have a cultural origin
C. Cultural relativism posits that the application of human rights is relative to the laws in each nation
D. Cultural relativism posits that local culture should validate the existence and practice of all human rights

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
"Ten students take a biology test and receive the following scores: 45, 55, 50, 70, 65, 80, 40, 90, 70, 85. What is the mean of the students’ test scores?",high_school_mathematics,dev-00000-of-00001,D,"Ten students take a biology test and receive the following scores: 45, 55, 50, 70, 65, 80, 40, 90, 70, 85. What is the mean of the students’ test scores?

Choices:
A. 55
B. 60
C. 62
D. 65

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
A frameshift mutation is created when,college_biology,test-00000-of-00001,C,"A frameshift mutation is created when

Choices:
A. telomeric sequences are removed from DNA
B. a codon's nucleotide sequence changes so that it calls for production of a different amino acid than the original one
C. a base pair is either inserted or deleted in a gene
D. a codon's nucleotide sequence is changed so that instead of coding for a given amino acid it acts to terminate translation

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
" Construct a complete truth table for the following pairs of propositions. Then, using the truth tables, determine whether the statements are logically equivalent or contradictory. If neither, determine whether they are consistent or inconsistent. Justify your answers.
E ⊃ (F · E) and ~E · F",formal_logic,dev-00000-of-00001,C," Construct a complete truth table for the following pairs of propositions. Then, using the truth tables, determine whether the statements are logically equivalent or contradictory. If neither, determine whether they are consistent or inconsistent. Justify your answers.
E ⊃ (F · E) and ~E · F

Choices:
A. Logically equivalent
B. Contradictory
C. Neither logically equivalent nor contradictory, but consistent
D. Inconsistent

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
 The question of whether the killing/letting die distinction is morally relevant can be posed by asking whether we are equally to blame for allowing people in Third World countries to starve as we would be for,moral_disputes,test-00000-of-00001,A," The question of whether the killing/letting die distinction is morally relevant can be posed by asking whether we are equally to blame for allowing people in Third World countries to starve as we would be for

Choices:
A. killing them by sending poisoned food.
B. refusing to give them the money they need to purchase food.
C. withholding medicine that they need to survive.
D. depriving them of knowledge they need to produce food.

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
Earth's magnetosphere is not uniformly shaped. It is compressed on the side facing the Sun and has a long tail extending away from the Sun. Which phenomenon is responsible for this shape?,,auxiliary_train-00000-of-00001,C,"Earth's magnetosphere is not uniformly shaped. It is compressed on the side facing the Sun and has a long tail extending away from the Sun. Which phenomenon is responsible for this shape?

Choices:
A. centripetal force of Earth's rotation
B. gravitational attraction between Earth and the Sun
C. solar winds bringing high-energy particles toward Earth
D. differences in the distance between Earth and the Sun during Earth's orbit

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
Which of these statements does not describe the liberalist conception of the international system?,security_studies,test-00000-of-00001,D,"Which of these statements does not describe the liberalist conception of the international system?

Choices:
A. International politics is not the same everywhere; it is only 'realist' in certain places at certain times.
B. The nation state does not exist as a unitary actor within the international system.
C. Nation states are not basically alike.
D. States are and should remain the sole actors to be considered in the study of International Relations.

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
Why was my son-in-law required to add rugs or carpeting to his upstairs apartment when the ground floor wasn't?,,auxiliary_train-00000-of-00001,C,"Why was my son-in-law required to add rugs or carpeting to his upstairs apartment when the ground floor wasn't?

Choices:
A. So it would look good then prospective renters took a tour
B. Because they didn't want him to scratch up the wood floors.
C. Because they didn't want the downstairs renters to be as likely to complain about noise
D. Because they didn't want to pay for carpeting themselves.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
A fair die is tossed 360 times. The probability that a six comes up on 70 or more of the tosses is,college_mathematics,validation-00000-of-00001,C,"A fair die is tossed 360 times. The probability that a six comes up on 70 or more of the tosses is

Choices:
A. greater than 0.50
B. between 0.16 and 0.50
C. between 0.02 and 0.16
D. between 0.01 and 0.02

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
"When you are riding a bicycle at night, your bicycle's reflectors help people in cars see your bicycle. How do bicycle reflectors work?",,auxiliary_train-00000-of-00001,C,"When you are riding a bicycle at night, your bicycle's reflectors help people in cars see your bicycle. How do bicycle reflectors work?

Choices:
A. They are made of a special material that gives off its own light.
B. They are hooked up to batteries that allow them to produce light.
C. They bounce light back from other sources.
D. They are covered with paint that glows in the dark.

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
"A car travelling at a speed of v0 applies its brakes, skidding to a stop over a distance of x m. Assuming that the deceleration due to the brakes is constant, what would be the skidding distance of the same car if it were traveling with twice the initial speed?",high_school_physics,validation-00000-of-00001,C,"A car travelling at a speed of v0 applies its brakes, skidding to a stop over a distance of x m. Assuming that the deceleration due to the brakes is constant, what would be the skidding distance of the same car if it were traveling with twice the initial speed?

Choices:
A. 2x m
B. 3x m
C. 4x m
D. 8x m

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
Which of the following is a benefit that mycorrhizal fungi confer to many plants?,college_biology,test-00000-of-00001,C,"Which of the following is a benefit that mycorrhizal fungi confer to many plants?

Choices:
A. They protect plant roots from desiccation in extremely dry habitats.
B. They fix nitrogen, which is particularly important for plants in nitrogen-limited habitats.
C. They provide access to phosphorus, an essential element that is limited in many kinds of soils.
D. They provide carbon to plants in exchange for fixed nitrogen.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
"When one uses a time-series design to evaluate a program, fluctuation in the outcome slope can be accounted for by various alternative hypotheses. According to Campbell and Stanley, the most probable alternative is that",professional_psychology,test-00000-of-00001,A,"When one uses a time-series design to evaluate a program, fluctuation in the outcome slope can be accounted for by various alternative hypotheses. According to Campbell and Stanley, the most probable alternative is that

Choices:
A. a simultaneous event produced the fluctuation
B. participants dropped out of the group, reducing the size of the sample
C. aging effects were unduly influential
D. test—retest reliability is inadequate

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
"Here is a photo of my family. These are my parents, Jack Ken and Mary Ken. My father is a teacher and my mother is a nurse . This is my brother David and this is my sister Jane. And the little girl is me .I have  a happy family. I love my family. I am a   _  .",,auxiliary_train-00000-of-00001,B,"Here is a photo of my family. These are my parents, Jack Ken and Mary Ken. My father is a teacher and my mother is a nurse . This is my brother David and this is my sister Jane. And the little girl is me .I have  a happy family. I love my family. I am a   _  .

Choices:
A. boy
B. girl
C. son
D. father

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
" The principle Arthur calls ""the greater moral evil rule""says that",moral_disputes,test-00000-of-00001,A," The principle Arthur calls ""the greater moral evil rule""says that

Choices:
A. people are entitled to keep their earnings only if there is no way for them to prevent a greater evil by giving them away.
B. being rich is a great moral evil, and as such we should all strive to live on a moderate income.
C. two moral evils do not make a moral good.
D. morality itself is a great evil.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
"If two non-zero vectors are added together, and the resultant vector is zero, what must be true of the two vectors?",high_school_physics,test-00000-of-00001,B,"If two non-zero vectors are added together, and the resultant vector is zero, what must be true of the two vectors?

Choices:
A. They have equal magnitude and are pointed in the same direction.
B. They have equal magnitude and are pointed in opposite directions.
C. They have different magnitudes and are pointed in opposite directions.
D. It is not possible for the sum of two non-zero vectors to be zero.

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
Which of the following is most likely to increase the rate of diffusion of an uncharged solute across the plasma membrane of a cell?,high_school_biology,test-00000-of-00001,B,"Which of the following is most likely to increase the rate of diffusion of an uncharged solute across the plasma membrane of a cell?

Choices:
A. Decreasing the number of different solutes in the solution that bathes the cells
B. Increasing the concentration gradient of the solute across the membrane
C. Increasing the ratio of phospholipids to proteins in the membrane
D. Decreasing the membrane potential across the membrane

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
"A condition in bees called ""colony collapse disorder"" occurs when worker bees leave the hive to collect nectar and never return. How would a decline in the bee population most likely affect a farm ecosystem?",,auxiliary_train-00000-of-00001,B,"A condition in bees called ""colony collapse disorder"" occurs when worker bees leave the hive to collect nectar and never return. How would a decline in the bee population most likely affect a farm ecosystem?

Choices:
A. There would be a decrease in soil thickness.
B. There would be a decline in fruit production.
C. There would be an increase in plant diseases.
D. There would be an increase in insect pest populations.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
"There are several methods for estimating the test reliability, like the INTERNAL CONSISTENCY RELIABILITY for example. From your knowledge about this topic, find the correct definition of it.",professional_psychology,test-00000-of-00001,C,"There are several methods for estimating the test reliability, like the INTERNAL CONSISTENCY RELIABILITY for example. From your knowledge about this topic, find the correct definition of it.

Choices:
A. administer 2 equivalent forms of a test to same people and correlate
B. administer test twice to same people and then correlate scores
C. correlations among individual test items
D. they are not used for an unstable trait

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
" In the context of Gardiner's article, ""the fragmentation of agency"" refers to what?",moral_disputes,test-00000-of-00001,C," In the context of Gardiner's article, ""the fragmentation of agency"" refers to what?

Choices:
A. an agent's inability to acknowledge his or her contribution to climate change
B. the fragmentation of the effects of greenhouse gas emissions across generations
C. the vast number of individuals and agents who contribute to climate change
D. the idea that it's not rational for each individual to restrict his or her own pollution

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
Mark Green is my friend. He is English. He has a yellow bike. His bike number is 9075. His mother has a green car. The number is JA3566. His father has a black car. The number is JA3567. What's the color of Mark's mother's car?.,,auxiliary_train-00000-of-00001,D,"Mark Green is my friend. He is English. He has a yellow bike. His bike number is 9075. His mother has a green car. The number is JA3566. His father has a black car. The number is JA3567. What's the color of Mark's mother's car?.

Choices:
A. Yellow.
B. Black.
C. White.
D. Green

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
What is a web proxy?,computer_security,test-00000-of-00001,A,"What is a web proxy?

Choices:
A. A piece of software that intercepts and possibly modifies requests (and responses) between a web browser and web server
B. An agent that makes decisions on the client's behalf when interacting with web applications
C. A piece of software that makes a web application look like a standalone application, making it easier to test
D. A simulator for the web, for use when off-line

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
Darla and Janice are two moms raising a son Timmy. Which of the following most likely characterizes Timmy?,human_sexuality,test-00000-of-00001,C,"Darla and Janice are two moms raising a son Timmy. Which of the following most likely characterizes Timmy?

Choices:
A. He will probably grow up to be gay.
B. He will not be popular with his peers.
C. As long as Timmy has at least one supportive and accepting caregiver he will have a healthy development.
D. His social skills will lag behind his peers who are raised in heterosexual families.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
The possibility that Homo erectus possessed an aesthetic sense and may have created “art” is suggested by:,prehistory,test-00000-of-00001,C,"The possibility that Homo erectus possessed an aesthetic sense and may have created “art” is suggested by:

Choices:
A. the size of their brains, with a mean brain size slightly larger than modern humans.
B. cave paintings and elaborate burials with numerous grave goods at the Trinil site.
C. recovery of a shell at the Trinil site with an intentionally engraved series of lines.
D. all of the above.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
Which of the following statements is false?,clinical_knowledge,test-00000-of-00001,B,"Which of the following statements is false?

Choices:
A. Ammonia is produced in repeated high intensity exercise.
B. Muscle lactate accumulation does not begin until at least 5 seconds of intermittent muscle contractions have taken place.
C. Muscle phosphocreatine depletion begins in the first few seconds of high intensity exercise.
D. With an increasing number of repeated sprints the rate of accumulation of lactate in muscle declines.

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
"Fermat’s principle of ray optics states, “A ray of light follows the path between two points which requires the least time.” This principle can be used to derive which of the following?
I. Snell’s law of refraction
II. The law of reflection
III. Rayleigh’s criterion for resolution",college_physics,validation-00000-of-00001,D,"Fermat’s principle of ray optics states, “A ray of light follows the path between two points which requires the least time.” This principle can be used to derive which of the following?
I. Snell’s law of refraction
II. The law of reflection
III. Rayleigh’s criterion for resolution

Choices:
A. I only
B. II only
C. III only
D. I and II

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
"Statement 1| The training error of 1-nearest neighbor classifier is 0. Statement 2| As the number of data points grows to infinity, the MAP estimate approaches the MLE estimate for all possible priors. In other words, given enough data, the choice of prior is irrelevant.",machine_learning,test-00000-of-00001,C,"Statement 1| The training error of 1-nearest neighbor classifier is 0. Statement 2| As the number of data points grows to infinity, the MAP estimate approaches the MLE estimate for all possible priors. In other words, given enough data, the choice of prior is irrelevant.

Choices:
A. True, True
B. False, False
C. True, False
D. False, True

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
Which of the following is true about the relationship of the average total cost (ATC) curve and the marginal cost (MC) curve?,high_school_microeconomics,test-00000-of-00001,D,"Which of the following is true about the relationship of the average total cost (ATC) curve and the marginal cost (MC) curve?

Choices:
A. ATC and MC are always equal.
B. ATC and MC are never equal.
C. The ATC curve intersects the MC curve at the minimum point of the MC curve.
D. The MC curve intersects the ATC curve at the minimum point of the ATC curve.

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
"At breakfast, lunch, and dinner, Joe randomly chooses with equal probabilities either an apple, an orange, or a banana to eat. On a given day, what is the probability that Joe will eat at least two different kinds of fruit?",high_school_mathematics,test-00000-of-00001,B,"At breakfast, lunch, and dinner, Joe randomly chooses with equal probabilities either an apple, an orange, or a banana to eat. On a given day, what is the probability that Joe will eat at least two different kinds of fruit?

Choices:
A. \frac{7}{9}
B. \frac{8}{9}
C. \frac{5}{9}
D. \frac{9}{11}

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
A person cuts down a living oak tree. The person burns the wood from the oak tree to boil water. Which sequence correctly orders the energy transformations that occurred from the living tree to the boiling of water?,,auxiliary_train-00000-of-00001,A,"A person cuts down a living oak tree. The person burns the wood from the oak tree to boil water. Which sequence correctly orders the energy transformations that occurred from the living tree to the boiling of water?

Choices:
A. light energy -> chemical energy -> thermal energy
B. thermal energy -> chemical energy -> light energy
C. chemical energy -> mechanical energy -> electrical energy
D. electrical energy -> mechanical energy -> chemical energy

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
Which of the following is a true statement about the flow of energy in an ecosystem?,miscellaneous,test-00000-of-00001,C,"Which of the following is a true statement about the flow of energy in an ecosystem?

Choices:
A. Smaller organisms need less energy per gram of body weight than do larger organisms.
B. Energy transfer between organisms normally involves conservation of heat energy.
C. Energy flow between trophic levels is inefficient.
D. Chemical energy is converted into radiant energy, which is then converted into chemical energy at the next trophic level.

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,validation-00000-of-00001,B,"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).

Choices:
A. True, True
B. False, False
C. True, False
D. False, True

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
" For the purposes of Norcross's discussion, to claim that humans have a superior ethical status to animals is to claim that",moral_disputes,validation-00000-of-00001,B," For the purposes of Norcross's discussion, to claim that humans have a superior ethical status to animals is to claim that

Choices:
A. it is morally wrong to give the interests of humans greater weight than those of animals in deciding how to behave.
B. it is morally right to give the interests of humans greater weight than those of animals in deciding how to behave.
C. both A and B
D. neither A nor B

Reply with exactly one uppercase letter out of A, B, C, or D.
",106
"A psychologist in private practice is going through a difficult divorce and, as a result, has started drinking and is often depressed. He should:",professional_psychology,test-00000-of-00001,B,"A psychologist in private practice is going through a difficult divorce and, as a result, has started drinking and is often depressed. He should:

Choices:
A. plunge deeper into his work to take his mind off his own problems.
B. seek professional consultation and consider temporarily suspending his practice.
C. explain the situation to his clients and offer to refer them to other therapists.
D. immediately refer his clients to other therapists.

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
Which of the following circumstances most likely would cause an auditor to suspect that there are material misstatements in an entity's financial statements?,professional_accounting,test-00000-of-00001,A,"Which of the following circumstances most likely would cause an auditor to suspect that there are material misstatements in an entity's financial statements?

Choices:
A. There are unusual discrepancies between the entity's records and confirmation replies.
B. Management enforces strict budgetary controls over the entity's departmental supervisors.
C. Cash transactions are electronically processed and recorded leaving no paper audit trail.
D. The monthly bank reconciliation ordinarily includes several large outstanding checks.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
"The dimerization of NO2(g) to N2O4(g) is an endothermic process. Which of the following will, according to Le Châtelier's principle, increase the amount of N2O4 in a reaction vessel?",high_school_chemistry,test-00000-of-00001,D,"The dimerization of NO2(g) to N2O4(g) is an endothermic process. Which of the following will, according to Le Châtelier's principle, increase the amount of N2O4 in a reaction vessel?

Choices:
A. Decreasing the temperature
B. Increasing the size of the reaction vessel
C. Adding a selective catalyst
D. Making the reaction vessel smaller

Reply with exactly one uppercase letter out of A, B, C, or D.
",103
"A person who is low in self-monitoring (Snyder, 1987) will rely on which of the following when deciding how to act in a particular social situation?",professional_psychology,test-00000-of-00001,B,"A person who is low in self-monitoring (Snyder, 1987) will rely on which of the following when deciding how to act in a particular social situation?

Choices:
A. his/her life scripts.
B. his/her own feelings, attitudes, and beliefs.
C. the emotional reactions and behaviors of the people he/she is interacting with.
D. internal working models that were acquired during infancy and early childhood.

Reply with exactly one uppercase letter out of A, B, C, or D.
",105
The Mayan king Yax Pahsaj symbolized his royalty on a stele that depicts:,prehistory,test-00000-of-00001,D,"The Mayan king Yax Pahsaj symbolized his royalty on a stele that depicts:

Choices:
A. an eagle, a serpent, and a jaguar, all of which were important royal animals.
B. a series of decisive military conquests against a rival king.
C. a lightning bolt descending from heaven and marking him as the leader.
D. the founder of the dynasty “passing him the torch.”

Reply with exactly one uppercase letter out of A, B, C, or D.
",104
