question,subject,split,answer,final_prompt,len_tk_qwen3_8b_base
"One of the most difficulties in learning a language is learning the idiomatic phrases, slang and common usage of native speakers. These four books focus on giving students a hand when learning North American idiomatic language. Ya Gotta Know It by Hania Hassan It provides an excellent mixture of materials for classroom lessons and American slang reference. Its unique feature is that students are provided with ongoing   context reminding learners of idioms learned while improving their understanding by using the same characters and a developing story line. Exercises provide a chance for students to practice in proper situations. Price: $11.66 ISBN: 9780074560167 Common American Phrases by Richard A. Spears It has a wide variety of resources on American English. It contains more than 2,000 phrases and idioms. Excellent for classroom use as this reference guide focuses on standard phrases that can be found in everyday standard usage. Price: $ 7.06 ISBN: 978007405607 American Idioms and Some Phrases Just for Fun by Edward Swick The book's strength is its translation of more formal English of a number of idioms. These phrases are then repeated in a number of different contexts giving students a good idea of common usage. There are also a number of exercises designed to help students put their newfound idiomatic understanding into use. Price: $ 5.49 ISBN: 9780764108075 American Slang by Robert L. Chapman It provides a guide for advanced level English students. This references guide to slang is best used by those interested in the very latest and up-to-date slang and slang you might hear in the laterst films from Hollywood. Price: $ 1.99 ISBN: 9780062731722 In what way is Ya Gotta Know It different from other books?",,auxiliary_train-00000-of-00001,D,"One of the most difficulties in learning a language is learning the idiomatic phrases, slang and common usage of native speakers. These four books focus on giving students a hand when learning North American idiomatic language. Ya Gotta Know It by Hania Hassan It provides an excellent mixture of materials for classroom lessons and American slang reference. Its unique feature is that students are provided with ongoing   context reminding learners of idioms learned while improving their understanding by using the same characters and a developing story line. Exercises provide a chance for students to practice in proper situations. Price: $11.66 ISBN: 9780074560167 Common American Phrases by Richard A. Spears It has a wide variety of resources on American English. It contains more than 2,000 phrases and idioms. Excellent for classroom use as this reference guide focuses on standard phrases that can be found in everyday standard usage. Price: $ 7.06 ISBN: 978007405607 American Idioms and Some Phrases Just for Fun by Edward Swick The book's strength is its translation of more formal English of a number of idioms. These phrases are then repeated in a number of different contexts giving students a good idea of common usage. There are also a number of exercises designed to help students put their newfound idiomatic understanding into use. Price: $ 5.49 ISBN: 9780764108075 American Slang by Robert L. Chapman It provides a guide for advanced level English students. This references guide to slang is best used by those interested in the very latest and up-to-date slang and slang you might hear in the laterst films from Hollywood. Price: $ 1.99 ISBN: 9780062731722 In what way is Ya Gotta Know It different from other books?

Choices:
A. It contains a lot of exercises.
B. It has the largest number of idioms.
C. It is mainly about American slang.
D. It offers readers ongoing context.

Reply with exactly one uppercase letter out of A, B, C, or D.
",454
"Driving a car at a high speed along a highway seems to be fun. You need only to follow the bright traffic signs beside the highways and it will take you to where you wish. But to a London taxi driver, driving is not an easy job. A taxi driver has to have not only skills but also a good knowledge of the city of London, from the smaller road to the most popular bar around. He has to be at service of all kinds of passengers at all times. A certain London taxi driver told of his job as follows. During the night it is quite usual for him to stop two or three times for some refreshments  . He said, ""I never drink when I'm working --- I would lose my license."" He usually goes home between 2 and 3 o'clock in the night. There are times he has to stay longer and try to make more runs. He said, ""That's the worst thing about working for yourself. If you don't make any money, no one is going to give it to you."" London taxi drivers not only ""take"" but also ""give"". Every summer hundreds of children from London will go for a day at the sea --- by taxi! Their rides are paid by the taxi drivers, and these all go to the ""London Taxi for _ "". At the sea, they are met by the mayor  , and a lunch party is also held in honor of the taxi drivers and the children. After a happy day running around the sea beaches and visiting the markets, the children go home again --- by taxi, and free of charge  , of course! What is the passage about?",,auxiliary_train-00000-of-00001,C,"Driving a car at a high speed along a highway seems to be fun. You need only to follow the bright traffic signs beside the highways and it will take you to where you wish. But to a London taxi driver, driving is not an easy job. A taxi driver has to have not only skills but also a good knowledge of the city of London, from the smaller road to the most popular bar around. He has to be at service of all kinds of passengers at all times. A certain London taxi driver told of his job as follows. During the night it is quite usual for him to stop two or three times for some refreshments  . He said, ""I never drink when I'm working --- I would lose my license."" He usually goes home between 2 and 3 o'clock in the night. There are times he has to stay longer and try to make more runs. He said, ""That's the worst thing about working for yourself. If you don't make any money, no one is going to give it to you."" London taxi drivers not only ""take"" but also ""give"". Every summer hundreds of children from London will go for a day at the sea --- by taxi! Their rides are paid by the taxi drivers, and these all go to the ""London Taxi for _ "". At the sea, they are met by the mayor  , and a lunch party is also held in honor of the taxi drivers and the children. After a happy day running around the sea beaches and visiting the markets, the children go home again --- by taxi, and free of charge  , of course! What is the passage about?

Choices:
A. Traffic in London.
B. London taxi for children
C. Taxi divers' job in London.
D. Drivers disliking taxis in London

Reply with exactly one uppercase letter out of A, B, C, or D.
",382
"The turtle and the fox were best friends.  One day Turtle wanted to find Fox and ask if he would come fishing with him.  Turtle went to foxes house.  Fox was not home.  Turtle went to look for Fox.  Fox lived near several friends.  Turtle went to Bear's house first.  Bear lived next door to Fox.  Bear answered the door, but Fox wasn't there.  Turtle went to Duck's house next.  Duck lived next door to Bear.  Duck answered the door, but Fox wasn't there.  Turtle went to Goose's house next. Goose answered the door, but Fox wasn't there. Finally, Turtle stopped at Rabbit's house.  Rabbit wasn't home, and Fox wasn't there.  Turtle was sad because he wanted to go fishing with his friend.  He walked slowly toward the stream to go fishing by himself.  When he got to the stream, he found Fox and Rabbit were there.  They were fishing.  They asked Turtle to join them.  Turtle was very happy that he had found Fox, and he joined them for a fun afternoon of fishing in the stream. Who was Turtle's best friend?",,auxiliary_train-00000-of-00001,A,"The turtle and the fox were best friends.  One day Turtle wanted to find Fox and ask if he would come fishing with him.  Turtle went to foxes house.  Fox was not home.  Turtle went to look for Fox.  Fox lived near several friends.  Turtle went to Bear's house first.  Bear lived next door to Fox.  Bear answered the door, but Fox wasn't there.  Turtle went to Duck's house next.  Duck lived next door to Bear.  Duck answered the door, but Fox wasn't there.  Turtle went to Goose's house next. Goose answered the door, but Fox wasn't there. Finally, Turtle stopped at Rabbit's house.  Rabbit wasn't home, and Fox wasn't there.  Turtle was sad because he wanted to go fishing with his friend.  He walked slowly toward the stream to go fishing by himself.  When he got to the stream, he found Fox and Rabbit were there.  They were fishing.  They asked Turtle to join them.  Turtle was very happy that he had found Fox, and he joined them for a fun afternoon of fishing in the stream. Who was Turtle's best friend?

Choices:
A. Fox
B. Duck
C. Rabbit
D. Bear

Reply with exactly one uppercase letter out of A, B, C, or D.
",278
"The first MP4 player was born years ago. Soon many music fans were wondering how fantastic it is! If you have been into technology enough, perhaps you may have a knowledge of the MP4. If not, you do need to know something before buying one, even if you are familiar with MP3. MP3 is the CD-like disc with greater capacity. How about MP4? This small digital product will really enrich the joy from listening to music. You can even feel the ""touch"" of music to your soul! Now, some similar digital products advertised as ""MP4 players"" are simply MP3 players, which do not play video and MPEG format   and also lack other particular functions. These products confuse some buyers, as they may think the ""MP4"" players simply mean they can do more than MP3. What is MP4?!  It is a multimedia container. It is not only used to store digital audio   and digital video streams, especially those of MPEG, but can also be used to store other data such as subtitles   and pictures. As a most modern container format, it allows streaming over the Internet.  With the help of a piece of MP4 video equipment, you can change various programs such as MPEG to MP4, ASX to MP4, AVI to MP4 and so on, which can be done very quickly and easily without any effect on the sound quality. By installing   DVD-MP4 software, you can transfer particular music from a DVD to an MP4 video file. It really excites your listening music experience.   Then, there is MP4 advanced and you can set your own collection of all the programs -- TV shows, games, and music. You can even see movies which are still running in cinemas.  _ ? From the passage, we can see that MP4 is   _   MP3.",,auxiliary_train-00000-of-00001,D,"The first MP4 player was born years ago. Soon many music fans were wondering how fantastic it is! If you have been into technology enough, perhaps you may have a knowledge of the MP4. If not, you do need to know something before buying one, even if you are familiar with MP3. MP3 is the CD-like disc with greater capacity. How about MP4? This small digital product will really enrich the joy from listening to music. You can even feel the ""touch"" of music to your soul! Now, some similar digital products advertised as ""MP4 players"" are simply MP3 players, which do not play video and MPEG format   and also lack other particular functions. These products confuse some buyers, as they may think the ""MP4"" players simply mean they can do more than MP3. What is MP4?!  It is a multimedia container. It is not only used to store digital audio   and digital video streams, especially those of MPEG, but can also be used to store other data such as subtitles   and pictures. As a most modern container format, it allows streaming over the Internet.  With the help of a piece of MP4 video equipment, you can change various programs such as MPEG to MP4, ASX to MP4, AVI to MP4 and so on, which can be done very quickly and easily without any effect on the sound quality. By installing   DVD-MP4 software, you can transfer particular music from a DVD to an MP4 video file. It really excites your listening music experience.   Then, there is MP4 advanced and you can set your own collection of all the programs -- TV shows, games, and music. You can even see movies which are still running in cinemas.  _ ? From the passage, we can see that MP4 is   _   MP3.

Choices:
A. much bigger than
B. just as advanced as
C. not so particular as
D. morefunctionalthan

Reply with exactly one uppercase letter out of A, B, C, or D.
",424
"Each time I see a balloon, my mind flies back to a memory of when I was a six - year - old girl. It was a rainy Sunday and my father had recently died. I asked my mom if Dad had gone to heaven. ""Yes, honey. Of course."" she said.""Can we write him a letter?"" She paused, the longest pause of my short life, and answered, ""Yes.""My heart jumped. ""How? Does the mailman go there?"" I asked. ""No, but I have an idea."" Mom drove to a party store and returned with a red balloon. I asked her what it was for.""Just wait, honey. You'll see."" Mom told me to write my letter. Eagerly, I got my favorite pen, and poured out my six - year - old heart in the form of blue ink. I wrote about my day, what I learned at school, how Mom was doing, and even about what happened in a story I had read. For a few minutes it was as if Dad were still alive. I gave the letter to Mom. She read it over, and a smile crossed her face.She made a hole in the corner of the letter where she looped the balloon string. We went out-side and she gave me the balloon. It was still raining.""Okay, on the count of three, let go. One, two, three.""The balloon, carrying my letter, darted upward against the rain. We watched until it was swallowed by the mass of clouds.Later I realized, like the balloon, that Dad had never let his sickness get him down. He was strong. No matter what he suffered, he'd persevere, dart up, and finally transcend this cold world and his sick body. He rose into sky and became something beautiful. I watched until the balloon disappeared into the gray and white and I prayed that his strength was passed on. I prayed to be a balloon. When the girl was told that she could send a letter to her father, she   _  .",,auxiliary_train-00000-of-00001,D,"Each time I see a balloon, my mind flies back to a memory of when I was a six - year - old girl. It was a rainy Sunday and my father had recently died. I asked my mom if Dad had gone to heaven. ""Yes, honey. Of course."" she said.""Can we write him a letter?"" She paused, the longest pause of my short life, and answered, ""Yes.""My heart jumped. ""How? Does the mailman go there?"" I asked. ""No, but I have an idea."" Mom drove to a party store and returned with a red balloon. I asked her what it was for.""Just wait, honey. You'll see."" Mom told me to write my letter. Eagerly, I got my favorite pen, and poured out my six - year - old heart in the form of blue ink. I wrote about my day, what I learned at school, how Mom was doing, and even about what happened in a story I had read. For a few minutes it was as if Dad were still alive. I gave the letter to Mom. She read it over, and a smile crossed her face.She made a hole in the corner of the letter where she looped the balloon string. We went out-side and she gave me the balloon. It was still raining.""Okay, on the count of three, let go. One, two, three.""The balloon, carrying my letter, darted upward against the rain. We watched until it was swallowed by the mass of clouds.Later I realized, like the balloon, that Dad had never let his sickness get him down. He was strong. No matter what he suffered, he'd persevere, dart up, and finally transcend this cold world and his sick body. He rose into sky and became something beautiful. I watched until the balloon disappeared into the gray and white and I prayed that his strength was passed on. I prayed to be a balloon. When the girl was told that she could send a letter to her father, she   _  .

Choices:
A. jumped with joy
B. was worried that it couldn't be delivered
C. started writing immediately
D. became excited

Reply with exactly one uppercase letter out of A, B, C, or D.
",464
"Nora, a 17-year-old American, notices that when she has to do a paper for school and researches it on the Internet, she rarely reads a whole page and does deep reading. ""I'll read the beginning of a paragraph and then I'll skip  the rest,"" she says. While Nora's mother, Martha, loves sitting down with a good book and reading carefully, her daughter may be the wave of the future. ""Deep reading"", or slow reading, is a process in which people think carefully while they read. With most, that means slowing down --- even stopping and rereading a page or paragraph to really understand what the author is trying to say. Last summer, Google CEO Eric Schmidt said he was concerned about what he sees as a decline in slow reading. Instant messages and 140-character tweets appear to be reducing out ability to concentrate on a single idea or theme of a book, he told Foreign Policy Magazine. It's easy to forget the benefits of deep reading in an age when anything worth doing is done fast. Experts warn that without deep reading, it is impossible to be an educated person of the world, a knowledgeable voter or even an imaginative thinker. ""If you want to have a deep relationship with a text and understand a complex idea, then slow reading is a preferred style. It is good for pleasure, too. It is not a rushed experience and you can lose yourself in a text,"" said Canadian writer John Miedema, the author of the book Slow Reading. US' Ohlone College English professor Cynthia Lee Katona says reading is a highly social activity that builds the mind and social connections. If you read, she says, you simply know more and have more to talk about with friends, partners and people you know. Deep reading can also take a reader on a trip around the world even if they are sitting in a living room armchair, Katona says. Also, deep reading helps people develop thinking, writing and conversation skills. ""If you like beautiful things, authors put words together that are really beautiful and expressive,"" she says. ""If you want to write well--- and there are lots of reasons to express yourself clearly --- you should read."" According to the article, Cynthia Lee Katona's opinion of deep reading is that   _  .",,auxiliary_train-00000-of-00001,B,"Nora, a 17-year-old American, notices that when she has to do a paper for school and researches it on the Internet, she rarely reads a whole page and does deep reading. ""I'll read the beginning of a paragraph and then I'll skip  the rest,"" she says. While Nora's mother, Martha, loves sitting down with a good book and reading carefully, her daughter may be the wave of the future. ""Deep reading"", or slow reading, is a process in which people think carefully while they read. With most, that means slowing down --- even stopping and rereading a page or paragraph to really understand what the author is trying to say. Last summer, Google CEO Eric Schmidt said he was concerned about what he sees as a decline in slow reading. Instant messages and 140-character tweets appear to be reducing out ability to concentrate on a single idea or theme of a book, he told Foreign Policy Magazine. It's easy to forget the benefits of deep reading in an age when anything worth doing is done fast. Experts warn that without deep reading, it is impossible to be an educated person of the world, a knowledgeable voter or even an imaginative thinker. ""If you want to have a deep relationship with a text and understand a complex idea, then slow reading is a preferred style. It is good for pleasure, too. It is not a rushed experience and you can lose yourself in a text,"" said Canadian writer John Miedema, the author of the book Slow Reading. US' Ohlone College English professor Cynthia Lee Katona says reading is a highly social activity that builds the mind and social connections. If you read, she says, you simply know more and have more to talk about with friends, partners and people you know. Deep reading can also take a reader on a trip around the world even if they are sitting in a living room armchair, Katona says. Also, deep reading helps people develop thinking, writing and conversation skills. ""If you like beautiful things, authors put words together that are really beautiful and expressive,"" she says. ""If you want to write well--- and there are lots of reasons to express yourself clearly --- you should read."" According to the article, Cynthia Lee Katona's opinion of deep reading is that   _  .

Choices:
A. it makes sure you a better paid job
B. it makes you a better writer
C. it is better than travelling
D. it helps build better family relationship

Reply with exactly one uppercase letter out of A, B, C, or D.
",524
"Recently I overheard a father and daughter in their last moments together at the airport. The airline had announced her departure and standing near the security gate,they hugged and he said,""I love you. I wish you enough"" She in turn said,""Dad,our life together has been more than enough. Your love is a11 I ever needed. I wish you enough,too,Dad. ""They kissed and she left He walked over toward the window where I was seated Standing there I could see he wanted and needed to cry. I tried not to disturb his privacy, but he welcomed me in by asking,""Did you ever say good--bye to someone knowing it would be forever?'' ""Yes,I have. ""I replied""Forgive me for asking, but why is this a forever good-bye?""""I'm  old and she lives much too far away I have challenges ahead,and the reality is,the next trip back will be for my funeral. ""He said.  ""When you were saying good-bye 1 heard you say,'1 wish you enough. 'm ay I ask what that means?"" He began to smile. ""That's a wish that has been handed down for many generations within my family. My parents used to say it to everyone. "" He paused for a moment,looking up as if trying to remember it in detail,and then he smiled even more""When we said'I wish you enough',we were wanting the other person to have a life filled with just enough good things to sustain(...)them. ,,He continued and then turning toward me be shared the following: ""I wish you enough sun to keep your attitude bright.  I wish you enough rain to appreciate the sun more.  I wish you enough happiness to keep your spirit alive.  I wish you enough pain so that the smallest joys in life appear much bigger.  I wish you enough gain to satisfy your wanting.  I wish you enough loss to appreciate a11 that you possess I wish you enough 'Hellos' to get you enough the final 'Good--byes'"" Then he walked away.  I WISH YOU ENOUGH ! It can be inferred that_.",,auxiliary_train-00000-of-00001,A,"Recently I overheard a father and daughter in their last moments together at the airport. The airline had announced her departure and standing near the security gate,they hugged and he said,""I love you. I wish you enough"" She in turn said,""Dad,our life together has been more than enough. Your love is a11 I ever needed. I wish you enough,too,Dad. ""They kissed and she left He walked over toward the window where I was seated Standing there I could see he wanted and needed to cry. I tried not to disturb his privacy, but he welcomed me in by asking,""Did you ever say good--bye to someone knowing it would be forever?'' ""Yes,I have. ""I replied""Forgive me for asking, but why is this a forever good-bye?""""I'm  old and she lives much too far away I have challenges ahead,and the reality is,the next trip back will be for my funeral. ""He said.  ""When you were saying good-bye 1 heard you say,'1 wish you enough. 'm ay I ask what that means?"" He began to smile. ""That's a wish that has been handed down for many generations within my family. My parents used to say it to everyone. "" He paused for a moment,looking up as if trying to remember it in detail,and then he smiled even more""When we said'I wish you enough',we were wanting the other person to have a life filled with just enough good things to sustain(...)them. ,,He continued and then turning toward me be shared the following: ""I wish you enough sun to keep your attitude bright.  I wish you enough rain to appreciate the sun more.  I wish you enough happiness to keep your spirit alive.  I wish you enough pain so that the smallest joys in life appear much bigger.  I wish you enough gain to satisfy your wanting.  I wish you enough loss to appreciate a11 that you possess I wish you enough 'Hellos' to get you enough the final 'Good--byes'"" Then he walked away.  I WISH YOU ENOUGH ! It can be inferred that_.

Choices:
A. it was not convenient for the father and daughter to see each other face to face
B. the daughter was eager to leave his father
C. the daughter was looking forward to her father's funeral
D. the daughter did not care about his father at all

Reply with exactly one uppercase letter out of A, B, C, or D.
",518
"Money can make you happy, only if you spend it in a clever way. Buying a new car makes you happy. However, you will forget this feeling when the car gets old. But if you spend a week traveling, it's more possible that you'll remember the great experience, and you'll remember the feeling for a long time. A new study has found that spending money on experiences makes people happier than on _ things. For material things, it's possible that you'll care about every little thing. If you buy a nice pen, and someone else buys one with less money, it's possible that you may be unhappy because you spend so much money. When it comes to experiences like trips, you won't think like that. If the experience is generally good, you will be happy with the price. Material things can be compared more easily. If you buy an MP3 and then see a more suitable one, you may regret buying the first one. However, if you have a nice dinner at one restaurant, and then learn about another better restaurant, you'll not regret the first meal. Material things can cause jealousy .For example, if you buy a new toy and find that your friend has a better toy, you'll feel unhappy. Instead, if you travel to a beautiful place, then no matter where your friends have gone, it won't make the memory of your trip less happy. Which of the following is WRONG according to the passage?",,auxiliary_train-00000-of-00001,B,"Money can make you happy, only if you spend it in a clever way. Buying a new car makes you happy. However, you will forget this feeling when the car gets old. But if you spend a week traveling, it's more possible that you'll remember the great experience, and you'll remember the feeling for a long time. A new study has found that spending money on experiences makes people happier than on _ things. For material things, it's possible that you'll care about every little thing. If you buy a nice pen, and someone else buys one with less money, it's possible that you may be unhappy because you spend so much money. When it comes to experiences like trips, you won't think like that. If the experience is generally good, you will be happy with the price. Material things can be compared more easily. If you buy an MP3 and then see a more suitable one, you may regret buying the first one. However, if you have a nice dinner at one restaurant, and then learn about another better restaurant, you'll not regret the first meal. Material things can cause jealousy .For example, if you buy a new toy and find that your friend has a better toy, you'll feel unhappy. Instead, if you travel to a beautiful place, then no matter where your friends have gone, it won't make the memory of your trip less happy. Which of the following is WRONG according to the passage?

Choices:
A. Spending money in a clever way makes people happy.
B. People like traveling more than buying material things.
C. Material things may cause jealousy.
D. People care about more things when they buy material things.

Reply with exactly one uppercase letter out of A, B, C, or D.
",356
"When I was young, I lived on my mother's milk, as I could not eat grass. In the daytime I ran by her side and at night I lay down close by her. When it was hot, we used to stand by the pond in the shade of the trees and when it was cold, we had a nice warm wooden house. As soon as I was old enough to eat grass, my mother used to go out to work during the daytime and come back in the evening. There were six young colts  in the field besides me; they were older than I; some were nearly as large as grown-up horses. I used to run with them, and had great fun; we used to gallop  all together in the field. Sometimes we had rather play rough, for others would frequently bite, kick as well as gallop. One day, when there was a good deal of kicking, my mother came to me and said, ""I expect you to pay attention to what I am going to say. The colts who live here are very good colts, but they are cart horse colts, and of course they have not learned manners. You have been well-bred and well-born. I hope you will grow up gentle and good, and never learn bad ways. I hope you do your work with a good will, lift your feet up well when you move quickly, and never bite or kick."" I have never forgotten my mother's advice. I knew she was a wise old horse, and our master thought a great deal of her. Her name was Duchess, but he often called her Pet. Our master gave us good food; he spoke as kindly to us as he did to his little children. We were all fond of him. When my mother saw him at the gate, she would neigh  with joy. He would pat and touch her and say, ""Well, Pet, how is your little Darkie?"" Then he would give me a piece of bread and sometimes he brought a carrot for my mother.  _  There was a plowboy, Dick, who sometimes came into our field to pick blackberries. When he had eaten all he wanted, he would throw stones and sticks at us. We did not much mind him, for we could gallop  off; but sometimes a stone would hurt us. One day he was at this game. Our master saw what was going on, so he jumped and caught Dick by the arm, giving him a box  on the ear. ""Bad boy!"" he said, ""this shall be the last time. Get away; I shall not want you on my farm again."" So we never saw Dick any more. Old Daniel, the man who looked after the horses, was just as gentle as our master, so we were well off. According to passage, Daniel is probably  _  .",,auxiliary_train-00000-of-00001,B,"When I was young, I lived on my mother's milk, as I could not eat grass. In the daytime I ran by her side and at night I lay down close by her. When it was hot, we used to stand by the pond in the shade of the trees and when it was cold, we had a nice warm wooden house. As soon as I was old enough to eat grass, my mother used to go out to work during the daytime and come back in the evening. There were six young colts  in the field besides me; they were older than I; some were nearly as large as grown-up horses. I used to run with them, and had great fun; we used to gallop  all together in the field. Sometimes we had rather play rough, for others would frequently bite, kick as well as gallop. One day, when there was a good deal of kicking, my mother came to me and said, ""I expect you to pay attention to what I am going to say. The colts who live here are very good colts, but they are cart horse colts, and of course they have not learned manners. You have been well-bred and well-born. I hope you will grow up gentle and good, and never learn bad ways. I hope you do your work with a good will, lift your feet up well when you move quickly, and never bite or kick."" I have never forgotten my mother's advice. I knew she was a wise old horse, and our master thought a great deal of her. Her name was Duchess, but he often called her Pet. Our master gave us good food; he spoke as kindly to us as he did to his little children. We were all fond of him. When my mother saw him at the gate, she would neigh  with joy. He would pat and touch her and say, ""Well, Pet, how is your little Darkie?"" Then he would give me a piece of bread and sometimes he brought a carrot for my mother.  _  There was a plowboy, Dick, who sometimes came into our field to pick blackberries. When he had eaten all he wanted, he would throw stones and sticks at us. We did not much mind him, for we could gallop  off; but sometimes a stone would hurt us. One day he was at this game. Our master saw what was going on, so he jumped and caught Dick by the arm, giving him a box  on the ear. ""Bad boy!"" he said, ""this shall be the last time. Get away; I shall not want you on my farm again."" So we never saw Dick any more. Old Daniel, the man who looked after the horses, was just as gentle as our master, so we were well off. According to passage, Daniel is probably  _  .

Choices:
A. a wise horse
B. a kind feeder
C. the master's son
D. a new plowboy

Reply with exactly one uppercase letter out of A, B, C, or D.
",629
"The class teacher thought that hobbies were important for children. So she encouraged all her students to have one, and sometimes she arranged hobby shows for their parents to see as a result. One morning the teacher told the class to have a holiday and get their hobby things to school before 5 p.m. A hobby show would be held the following afternoon. So in the afternoon, the students with nothing to show did their lessons at school as usual, while the lucky ones had a holiday to go home for their hobby works. When the afternoon lessons began, the teacher was surprised to see that Tommy was not there.  ""I don't believe Tommy has a hobby,"" she thought. However, at a quarter to five. Tommy arrived with a beautiful collection of butterflies  in glass case. The teacher liked the samples   very much and put them on a desk in the classroom.  But, to her surprise, Tommy picked them up again and began to leave. ""What are you doing, Tommy?"" she asked. ""Those things must stay here until tomorrow afternoon.  That's when the parents are coming to see them. "" ""I know that,"" answered Tommy, ""and I will bring them back tomorrow, but my big brother doesn't want them to be out of our house at night. "" ""But, aren't the butterflies yours?"" asked the teacher. ""No,"" answered Tommy. ""They are my brother's."" ""But Tommy, you should show your own hobby here, not somebody else's. "" ""I know that,"" answered Tommy. What surprised her most was the answer. ""My hobby is watching my brother collecting butterflies. "" What would  NOT happen the following afternoon?",,auxiliary_train-00000-of-00001,D,"The class teacher thought that hobbies were important for children. So she encouraged all her students to have one, and sometimes she arranged hobby shows for their parents to see as a result. One morning the teacher told the class to have a holiday and get their hobby things to school before 5 p.m. A hobby show would be held the following afternoon. So in the afternoon, the students with nothing to show did their lessons at school as usual, while the lucky ones had a holiday to go home for their hobby works. When the afternoon lessons began, the teacher was surprised to see that Tommy was not there.  ""I don't believe Tommy has a hobby,"" she thought. However, at a quarter to five. Tommy arrived with a beautiful collection of butterflies  in glass case. The teacher liked the samples   very much and put them on a desk in the classroom.  But, to her surprise, Tommy picked them up again and began to leave. ""What are you doing, Tommy?"" she asked. ""Those things must stay here until tomorrow afternoon.  That's when the parents are coming to see them. "" ""I know that,"" answered Tommy, ""and I will bring them back tomorrow, but my big brother doesn't want them to be out of our house at night. "" ""But, aren't the butterflies yours?"" asked the teacher. ""No,"" answered Tommy. ""They are my brother's."" ""But Tommy, you should show your own hobby here, not somebody else's. "" ""I know that,"" answered Tommy. What surprised her most was the answer. ""My hobby is watching my brother collecting butterflies. "" What would  NOT happen the following afternoon?

Choices:
A. The parents would enjoy the show in the classroom.
B. Tommy would bring the butterflies back.
C. The teacher would encourage her students for hobbies.
D. The butterflies would fly away.

Reply with exactly one uppercase letter out of A, B, C, or D.
",400
"It was the last day of my four-month interview to hold the job as a salesman in the World Trade Center -- in simpler words, an end to being perfect for four months. I took the last drop of my coffee, pushed in my chair, and said goodbye to my family -- little did they know, this could have been my final goodbye.  I went to room 911, as I had the past three times, to meet my boss, Mr. Clarke. I was just about to have a seat, when suddenly I heard the sound of explosion. Then, the floor beneath my feet began shaking, which was when I began to realize that something had gone completely wrong. ""Run! Let's get out of here!"" Mr. Clarke cried. Seconds after the first massive explosion, I heard another explosion from way above. My heartbeat seemed to be the drum of a heavy-metal song and all the employees were rushing to get out; the lifts were out of order, and only screaming could be heard up and down the stairwell. All of us were unaware at the time that this was the airplane hitting the tower. Fire then began to swallow the walls and all you could see is gray smoke. Mr. Clarke had fallen and went unconscious. I used all my strength to throw his heavy weight on my shoulders and run down the steps. I then felt myself sinking into the floor. I ran and ran, but I was not going anywhere. The only option left was to jump. With Mr. Clarke still lying in my arms, I closed my eyes and jumped. My boss safely reached the edge of the trampoline   a group of firemen held beneath us. However, I landed on the concrete   floor and suffered a broken back and neck, which was considered lucky. When the disaster took place, people in the building were   _  .",,auxiliary_train-00000-of-00001,D,"It was the last day of my four-month interview to hold the job as a salesman in the World Trade Center -- in simpler words, an end to being perfect for four months. I took the last drop of my coffee, pushed in my chair, and said goodbye to my family -- little did they know, this could have been my final goodbye.  I went to room 911, as I had the past three times, to meet my boss, Mr. Clarke. I was just about to have a seat, when suddenly I heard the sound of explosion. Then, the floor beneath my feet began shaking, which was when I began to realize that something had gone completely wrong. ""Run! Let's get out of here!"" Mr. Clarke cried. Seconds after the first massive explosion, I heard another explosion from way above. My heartbeat seemed to be the drum of a heavy-metal song and all the employees were rushing to get out; the lifts were out of order, and only screaming could be heard up and down the stairwell. All of us were unaware at the time that this was the airplane hitting the tower. Fire then began to swallow the walls and all you could see is gray smoke. Mr. Clarke had fallen and went unconscious. I used all my strength to throw his heavy weight on my shoulders and run down the steps. I then felt myself sinking into the floor. I ran and ran, but I was not going anywhere. The only option left was to jump. With Mr. Clarke still lying in my arms, I closed my eyes and jumped. My boss safely reached the edge of the trampoline   a group of firemen held beneath us. However, I landed on the concrete   floor and suffered a broken back and neck, which was considered lucky. When the disaster took place, people in the building were   _  .

Choices:
A. calm
B. excited
C. brave
D. frightened

Reply with exactly one uppercase letter out of A, B, C, or D.
",410
