question,question_concept,_split,answer,final_prompt,len_tk_glm4_9b_chat
Some cultures find it odd that other cultures have this kind of bathroom in an apartment?,odd,train-00000-of-00001,D,"Question:
Some cultures find it odd that other cultures have this kind of bathroom in an apartment?

Which of the following is the best response to the question?

Choices:
A. habitual
B. outhouse
C. normal
D. common
E. regular

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"A colorful pebble falls on a goldfish, where is the pebble?",pebble,train-00000-of-00001,A,"Question:
A colorful pebble falls on a goldfish, where is the pebble?

Which of the following is the best response to the question?

Choices:
A. aquarium
B. creek
C. pet store
D. playground
E. pond

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"When attending school, if I misbehave, what could happen to me after school?",attending school,train-00000-of-00001,B,"Question:
When attending school, if I misbehave, what could happen to me after school?

Which of the following is the best response to the question?

Choices:
A. stupidity
B. detention
C. much work
D. boredom
E. trouble

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"She put on some soft music, she just wanted to do what at the end of the day?",music,train-00000-of-00001,D,"Question:
She put on some soft music, she just wanted to do what at the end of the day?

Which of the following is the best response to the question?

Choices:
A. dance
B. opera
C. listen
D. relax
E. skate

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"When a person admits his mistakes, what are they doing?",person,validation-00000-of-00001,E,"Question:
When a person admits his mistakes, what are they doing?

Which of the following is the best response to the question?

Choices:
A. accident
B. learn to swim
C. thank god
D. feel relieved
E. act responsibly

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What happens to kids when visiting museums of old dinosaur bones?,visiting museum,train-00000-of-00001,C,"Question:
What happens to kids when visiting museums of old dinosaur bones?

Which of the following is the best response to the question?

Choices:
A. crowding
B. retrospection
C. amazement
D. being bored
E. excited

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
If you have plenty to eat when you have lunch you'll do what?,have lunch,train-00000-of-00001,D,"Question:
If you have plenty to eat when you have lunch you'll do what?

Which of the following is the best response to the question?

Choices:
A. eath
B. pouring coffee
C. feel empty
D. get full
E. getting in line

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Billy bought some silk clothing for his wife.  What might he have gotten?,silk,train-00000-of-00001,A,"Question:
Billy bought some silk clothing for his wife.  What might he have gotten?

Which of the following is the best response to the question?

Choices:
A. nightgown
B. expensive clothing
C. chinatown
D. garments
E. sexy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
A saltshaker is often used with what container for lipids?,saltshaker,train-00000-of-00001,C,"Question:
A saltshaker is often used with what container for lipids?

Which of the following is the best response to the question?

Choices:
A. kitchen cupboard
B. cabinet
C. cruet
D. teaspoon
E. table setting

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
If you've taken off your socks and are lying down where are you likely to be?,socks,train-00000-of-00001,E,"Question:
If you've taken off your socks and are lying down where are you likely to be?

Which of the following is the best response to the question?

Choices:
A. suitcase
B. bureau
C. pet shop
D. sporting goods store
E. bed

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
There are many dance clubs and higher rates of obesity where?,dance club,train-00000-of-00001,A,"Question:
There are many dance clubs and higher rates of obesity where?

Which of the following is the best response to the question?

Choices:
A. united states
B. ohio
C. toun
D. michigan
E. fast food restaurants

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What is a place that sells suntan lotion but not food or medicine?,suntan lotion,train-00000-of-00001,B,"Question:
What is a place that sells suntan lotion but not food or medicine?

Which of the following is the best response to the question?

Choices:
A. mini mall
B. shop
C. grocery store
D. pharmacy
E. drugstore

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Children like to play. They can easily do what?,children,train-00000-of-00001,D,"Question:
Children like to play. They can easily do what?

Which of the following is the best response to the question?

Choices:
A. go to movies
B. play with toys
C. read to
D. imagine
E. have fun

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
The cow was a star.  Everyone knew it from the what?,cow,train-00000-of-00001,D,"Question:
The cow was a star.  Everyone knew it from the what?

Which of the following is the best response to the question?

Choices:
A. wisconsin
B. fairy tale
C. nebraska
D. advertisement
E. countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What do people do when they don't understand something?,people,validation-00000-of-00001,A,"Question:
What do people do when they don't understand something?

Which of the following is the best response to the question?

Choices:
A. ask questions
B. experience joy
C. believe in god
D. talk to each other
E. get sick

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
You might find a marmoset in a South American protected what?,marmoset,train-00000-of-00001,E,"Question:
You might find a marmoset in a South American protected what?

Which of the following is the best response to the question?

Choices:
A. zoo
B. burrow
C. american west
D. in wild
E. national park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"He was good at traditional science but excelled at social science, his favorite subject was what?",science,train-00000-of-00001,B,"Question:
He was good at traditional science but excelled at social science, his favorite subject was what?

Which of the following is the best response to the question?

Choices:
A. geography
B. history studies
C. math
D. religion
E. dancing

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What do people do if they do not like each other?,people,train-00000-of-00001,D,"Question:
What do people do if they do not like each other?

Which of the following is the best response to the question?

Choices:
A. believe in god
B. sing together
C. go swimming
D. part company
E. commit crimes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Where would you put a ficus if you do not want it to get your carpet dirty?,ficus,train-00000-of-00001,A,"Question:
Where would you put a ficus if you do not want it to get your carpet dirty?

Which of the following is the best response to the question?

Choices:
A. ground
B. arboretum
C. apartment
D. refrigerator
E. california

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Where would your hear a bass clarinet along side other wood wind instruments?,bass clarinet,validation-00000-of-00001,D,"Question:
Where would your hear a bass clarinet along side other wood wind instruments?

Which of the following is the best response to the question?

Choices:
A. opera house
B. school band
C. music store
D. orchestra
E. bathroom stall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"The artificial intelligence was constantly analysing the data, it was programmed to always be what?",analysing,train-00000-of-00001,A,"Question:
The artificial intelligence was constantly analysing the data, it was programmed to always be what?

Which of the following is the best response to the question?

Choices:
A. learning more about
B. healing
C. better knowledge
D. enlightened
E. change

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Where is a public monument likely to be erected by a city?,monument,validation-00000-of-00001,A,"Question:
Where is a public monument likely to be erected by a city?

Which of the following is the best response to the question?

Choices:
A. municipal park
B. office
C. state park
D. cemetary
E. public gardens

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"The politician promised money, what was he hoping to do?",money,train-00000-of-00001,D,"Question:
The politician promised money, what was he hoping to do?

Which of the following is the best response to the question?

Choices:
A. buy party
B. increase power
C. settle everything
D. control people
E. buy food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Dan fell off a bar stool.  He did this because he was what than ever before?,bar stool,validation-00000-of-00001,B,"Question:
Dan fell off a bar stool.  He did this because he was what than ever before?

Which of the following is the best response to the question?

Choices:
A. kitchen
B. drunker
C. tavern
D. restaurant
E. shorter

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where will you commonly get a potato with your order?,potato,train-00000-of-00001,D,"Question:
Where will you commonly get a potato with your order?

Which of the following is the best response to the question?

Choices:
A. ireland
B. cooking pot
C. the atlantic ocean
D. steak house
E. beef stew

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What would you most likely use a blower to remove snow from?,snow,train-00000-of-00001,B,"Question:
What would you most likely use a blower to remove snow from?

Which of the following is the best response to the question?

Choices:
A. canada
B. ground
C. mountains
D. surface of earth
E. yukon

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"If I am in an auditorium watching an amateur play, where am I likely?",auditorium,train-00000-of-00001,C,"Question:
If I am in an auditorium watching an amateur play, where am I likely?

Which of the following is the best response to the question?

Choices:
A. crowd
B. street performance
C. high school
D. city
E. lights

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Why would someone not know where he or she left something after getting drunk?,getting drunk,train-00000-of-00001,E,"Question:
Why would someone not know where he or she left something after getting drunk?

Which of the following is the best response to the question?

Choices:
A. stumbling
B. hangover
C. confusion
D. pass out
E. forgetfulness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Why is it difficult to tell what the weather might do sometimes?,weather,train-00000-of-00001,B,"Question:
Why is it difficult to tell what the weather might do sometimes?

Which of the following is the best response to the question?

Choices:
A. clear
B. unpredictable
C. important to farmers
D. hot or cold
E. mild

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
How would a human be feeling if they were smiling and whistling?,human,train-00000-of-00001,B,"Question:
How would a human be feeling if they were smiling and whistling?

Which of the following is the best response to the question?

Choices:
A. homes
B. good mood
C. greek tragedy
D. sad
E. shopping mall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What is a convenient way for a farmer to preserve their crops?,farmer,train-00000-of-00001,A,"Question:
What is a convenient way for a farmer to preserve their crops?

Which of the following is the best response to the question?

Choices:
A. can produce
B. harvestation
C. water plants
D. produce food
E. rise early

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Expressing yourself in public without wearing pants will likely result in what?,expressing yourself,train-00000-of-00001,D,"Question:
Expressing yourself in public without wearing pants will likely result in what?

Which of the following is the best response to the question?

Choices:
A. happiness
B. blank stares
C. communication
D. getting arrested
E. stage fright

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"When she went to examine the thing, what was she considering doing with it?",examine thing,train-00000-of-00001,B,"Question:
When she went to examine the thing, what was she considering doing with it?

Which of the following is the best response to the question?

Choices:
A. eat cake
B. buy
C. interests
D. complex
E. learn about

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"When people are honest, what do they tend to do?",people,train-00000-of-00001,A,"Question:
When people are honest, what do they tend to do?

Which of the following is the best response to the question?

Choices:
A. tell truth
B. own objects
C. pay bills
D. selling food
E. buy cake

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Joe found spiders in the place where he keeps his tools.  Where might that be?,spiders,validation-00000-of-00001,D,"Question:
Joe found spiders in the place where he keeps his tools.  Where might that be?

Which of the following is the best response to the question?

Choices:
A. cupboard
B. toolbox
C. closet
D. garage
E. mail box

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Dogs are omnivores which mean they consume plants and what?,dogs,train-00000-of-00001,C,"Question:
Dogs are omnivores which mean they consume plants and what?

Which of the following is the best response to the question?

Choices:
A. rubbish
B. drink water
C. eat meat
D. four legs
E. sleep

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"He picked up his pace to a run, he wanted to do what?",run,validation-00000-of-00001,E,"Question:
He picked up his pace to a run, he wanted to do what?

Which of the following is the best response to the question?

Choices:
A. learn to walk
B. frightened
C. get away from
D. exercise
E. go faster

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where would a person go if he or she wants to get a good view?,person,train-00000-of-00001,E,"Question:
Where would a person go if he or she wants to get a good view?

Which of the following is the best response to the question?

Choices:
A. hill
B. building
C. family
D. water cooler
E. space shuttle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"There were many features displayed, but most were where for the one particular gallery?",gallery,train-00000-of-00001,B,"Question:
There were many features displayed, but most were where for the one particular gallery?

Which of the following is the best response to the question?

Choices:
A. large city
B. art museum
C. london
D. france
E. new york city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Where would you find a seafood restaurant in the east coast of North America?,seafood restaurant,train-00000-of-00001,A,"Question:
Where would you find a seafood restaurant in the east coast of North America?

Which of the following is the best response to the question?

Choices:
A. maine
B. boston
C. beach town
D. coastal cities
E. ocean

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
What would rain do if you didn't have an umbrella?,rain,train-00000-of-00001,C,"Question:
What would rain do if you didn't have an umbrella?

Which of the following is the best response to the question?

Choices:
A. tickle
B. water garden
C. wet clothes
D. wet ground
E. start to fall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Having children do what after dinner helps to teach them responsibilty?,children,train-00000-of-00001,D,"Question:
Having children do what after dinner helps to teach them responsibilty?

Which of the following is the best response to the question?

Choices:
A. need care
B. watch television
C. come home
D. wash dishes
E. complain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What is a student encouraged to do as they mature?,student,train-00000-of-00001,D,"Question:
What is a student encouraged to do as they mature?

Which of the following is the best response to the question?

Choices:
A. wait in line
B. do extra credit
C. cross road
D. think for himself
E. study book

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Why is a person eating hamburger that is not cooked likely to become ill?,eating hamburger,train-00000-of-00001,D,"Question:
Why is a person eating hamburger that is not cooked likely to become ill?

Which of the following is the best response to the question?

Choices:
A. being full
B. to fill the stomach
C. heartburn
D. food poisoning
E. gas

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"When they say dogs are a man's best friend, they aren't talking about just whats?",dogs,train-00000-of-00001,B,"Question:
When they say dogs are a man's best friend, they aren't talking about just whats?

Which of the following is the best response to the question?

Choices:
A. four legs
B. males
C. electrical circuit
D. pet
E. sniff

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Where would sunshine be likely to fall on a plant that a person owns?,sunshine,train-00000-of-00001,B,"Question:
Where would sunshine be likely to fall on a plant that a person owns?

Which of the following is the best response to the question?

Choices:
A. street
B. windowsill
C. disneyland
D. grow lights
E. summer

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"Sarah thought that her party was a surprise, but it was entirely what?",surprise,train-00000-of-00001,B,"Question:
Sarah thought that her party was a surprise, but it was entirely what?

Which of the following is the best response to the question?

Choices:
A. bland
B. predictable
C. known about
D. boring
E. send flowers

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The shopping arcade had a lot of foot traffic, where was it located?",shopping arcade,train-00000-of-00001,D,"Question:
The shopping arcade had a lot of foot traffic, where was it located?

Which of the following is the best response to the question?

Choices:
A. buy gum
B. strip mall
C. canada
D. busy city
E. town

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"The car was going from Alabama to New York, what was its goal?",car,validation-00000-of-00001,A,"Question:
The car was going from Alabama to New York, what was its goal?

Which of the following is the best response to the question?

Choices:
A. head north
B. speed up
C. heading north
D. go fast
E. headed south

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What is one fun result of farting?,farting,train-00000-of-00001,E,"Question:
What is one fun result of farting?

Which of the following is the best response to the question?

Choices:
A. bad smell
B. people laughing at
C. social ostracism
D. causing unpleasant odor
E. loud noise

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
People are genetically most likely to have this on top of their head?,people,train-00000-of-00001,C,"Question:
People are genetically most likely to have this on top of their head?

Which of the following is the best response to the question?

Choices:
A. horns
B. two eyes
C. brown hair
D. drug problem
E. feelings

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What does god want people to do for money?,god,train-00000-of-00001,A,"Question:
What does god want people to do for money?

Which of the following is the best response to the question?

Choices:
A. work in life
B. speak to people
C. everywhere
D. sitting ideal
E. care for people

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Lars Ulrich might not be happy if your borrow a song from what?,song,train-00000-of-00001,E,"Question:
Lars Ulrich might not be happy if your borrow a song from what?

Which of the following is the best response to the question?

Choices:
A. store
B. record
C. musical
D. jukebox
E. napster

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
How are the conditions for someone who is living in a homeless shelter?,living,validation-00000-of-00001,A,"Question:
How are the conditions for someone who is living in a homeless shelter?

Which of the following is the best response to the question?

Choices:
A. sometimes bad
B. happy
C. respiration
D. growing older
E. death

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"If student work hard, how would they be expected to perform?",students,train-00000-of-00001,B,"Question:
If student work hard, how would they be expected to perform?

Which of the following is the best response to the question?

Choices:
A. excel in soccer
B. do well
C. read books
D. amount to
E. better comprehension

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
Where would someone have to carry their brass instrument while they played?,brass instrument,train-00000-of-00001,B,"Question:
Where would someone have to carry their brass instrument while they played?

Which of the following is the best response to the question?

Choices:
A. punk rock band
B. marching band
C. brass band
D. annoy mom
E. jazz band

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"His shot was bad and he found himself stabbing to death the buck, it was what everywhere?",stabbing to death,train-00000-of-00001,A,"Question:
His shot was bad and he found himself stabbing to death the buck, it was what everywhere?

Which of the following is the best response to the question?

Choices:
A. bleeding
B. killing
C. coughing
D. imprisonment
E. mess

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
If two people have a common goal how can they accomplish that goal?,two people,train-00000-of-00001,B,"Question:
If two people have a common goal how can they accomplish that goal?

Which of the following is the best response to the question?

Choices:
A. agree with each other
B. work together
C. make love
D. have fun
E. shake hands

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
If there is a source of light behind a tree what would expect to happen?,tree,train-00000-of-00001,B,"Question:
If there is a source of light behind a tree what would expect to happen?

Which of the following is the best response to the question?

Choices:
A. provide shelter
B. cast shadow
C. branch out
D. block wind
E. fall down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
There was a cloud or two out but overall it was very what?,cloud,train-00000-of-00001,C,"Question:
There was a cloud or two out but overall it was very what?

Which of the following is the best response to the question?

Choices:
A. clear sky
B. eat cake
C. sunny
D. bringing rain
E. sunshine

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What can you use to get a jellyfish?,jellyfish,validation-00000-of-00001,C,"Question:
What can you use to get a jellyfish?

Which of the following is the best response to the question?

Choices:
A. adriatic sea
B. mediterranean sea
C. hand
D. see
E. atlantic ocean

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"When I was home, I was comfortable.  But I had a crippling fear of going where?",home,train-00000-of-00001,A,"Question:
When I was home, I was comfortable.  But I had a crippling fear of going where?

Which of the following is the best response to the question?

Choices:
A. outside
B. vacation
C. idle
D. apartment
E. neighborhood

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What city would you find a temple containing men with shaved heads?,temple,train-00000-of-00001,B,"Question:
What city would you find a temple containing men with shaved heads?

Which of the following is the best response to the question?

Choices:
A. jewish community
B. nepal
C. middle east
D. timbuktu
E. india

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"If I am forgiving, what might people think I have?",forgiving,train-00000-of-00001,A,"Question:
If I am forgiving, what might people think I have?

Which of the following is the best response to the question?

Choices:
A. good heart
B. make up
C. new freedom
D. good karma
E. bad man

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The roadway passed a sign and gate house, what was behind the gatehouse?",roadway,train-00000-of-00001,C,"Question:
The roadway passed a sign and gate house, what was behind the gatehouse?

Which of the following is the best response to the question?

Choices:
A. city
B. narnia
C. subdivision
D. neighborhood
E. countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
Where would you buy a ticket to sit in a room with a lot of chairs facing the same direction?,chairs,train-00000-of-00001,B,"Question:
Where would you buy a ticket to sit in a room with a lot of chairs facing the same direction?

Which of the following is the best response to the question?

Choices:
A. conference
B. theater
C. building
D. floor
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
The planet Mercury is unsuitable for human life or what?,mercury,validation-00000-of-00001,B,"Question:
The planet Mercury is unsuitable for human life or what?

Which of the following is the best response to the question?

Choices:
A. toxic
B. uninhabitable
C. mercury sulphide
D. poisonous
E. jupiter

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What kind of tour is someone likely to see the eiffel tower on?,eiffel tower,train-00000-of-00001,C,"Question:
What kind of tour is someone likely to see the eiffel tower on?

Which of the following is the best response to the question?

Choices:
A. garage
B. movies
C. in europe
D. paris
E. bus

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The person preferred going to the farmer's market over the grocery store, why?",person,train-00000-of-00001,C,"Question:
The person preferred going to the farmer's market over the grocery store, why?

Which of the following is the best response to the question?

Choices:
A. acknowledgment
B. price
C. fresh produce
D. smooth skin
E. good credit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"A lawyer is taking care of proposals, what are they trying to do?",taking care of proposals,train-00000-of-00001,B,"Question:
A lawyer is taking care of proposals, what are they trying to do?

Which of the following is the best response to the question?

Choices:
A. paperwork
B. getting work done
C. results
D. finishing up
E. marriage

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"The kid wanted to go outside and play, what was he sick of doing?",play,train-00000-of-00001,D,"Question:
The kid wanted to go outside and play, what was he sick of doing?

Which of the following is the best response to the question?

Choices:
A. serious
B. hatred
C. longplay
D. doing nothing
E. musical

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"Getting drunk and using stairs can be dangerous, one might find themselves what?",getting drunk,train-00000-of-00001,A,"Question:
Getting drunk and using stairs can be dangerous, one might find themselves what?

Which of the following is the best response to the question?

Choices:
A. falling down
B. tripping
C. death
D. lower standards
E. slurred speech

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What does someone want to do fast when they complete something in a perfunctory way?,perfunctory,train-00000-of-00001,B,"Question:
What does someone want to do fast when they complete something in a perfunctory way?

Which of the following is the best response to the question?

Choices:
A. careful
B. complete
C. thoughtful
D. thorough
E. go on

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The toothbrush was given to the man for free, where did the man get it?",toothbrush,train-00000-of-00001,A,"Question:
The toothbrush was given to the man for free, where did the man get it?

Which of the following is the best response to the question?

Choices:
A. dentist office
B. bedroom
C. supermarket
D. drug store
E. grocery store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"A horse rider wants to find foxes, what should he participate in?",fox,train-00000-of-00001,A,"Question:
A horse rider wants to find foxes, what should he participate in?

Which of the following is the best response to the question?

Choices:
A. english hunt
B. burrow
C. hen house
D. polo game
E. rural area

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Artie Shaw became famous playing a clarinet in what outfit?,clarinet,train-00000-of-00001,B,"Question:
Artie Shaw became famous playing a clarinet in what outfit?

Which of the following is the best response to the question?

Choices:
A. orchestra
B. jazz band
C. rock band
D. music store
E. music studio

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
How can people best have a conversation?,people,train-00000-of-00001,B,"Question:
How can people best have a conversation?

Which of the following is the best response to the question?

Choices:
A. learn from each other
B. face each other
C. enjoy themselves
D. group together
E. call each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where did the two best friends end up having a slumber party?,friends,train-00000-of-00001,D,"Question:
Where did the two best friends end up having a slumber party?

Which of the following is the best response to the question?

Choices:
A. movie internet cafe
B. fraternity house
C. internet cafe
D. friend's house
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"The man was a great motivational speaker, he explained how his disability was actually his greatest what?",disability,train-00000-of-00001,D,"Question:
The man was a great motivational speaker, he explained how his disability was actually his greatest what?

Which of the following is the best response to the question?

Choices:
A. competency
B. potential
C. competence
D. strength
E. potence

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"After the windstorm it needed replacing, he decided to get a heavier tile what?",tile,train-00000-of-00001,A,"Question:
After the windstorm it needed replacing, he decided to get a heavier tile what?

Which of the following is the best response to the question?

Choices:
A. roof
B. home
C. fabric
D. floor
E. computer game

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
"A person, cannot afford their home, they are likely to be experiencing what?",person,train-00000-of-00001,C,"Question:
A person, cannot afford their home, they are likely to be experiencing what?

Which of the following is the best response to the question?

Choices:
A. schizophrenia
B. deception
C. live in poverty
D. bad feelings
E. wealth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"In war, your primary method is combat, but your goal is to do what?",war,train-00000-of-00001,A,"Question:
In war, your primary method is combat, but your goal is to do what?

Which of the following is the best response to the question?

Choices:
A. conquer opponent
B. fight enemy
C. join army
D. kill
E. terrible

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
Both sides in World War I used what to cause death that is now banned?,death,train-00000-of-00001,B,"Question:
Both sides in World War I used what to cause death that is now banned?

Which of the following is the best response to the question?

Choices:
A. homicide
B. poisonous gas
C. cyanide
D. nuclear weapons
E. massive weapons

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
"They are chatting with friends about old memories, it won't be long before somebody what?",chatting with friends,train-00000-of-00001,B,"Question:
They are chatting with friends about old memories, it won't be long before somebody what?

Which of the following is the best response to the question?

Choices:
A. exchanging information
B. will laugh
C. agreement
D. staring
E. social approval

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"At what institution can you learn about a shark, a whale, or a dolphin?",shark,train-00000-of-00001,E,"Question:
At what institution can you learn about a shark, a whale, or a dolphin?

Which of the following is the best response to the question?

Choices:
A. bad movie
B. pool hall
C. bathtub
D. outside
E. marine museum

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
They decided to employ prisoners to dig lines to help fight the what?,employ,train-00000-of-00001,A,"Question:
They decided to employ prisoners to dig lines to help fight the what?

Which of the following is the best response to the question?

Choices:
A. fire
B. work for
C. sack
D. lay off
E. make redundant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
A worker who never makes much money or status will what?,worker,train-00000-of-00001,A,"Question:
A worker who never makes much money or status will what?

Which of the following is the best response to the question?

Choices:
A. labor in vain
B. case things
C. desire to advance
D. keep busy
E. try harder

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"People always talked childlike to him, even though his disability was physical and didn't affect his what?",disability,train-00000-of-00001,E,"Question:
People always talked childlike to him, even though his disability was physical and didn't affect his what?

Which of the following is the best response to the question?

Choices:
A. strength
B. brain
C. potential
D. qualification
E. competence

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"Other than a municipal park, where would you find a tennis court?",tennis court,train-00000-of-00001,C,"Question:
Other than a municipal park, where would you find a tennis court?

Which of the following is the best response to the question?

Choices:
A. college campus
B. michigan
C. country club
D. high school
E. town

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
where is the information superhighway?,superhighway,train-00000-of-00001,B,"Question:
where is the information superhighway?

Which of the following is the best response to the question?

Choices:
A. heavily travelled area
B. cyberspace
C. industrialized country
D. on the internet.
E. computer network

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The monkey realized he was surrounded by water, where was the monkey?",monkey,train-00000-of-00001,A,"Question:
The monkey realized he was surrounded by water, where was the monkey?

Which of the following is the best response to the question?

Choices:
A. madagascar
B. rain forest
C. captivity
D. on a tree
E. french government

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"She used her connections to get an interview, where did she want to work?",connection,train-00000-of-00001,D,"Question:
She used her connections to get an interview, where did she want to work?

Which of the following is the best response to the question?

Choices:
A. wall
B. store
C. computer network
D. company
E. airport

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would you find an office worker gossiping with their colleagues?,person,validation-00000-of-00001,A,"Question:
Where would you find an office worker gossiping with their colleagues?

Which of the following is the best response to the question?

Choices:
A. water cooler
B. space shuttle
C. baby shower
D. bus stop
E. family

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
The master control for the Tardis is where in the main room?,master control,train-00000-of-00001,B,"Question:
The master control for the Tardis is where in the main room?

Which of the following is the best response to the question?

Choices:
A. nuclear power plant
B. center
C. basement
D. main office
E. bowel of the ship

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
Where would you put a tote bag while you are getting some food?,tote bag,train-00000-of-00001,E,"Question:
Where would you put a tote bag while you are getting some food?

Which of the following is the best response to the question?

Choices:
A. between two legs
B. house
C. store called target
D. school
E. shopping cart

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"A human is fragile, so you should take care since you only get what?",human,train-00000-of-00001,A,"Question:
A human is fragile, so you should take care since you only get what?

Which of the following is the best response to the question?

Choices:
A. one body
B. muscles
C. mouth
D. two arms
E. stupidity

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
